,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,1031000.000,812000.000,1299000.000,2521000.000,2755000.000,3541000.000,2964000.000
AccountsReceivableGross,,995000.000,,,,2472000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,-152000.000
AdditionalPaidInCapitalCommonStock,127538000.000,127578000.000,127697000.000,213912000.000,214102000.000,214323000.000,214640000.000
AllowanceForDoubtfulAccountsReceivable,,71000.000,,38000.000,77000.000,154000.000,221000.000
Assets,127050000.000,142803000.000,179242000.000,207613000.000,208604000.000,251529000.000,277773000.000
BelowMarketLeaseGross,357000.000,357000.000,923000.000,923000.000,923000.000,923000.000,
BusinessCombinationContingentConsiderationLiability,,,1000000.000,487000.000,487000.000,487000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedBuildings,72144000.000,97518000.000,14947000.000,43068000.000,52025000.000,87753000.000,21964000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,10407000.000,13216000.000,6101000.000,9366000.000,10773000.000,16476000.000,3592000.000
CashAndCashEquivalentsAtCarryingValue,16053000.000,2018000.000,1571000.000,10920000.000,1742000.000,1568000.000,2044000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000
CommonStockSharesIssued,7596940.000,7596940.000,7714654.000,12911078.000,12988482.000,12988482.000,13105253.000
CommonStockSharesOutstanding,7596940.000,7596940.000,7714654.000,12911078.000,12988482.000,12988482.000,13105253.000
CommonStockValue,76000.000,76000.000,77000.000,129000.000,130000.000,130000.000,131000.000
CumulativeDividends,1079000.000,3928000.000,6840000.000,11742000.000,16710000.000,21711000.000,26789000.000
CumulativeEarningsDeficit,-1576000.000,-1456000.000,-1340000.000,-832000.000,232000.000,1265000.000,2178000.000
DeferredFinanceCostsNet,,706000.000,,,,1010000.000,
DeferredRentReceivablesNet,,133000.000,,,,744000.000,
InvestmentBuildingAndBuildingImprovements,90721000.000,119716000.000,140322000.000,171407000.000,182474000.000,222755000.000,248922000.000
Land,10407000.000,13216000.000,19317000.000,,,,
LandAndLandImprovements,,,,22601000.000,24109000.000,29884000.000,33476000.000
Liabilities,2091000.000,20533000.000,59648000.000,6146000.000,10850000.000,57522000.000,87765000.000
LiabilitiesAndStockholdersEquity,127050000.000,142803000.000,179242000.000,207613000.000,208604000.000,251529000.000,277773000.000
LineOfCredit,0.000,17000000.000,55000000.000,0.000,5000000.000,51000000.000,
LongTermDebt,,,,,,,81235000.000
MortgageLoansOnRealEstate,,10897000.000,23277000.000,10872000.000,10875000.000,10786000.000,10652000.000
MortgageLoansOnRealEstateCarryingAmountOfMortgages,,10897000.000,,,,10786000.000,
MortgageLoansOnRealEstateFederalIncomeTaxBasis1,,11000000.000,,,,10900000.000,
NotesReceivableNet,10862000.000,,,,,,
OperatingLeasesFutureMinimumPaymentsReceivable,39954000.000,63935000.000,77991000.000,113223000.000,118475000.000,163959000.000,176234000.000
OperatingLeasesFutureMinimumPaymentsReceivableCurrent,,12558000.000,,,,23779000.000,20152000.000
OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears,3549000.000,4867000.000,6587000.000,9420000.000,10628000.000,12754000.000,14289000.000
OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,6086000.000,6014000.000,8449000.000,11500000.000,12663000.000,14740000.000,17222000.000
OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,7835000.000,8523000.000,11401000.000,14519000.000,15661000.000,17073000.000,19995000.000
OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,9642000.000,10850000.000,14013000.000,17573000.000,18951000.000,20155000.000,23324000.000
OperatingLeasesFutureMinimumPaymentsReceivableRemainderOfFiscalYear,2612000.000,,11543000.000,9383000.000,5059000.000,,
OtherAssets,1795000.000,2124000.000,2704000.000,3082000.000,4153000.000,4843000.000,4905000.000
OtherAssetsMiscellaneous,,84000.000,,,,486000.000,
OtherLiabilities,1060000.000,2721000.000,3349000.000,3625000.000,3095000.000,2981000.000,3566000.000
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrentAndNoncurrent,,227000.000,,,,260000.000,
RealEstateAccumulatedDepreciation,,5203000.000,,,,18404000.000,
RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,,0.000,,,,0.000,
RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,,119716000.000,,,,222755000.000,
RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,,13216000.000,,,,29884000.000,
RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,,118924000.000,,,,220638000.000,
RealEstateAndAccumulatedDepreciationInitialCostOfLand,,13216000.000,,,,29692000.000,
RealEstateFederalIncomeTaxBasis,,133000000.000,,,,252700000.000,
RealEstateGrossAtCarryingValue,,132967000.000,,,,252736000.000,
RealEstateInvestmentPropertyAccumulatedDepreciation,2788000.000,5203000.000,8018000.000,11350000.000,14846000.000,18404000.000,22328000.000
RealEstateInvestmentPropertyAtCost,101128000.000,,159708000.000,194089000.000,206680000.000,,282500000.000
RealEstateInvestmentPropertyNet,98340000.000,127764000.000,151690000.000,182739000.000,191834000.000,234332000.000,260172000.000
SECScheduleIIIRealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionBuildingsAndImprovements,,792000.000,,,,2117000.000,
SECScheduleIIIRealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionLand,,0.000,,,,192000.000,
StockholdersEquity,124959000.000,122270000.000,119594000.000,201467000.000,197754000.000,194007000.000,190008000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,124959000.000,122270000.000,119594000.000,201467000.000,197754000.000,194007000.000,190008000.000
UnamortizedLoanCommitmentAndOriginationFeesAndUnamortizedDiscountsOrPremiums,,138000.000,,,,100000.000,
