,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdvertisingExpense,83287.000,82146.000,77121.000,80259.000,82272.000,84718.000,88887.000,83831.000,88995.000,84224.000,87533.000,82134.000,91164.000,217430.000,256495.000,191832.000,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,,,,,,,,,,,,,-524872.000,,,,-393581.000
AmortizationOfIntangibleAssets,113043.000,116369.000,59401.000,56846.000,56385.000,50029.000,39227.000,37314.000,36194.000,30560.000,24758.000,29831.000,28373.000,104707.000,103840.000,113510.000,141783.000,140564.000,140990.000,140873.000,140647.000,140566.000,140519.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,,358000.000,340000.000,,,,,,,,,,,425.000,926.000,,1975.000,1789.000,786.000,-3071.000,
BusinessAcquisitionsProFormaRevenue,,,,5963000.000,6312000.000,,,,,,,,,,,14713.000,21951.000,,28435.000,27172.000,22525.000,31055.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,577392.000,,,,151623.000,,,,343532.000,,,,-937307.000,,,,-1541599.000,,,,-2951577.000
CommunicationsInformationTechnologyAndOccupancy,,,,,,,,,,,,,,,,,,,,1897270.000,2081592.000,,2954056.000
CostOfGoodsAndServicesSoldDepreciation,62931.000,63568.000,69245.000,70680.000,72779.000,117587.000,81653.000,84428.000,89514.000,94454.000,79437.000,78887.000,80550.000,,,,,,,,,,
CostOfGoodsSold,433344.000,534720.000,1835075.000,1095938.000,1194653.000,1516162.000,2561842.000,1865136.000,2553880.000,2907402.000,3429213.000,2166593.000,2839494.000,4279113.000,4508255.000,3496283.000,7324815.000,9880059.000,10356860.000,9377949.000,6544212.000,11279230.000,12058754.000
CostOfRevenue,,,,,,,,,,,,,,,5030143.000,4205203.000,8098077.000,10977054.000,11213146.000,10410229.000,7651311.000,12397853.000,12944532.000
DeferredIncomeTaxExpenseBenefit,,,102000.000,,,,123000.000,,,,162000.000,,,,101000.000,,,,344000.000,,,,37000.000
Depreciation,,,74737.000,,,,87845.000,,,,86562.000,,,,104082.000,,,,276592.000,,,,350288.000
DepreciationAndAmortization,,,,,,,,,,,,,,,,220120.000,376000.000,,,,,,
DepreciationNonproduction,5688.000,6582.000,5492.000,5614.000,5616.000,6883.000,6192.000,6636.000,7200.000,7358.000,7125.000,6045.000,6600.000,349057.000,104082.000,106610.000,234122.000,253142.000,276592.000,295157.000,309584.000,315220.000,
EarningsPerShareBasic,,,,,,,,,,,,,0.190,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.030,-0.020,0.040,-0.030,-0.030,-0.040,0.010,0.010,0.010,-0.000,0.010,0.030,,,0.140,0.070,0.090,0.150,0.210,0.190,0.080,-0.330,0.240
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,,0.500,0.450,,,,,,
FeesAndCommissions,440224.000,,,,,,,,,,,,,,,,,,,,,,
FinancialServicesRevenue,,,,,,,,,,,2711810.000,2597584.000,2919822.000,2894666.000,2585394.000,2556202.000,2865842.000,2765347.000,2484220.000,2340968.000,2562569.000,2494038.000,2233409.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,,,,,,,511000.000,,,,554000.000,,,,480210.000,,,,,,,,
FranchisorRevenue,,,,,,,,,,,,,,,2705157.000,2454752.000,2803405.000,2807600.000,2794756.000,2595614.000,3056046.000,2736872.000,3032626.000
GainLossOnDispositionOfProperty,,,0.000,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,270.000
GeneralAndAdministrativeExpense,700008.000,756483.000,915518.000,760680.000,742537.000,775865.000,886340.000,830968.000,847178.000,972102.000,975261.000,744139.000,1111691.000,1716864.000,1941221.000,1612593.000,2280809.000,2926549.000,2820251.000,2511751.000,2795326.000,2725004.000,3540669.000
GrossProfit,,,,,,,,,,,,,,,9411688.000,8670850.000,13853391.000,16207629.000,17222140.000,16762197.000,14874156.000,18655505.000,22690474.000
