,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableCurrent,,,,,,,,,,,,,,,,,,,,86274000.000,81927000.000,80292000.000,95868000.000,89797000.000,87469000.000,108921000.000
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,4099000.000,2933000.000,4200000.000,3171000.000,3755000.000,6000000.000,3000000.000,3000000.000,2000000.000,2000000.000,3000000.000,3000000.000
AccountsPayableTradeCurrent,97260000.000,123508000.000,104695000.000,109759000.000,79050000.000,90799000.000,90367000.000,107740000.000,86959000.000,98591000.000,91615000.000,117503000.000,100507000.000,104720000.000,83571000.000,110480000.000,93682000.000,100902000.000,91198000.000,,,,,,,
AccountsReceivableGrossCurrent,73350000.000,94618000.000,122916000.000,94585000.000,77365000.000,104545000.000,120286000.000,93742000.000,92015000.000,109022000.000,127316000.000,104596000.000,91550000.000,114276000.000,110906000.000,93521000.000,72702000.000,90747000.000,110886000.000,79000000.000,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,,,,,136682000.000,105065000.000,158036000.000,155748000.000,124934000.000,,
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,3281000.000,5382000.000,4617000.000,5311000.000,5322000.000,7000000.000,4000000.000,5000000.000,6000000.000,9000000.000,5000000.000,7000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,49310000.000,39593000.000,56188000.000,41997000.000,52006000.000,42949000.000,58475000.000,41939000.000,54473000.000,42429000.000,60657000.000,43880000.000,55577000.000,47601000.000,53230000.000,36110000.000,47482000.000,39869000.000,54684000.000,37577000.000,47865000.000,39960000.000,56146000.000,37639000.000,49948000.000,41578000.000
AccumulatedDeferredInvestmentTaxCredit,,,,,,,,,,,,6000000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,-10084000.000,,,,-9790000.000,,,,-6049000.000,,,,,,,,-4564000.000,-4499000.000,-4313000.000,-4011000.000,-4555000.000,-4366000.000,-4200000.000
AdditionalCollateralAggregateFairValue,,,,,,,,,,-30000000.000,-35000000.000,21000000.000,12000000.000,25000000.000,17000000.000,21000000.000,27000000.000,28000000.000,22000000.000,20000000.000,23000000.000,15000000.000,16000000.000,8000000.000,12000000.000,27000000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,27000000.000,,,,5000000.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,6346000.000,6003000.000,5521000.000,5572000.000,5722000.000,6129000.000,6767000.000,6545000.000,6455000.000,6861000.000,7215000.000,6833000.000,6867000.000,7001000.000,5136000.000,4885000.000,4776000.000,4875000.000,4904000.000,,,,4000000.000,,5000000.000,5000000.000
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,,,,,,,,,,,5521000.000,11170000.000,16867000.000,,,,,,,
AssetRetirementObligation,,,,,,,,,,,,,,,,28000000.000,,,,32000000.000,,,,33000000.000,,
Assets,3744499000.000,3859945000.000,3863369000.000,3985231000.000,3981876000.000,4064310000.000,4147223000.000,4140429000.000,4077888000.000,4176380000.000,4293805000.000,4273069000.000,4344488000.000,4548592000.000,3910568000.000,4232422000.000,4262915000.000,4350064000.000,4310788000.000,4249478000.000,4235856000.000,4293687000.000,4416809000.000,4449989000.000,4486653000.000,4488841000.000
AssetsCurrent,389422000.000,492226000.000,465434000.000,497536000.000,507758000.000,563383000.000,628193000.000,551753000.000,454976000.000,509632000.000,529713000.000,490873000.000,524699000.000,564433000.000,499596000.000,523980000.000,506556000.000,589469000.000,524183000.000,422072000.000,388944000.000,420800000.000,427452000.000,359008000.000,344143000.000,408420000.000
AssetsFairValueDisclosure,,,63000000.000,53000000.000,55000000.000,58000000.000,128000000.000,46000000.000,51000000.000,42000000.000,56000000.000,45000000.000,110000000.000,49000000.000,38000000.000,45000000.000,80000000.000,91000000.000,51000000.000,39000000.000,49000000.000,33000000.000,48000000.000,,,
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,21550000.000,21550000.000,21550000.000,21550000.000,21550000.000,21550000.000,0.000,,
AssetsNoncurrent,,,,,,,,,,,,,,,183671000.000,245653000.000,259879000.000,245913000.000,246398000.000,229608000.000,245379000.000,249213000.000,256619000.000,263155000.000,261675000.000,304090000.000
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,,,,,,,,,,,,,15000000.000,15000000.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,,,,,,,,,,,164000000.000,,,,,,,,,,
CapitalLeaseObligations,,,,430202000.000,,,,352721000.000,,,,317426000.000,,,,243260000.000,,,,69000000.000,,,,91000000.000,,
CapitalLeaseObligationsCurrent,72056000.000,76261000.000,77060000.000,77482000.000,86051000.000,88112000.000,90343000.000,90583000.000,95587000.000,100380000.000,169060000.000,167659000.000,163159000.000,272939000.000,191951000.000,173822000.000,131428000.000,14643000.000,13827000.000,,15239000.000,15636000.000,15471000.000,51765000.000,52263000.000,48110000.000
CapitalLeaseObligationsNoncurrent,360812000.000,364635000.000,350912000.000,352720000.000,275198000.000,276524000.000,260569000.000,262138000.000,179610000.000,176144000.000,130088000.000,149767000.000,73984000.000,69938000.000,68424000.000,69438000.000,59958000.000,55295000.000,54597000.000,55324000.000,44719000.000,39658000.000,39126000.000,39267000.000,28164000.000,28164000.000
CapitalLeasedAssetsGross,583374000.000,582669000.000,582669000.000,582669000.000,582669000.000,582669000.000,582669000.000,582669000.000,582669000.000,582669000.000,621247000.000,637957000.000,637957000.000,747158000.000,747158000.000,667157000.000,436199000.000,131704000.000,131705000.000,131705000.000,131705000.000,131705000.000,131705000.000,167413000.000,167413000.000,167413000.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,,,,638000000.000,,,,667000000.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,,,,,,,,,,15000000.000,,,,52000000.000,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,,,,,,,18000000.000,,,,0.000,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,,,,,,,11000000.000,,,,18000000.000,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,,,,,,,,,11000000.000,,,,11000000.000,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,,,,,,,,,16000000.000,,,,11000000.000,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,,,,,,,,,,,,0.000,,,,0.000,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,,,,,,514677000.000,519860000.000,525327000.000,531159000.000,473969000.000,286693000.000,97416000.000,98527000.000,99638000.000,100857000.000,102075000.000,103362000.000,104648000.000,106323000.000,107998000.000
CapitalizationLongtermDebtAndEquity,2537554000.000,2582345000.000,2699196000.000,2758567000.000,2675956000.000,2701856000.000,2852762000.000,2826045000.000,2743488000.000,2777068000.000,2767910000.000,2787621000.000,2859086000.000,2896839000.000,2458571000.000,2657631000.000,2826726000.000,2961861000.000,3005285000.000,2981979000.000,2971075000.000,3007074000.000,3058795000.000,3051374000.000,3061556000.000,3122995000.000
CapitalizedComputerSoftwareGross,,,,,,,,,,,,40000000.000,,,,31000000.000,,,,,,,,,,
CapitalizedComputerSoftwareNet,,,,,,,,,,,,,,,,,,,,45000000.000,,,,,,
CashAndCashEquivalentsAtCarryingValue,75647000.000,97779000.000,60437000.000,76390000.000,75103000.000,100268000.000,150001000.000,123918000.000,63900000.000,69693000.000,72391000.000,74878000.000,119758000.000,69680000.000,28208000.000,74170000.000,65348000.000,103535000.000,66908000.000,55684000.000,60411000.000,38845000.000,57039000.000,35962000.000,35054000.000,15041000.000
