,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesNoncurrent,2788000.000,2580000.000,2467000.000,1974000.000,1639000.000,1729000.000,1445000.000,953000.000,912000.000,1170000.000,677000.000,2131000.000,1746000.000,1686000.000,1476000.000,1319000.000,919000.000,819000.000,831000.000,629000.000,565000.000,398000.000,194000.000,1240000.000
AccountsPayableCurrent,5288000.000,5629000.000,4428000.000,2580000.000,4655000.000,4347000.000,2224000.000,2195000.000,1861000.000,2499000.000,1327000.000,1564000.000,2484000.000,3202000.000,3154000.000,2289000.000,4004000.000,3181000.000,2944000.000,1179000.000,2836000.000,1980000.000,1734000.000,1225000.000
AccountsReceivableGross,,,,,5651000.000,4124000.000,4124000.000,2745000.000,2955000.000,2810000.000,5076000.000,4674000.000,4434000.000,6460000.000,4949000.000,5058000.000,4964000.000,4783000.000,6048000.000,5753000.000,3885000.000,3934000.000,3150000.000,9706000.000
AccountsReceivableNetCurrent,4653000.000,4357000.000,4557000.000,6654000.000,5271000.000,3756000.000,3772000.000,2398000.000,2613000.000,2470000.000,4761000.000,4362000.000,4124000.000,6124000.000,4648000.000,4760000.000,4733000.000,4734000.000,5988000.000,5694000.000,3846000.000,3895000.000,3118000.000,9608000.000
AccruedIncomeTaxesCurrent,168000.000,97000.000,212000.000,165000.000,176000.000,129000.000,207000.000,150000.000,183000.000,147000.000,92000.000,138000.000,241000.000,267000.000,197000.000,168000.000,187000.000,172000.000,221000.000,164000.000,199000.000,152000.000,140000.000,460000.000
AccruedIncomeTaxesNoncurrent,3297000.000,2987000.000,3223000.000,2358000.000,2421000.000,2139000.000,2331000.000,2000000.000,2071000.000,2152000.000,2201000.000,1874000.000,2026000.000,2115000.000,2094000.000,1966000.000,2079000.000,1928000.000,1942000.000,1860000.000,1860000.000,1926000.000,1880000.000,1844000.000
AccruedLiabilitiesCurrent,8983000.000,8545000.000,8247000.000,8197000.000,12404000.000,9183000.000,8666000.000,8337000.000,9065000.000,11525000.000,10505000.000,10694000.000,11268000.000,10186000.000,8539000.000,9129000.000,9185000.000,8166000.000,8528000.000,11471000.000,8475000.000,7564000.000,7860000.000,14187000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,15366000.000,15989000.000,15168000.000,16239000.000,17296000.000,17850000.000,17649000.000,18549000.000,19459000.000,20313000.000,21171000.000,22021000.000,22823000.000,23752000.000,19677000.000,20522000.000,21327000.000,22057000.000,20623000.000,21104000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,80000.000,,,,52000.000,,,,-38000.000,,,,-28000.000,,,,-27000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-64000.000,-64000.000,-67000.000,-67000.000,-67000.000,-67000.000,-113000.000,-113000.000,-113000.000,-113000.000,-82000.000,-82000.000,-82000.000,-82000.000,11000.000,11000.000,11000.000,11000.000,6000.000,6000.000,6000.000,6000.000,10000.000,10000.000
