,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AdjustmentForAmortization,,,,,,,,,,,,,,2500.000,2500.000,,
AllocatedShareBasedCompensationExpense,154750.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-47683.000,,,,210.000,,,,,,,,,,,,
CashPeriodIncreaseDecrease,,,,,,,,,166.000,,,,13336.000,,,,-1957.000
CurrentStateAndLocalTaxExpenseBenefit,,,,,800.000,,,,,,,,,,,,
EarningsPerShareBasic,-0.000,-0.000,-0.000,-0.010,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,-0.000,-0.000,-0.000,-0.100,-0.000,0.000,0.000,-0.010,0.000,0.000,0.000,-0.010,0.000
EquityIssuancePerShareAmount,0.100,0.100,0.100,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,241775.000,95033.000,38502.000,-73053.000,40661.000,75488.000,57016.000,45779.000,20562.000,23222.000,12461.000,-76.000,18879.000,20746.000,12844.000,-8470.000,40032.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-270879.000,-148783.000,-183002.000,-416387.000,-40661.000,-75488.000,-57016.000,-45779.000,-20562.000,-23222.000,-12461.000,76.000,-18879.000,-20746.000,-12844.000,8470.000,-40032.000
IncomeTaxExpenseBenefit,,818.000,,,,,1287.000,,0.000,0.000,0.000,800.000,0.000,0.000,0.000,800.000,0.000
IncomeTaxesPaid,,,,,,,,,0.000,,,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayableTrade,-13504.000,,,,6121.000,,,,27183.000,,,,2215.000,,,,32475.000
IncreaseDecreaseInAccruedLiabilities,1250.000,,,,22750.000,,,,-56960.000,,,,0.000,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,,,,,,,,,,,,,,,,13100.000
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,10000.000,,,,7500.000
InterestPaid,,,,,,,,,0.000,,,,0.000,,,,0.000
NetCashProvidedByUsedInFinancingActivities,67500.000,,,,12000.000,,,,50505.000,,,,40000.000,,,,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,67500.000,,,,12000.000,,,,50505.000,,,,40000.000,,,,0.000
NetCashProvidedByUsedInOperatingActivities,-115183.000,,,,-11790.000,,,,-50339.000,,,,-26664.000,,,,-1957.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-115183.000,,,,-11790.000,,,,-50339.000,,,,-26664.000,,,,-1957.000
NetIncomeLoss,-270879.000,-149601.000,-183002.000,-416387.000,-40661.000,-75488.000,-58303.000,-45779.000,-20562.000,-23222.000,-12461.000,-724.000,-18879.000,-20746.000,-12844.000,7670.000,-40032.000
OperatingIncomeLoss,-270879.000,-148783.000,-183002.000,-242197.000,,,,,,,,,,,,,
OtherAmortizationOfDeferredCharges,,,,,,,,,,,,,,,,,2500.000
ProceedsFromContributedCapital,67500.000,,,,,,,,30000.000,,,,40000.000,,,,0.000
ProceedsFromIssuanceOfCommonStock,,,,,,,,,20505.000,,,,0.000,,,,
ProceedsFromRelatedPartyDebt,,,,,12000.000,,,,0.000,,,,,,,,
ResearchAndDevelopmentExpense,29104.000,53750.000,144500.000,,,,0.000,,,,,,,,,,
Revenues,,,,,,,0.000,,0.000,0.000,0.000,0.000,,,,,
SalesRevenueNet,,,,,,,0.000,,0.000,0.000,0.000,0.000,,,,,
ShareBasedCompensation,154750.000,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForCash,675000.000,620000.000,180000.000,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueIssuedForCash,67500.000,62000.000,18000.000,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,100634970.000,101192325.000,101670586.000,-301236893.000,13026980.000,13026980.000,13026980.000,-26053960.000,13026980.000,13026980.000,13026980.000,-26053960.000,13026980.000
WeightedAverageNumberOfSharesOutstandingBasic,97258424.000,97342663.000,97767104.000,-194672412.000,,,,,,,,,,,,,
