,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,10587.000,11976.000,7512.000,5873.000,116.000,2573.000,250.000,863.000,0.000,5797.000,1000.000,0.000,6405.000,6427.000,6486.000,9081.000,5065.000,0.000
AccountsPayableInterestBearingInterestRate,0.055,0.055,0.055,0.055,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,,
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,4000.000,4000.000
AccruedLiabilitiesCurrent,7400.000,9312.000,12080.000,15317.000,20862.000,24785.000,28752.000,32761.000,36728.000,40683.000,44649.000,48626.000,52637.000,56570.000,58083.000,62081.000,66079.000,72488.000
AdditionalPaidInCapital,193497.000,193497.000,194016.000,352311.000,404063.000,1024325.000,1198888.000,1402710.000,1703360.000,1703769.000,2062569.000,2326748.000,2461615.000,2461615.000,3459115.000,3567847.000,3580348.000,3580348.000
Assets,110403.000,70146.000,69795.000,66631.000,96022.000,501517.000,543529.000,444653.000,213062.000,100630.000,90821.000,62721.000,87403.000,127179.000,945162.000,252882.000,35533.000,349748.000
AssetsCurrent,55833.000,20461.000,24996.000,25084.000,31224.000,322950.000,491191.000,398547.000,172122.000,65038.000,57016.000,30771.000,57173.000,98736.000,918505.000,228012.000,12450.000,328453.000
AssetsNoncurrent,54570.000,49685.000,44799.000,41547.000,64798.000,178567.000,52338.000,46106.000,40940.000,35592.000,33805.000,31950.000,30230.000,28443.000,26657.000,24870.000,23083.000,21295.000
Cash,,,,,,,,,,,10708.000,211.000,30903.000,87640.000,37831.000,1383.000,12450.000,317547.000
CashAndCashEquivalentsAtCarryingValue,731.000,3716.000,8251.000,8339.000,13229.000,7750.000,39371.000,94086.000,56271.000,12981.000,10708.000,211.000,30903.000,87640.000,37831.000,1383.000,12450.000,317547.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,-0.000,,,,,,,,,,24279.000,35750.000,0.000,107000.000,107000.000,2500.000,24675.000,438675.000
CommonStockSharesAuthorized,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000
CommonStockSharesIssued,,,26804012.000,29804012.000,29972346.000,32034679.000,32606345.000,33281346.000,34281347.000,34281347.000,35481347.000,36131555.000,36474244.000,36474244.000,38974244.000,37241744.000,37241744.000,37241744.000
CommonStockSharesOutstanding,26804012.000,26804012.000,26804012.000,29804012.000,29972346.000,32034679.000,32606345.000,33281346.000,34281347.000,34281347.000,35481347.000,36131555.000,36474244.000,36474244.000,38974244.000,37241744.000,37241744.000,37241744.000
CommonStockSharesSubscribedButUnissued,,,,,,,,,,,,,,,,,75000.000,
CommonStockSharesSubscriptions,,,,,40300.000,0.000,67500.000,2449.000,0.000,,,,,,,,22175.000,
CommonStockValue,26804.000,26804.000,26804.000,29804.000,29972.000,32035.000,32606.000,33281.000,34281.000,34281.000,35481.000,36132.000,36474.000,36474.000,38974.000,37242.000,37242.000,37242.000
ConvertibleNotesPayable,,,,,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000,130100.000
ConvertibleNotesPayableCurrent,100000.000,100000.000,100000.000,166136.000,199384.000,230100.000,230100.000,230100.000,230100.000,230100.000,230100.000,230100.000,234683.000,241558.000,248433.000,255309.000,315902.000,309910.000
DebtConversionConvertedInstrumentAmount,,,,,50500.000,50500.000,,,,,,,,,,,,
DebtConversionConvertedInstrumentSharesIssued,,,,,168334.000,168334.000,,,,,,,,,,,,
DebtConversionOriginalDebtAmount,,,,,50000.000,50000.000,50000.000,,50000.000,,,,,,,,,
DebtInstrumentConvertibleConversionPrice,,,,,0.300,0.300,0.300,,0.300,,,,,,,,,
DebtInstrumentConvertibleConversionPrice1,,,,0.300,,,,0.300,,0.300,0.300,0.300,,,,,,
DebtInstrumentUnamortizedDiscount,,,,63964.000,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNet,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,86300.000,,,,227000.000,,,,298700.000,,,,437100.000,,,,-901403.000,
DeferredTaxAssetsTaxCreditCarryforwards,221000.000,,,,,,,,766000.000,,,,1203100.000,,,,,
DeferredTaxLiabilitiesOther,-3600.000,,,,-3700.000,,,,-4800.000,,,,-4900.000,,,,-28388.000,
