,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,6466125.000,,,,6748315.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2055104.000,2774767.000,3368538000.000,3549174.000,3733920.000,4387067.000,3650253.000,2548518.000,-726566.000,-803240.000,-1726808.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxDebtSecurities,,,,,160321.000,131917.000,0.000,,,,0.000
AdvancesFromFederalHomeLoanBanks,34000000.000,12000000.000,12000000000.000,10000000.000,13500000.000,23500000.000,28300000.000,8500000.000,14500000.000,16500000.000,5500000.000
Assets,661014669.000,659724850.000,700681256000.000,649343451.000,651238722.000,649465728.000,683973081.000,679068584.000,680940511.000,701875412.000,690553476.000
AvailableForSaleSecurities,120888531.000,121253034.000,128619951000.000,129136476.000,122366842.000,135044138.000,174383499.000,177202369.000,179635351.000,185393296.000,143553908.000
AvailableForSaleSecuritiesAmortizedCost,,,,,116709388.000,128397066.000,168852812.000,173340978.000,180736210.000,186610326.000,146170283.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,9854888.000,18237713.000,51419953.000,49489182.000,68398033.000,76588067.000,64692984.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,9548331.000,16460156.000,50277052.000,49489182.000,67486166.000,75762648.000,38904586.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,306557.000,1777557.000,1142901.000,0.000,911867.000,825419.000,25788398.000
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,,,,128397066.000,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,,,,,,135044138.000,,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,122366842.000,135044138.000,174383499.000,177202369.000,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,-224050.000,-238748.000,894168.000,1689968.000,,,
AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions,,,,,9.000,14.000,43.000,43.000,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,160322.000,141770.000,1001.000,0.000,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,224050.000,238748.000,894168.000,1689968.000,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,63728.000,96978.000,893167.000,1689968.000,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,5881504.000,6885820.000,6424855.000,5551359.000,,,
AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1,,,,,,,,,73.000,82.000,
BankOwnedLifeInsurance,16791120.000,16937830.000,17084858000.000,17228902.000,17376348.000,17526430.000,17672783.000,17817577.000,20724276.000,20896663.000,21066198.000
BuildingsAndImprovementsGross,,,,,,,4904613.000,,,,4942517.000
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,,,,,,,0.080,,,,0.080
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,,,,,,,0.100,,,,0.100
CashAndCashEquivalentsAtCarryingValue,17361219.000,28650951.000,67272022000.000,20117291.000,26077429.000,13635617.000,14846301.000,17508624.000,12506507.000,16208068.000,42168520.000
CashAndDueFromBanks,11134424.000,25612611.000,60753268000.000,16002548.000,18379772.000,10333854.000,11958507.000,11830091.000,9508566.000,13325821.000,37682577.000
CashCashEquivalentsAndFederalFundsSold,17361219.000,28650951.000,67272022000.000,20117291.000,26077429.000,13635617.000,14846301.000,17508624.000,12506507.000,16208068.000,42168520.000
CommonStockIncludingAdditionalPaidInCapital,44520823.000,44532550.000,44542795000.000,44550826.000,44561157.000,44820086.000,44834605.000,44848124.000,,,
CommonStockNoParValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000
CommonStockSharesIssued,4917761.000,4917761.000,4918136.000,4918136.000,4918136.000,4941994.000,4941994.000,4941994.000,4949335.000,4949371.000,4952019.000
CommonStockSharesOutstanding,4852761.000,4852761.000,4853136.000,4918136.000,4853136.000,4876994.000,4735144.000,4665144.000,4672485.000,4672521.000,4675169.000
CommonStocksIncludingAdditionalPaidInCapital,,,,,,,,,44890315.000,44908295.000,45038581.000
ConstructionInProgressGross,,,,,,,9509.000,,,,11361.000
DeferredIncomeTaxLiabilities,,,,,,,3254597.000,,,,1096839.000
DeferredTaxAssetsGross,,,,,,,8524460.000,,,,6921454.000
DeferredTaxAssetsLiabilitiesNet,,,,,,,5269863.000,,,,5824615.000
DeferredTaxAssetsNet,,,,,,,5269863.000,,,,5824615.000
