,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30
AccountsPayable,310.000,110.000,195.000,6537.000,,,,,,,,,,,,
AccountsPayableCurrent,,,,,9249.000,3599.000,6133.000,754.000,4052.000,147.000,8061.000,8891.000,2053.000,7286.000,826.000,6902.000
AdditionalPaidInCapital,44150.000,44150.000,44150.000,44150.000,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,44150.000,44150.000,59120.000,71096.000,71096.000,81076.000,81076.000,95048.000,95048.000,95048.000,115008.000,148092.000
Assets,4986.000,3383.000,80.000,382.000,88.000,88.000,1078.000,1173.000,0.000,184.000,155.000,14135.000,1367.000,571.000,339.000,179.000
AssetsCurrent,4986.000,3383.000,80.000,382.000,88.000,88.000,1078.000,1173.000,0.000,184.000,155.000,14135.000,1367.000,571.000,339.000,179.000
BankOverdrafts,,,,,,,,,33.000,,,,,,,
Cash,4986.000,3383.000,80.000,382.000,88.000,88.000,814.000,1173.000,0.000,184.000,155.000,135.000,1294.000,571.000,0.000,0.000
CommonStockParOrStatedValuePerShare,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,,,,,,,14000.000,73.000,,,
CommonStockSharesAuthorized,,,,,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,,,,,8500000.000,8500000.000,8800000.000,9040000.000,9040000.000,9240000.000,9240000.000,9520000.000,9520000.000,9520000.000,9920000.000,9920000.000
CommonStockSharesOutstanding,,,,,8500000.000,8500000.000,8800000.000,9040000.000,9040000.000,9240000.000,9240000.000,9520000.000,9520000.000,9520000.000,9920000.000,9920000.000
CommonStockValue,850.000,850.000,850.000,850.000,850.000,850.000,880.000,904.000,904.000,924.000,924.000,952.000,952.000,952.000,992.000,992.000
DeferredTaxAssetsNetNoncurrent,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,38056.000,40917.000,42449.000,42738.000,44074.000,46124.000,50807.000,52974.000
DeferredTaxAssetsValuationAllowanceNoncurrent,,,,,,,,,,,,,-44074.000,-46124.000,-50807.000,-52974.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-44757.000,-46203.000,-49634.000,-75239.000,-79862.000,-85334.000,-100899.000,,,,,,,,,
DueToAffiliateCurrent,,,,,,,,35844.000,35844.000,34944.000,34944.000,,32944.000,32944.000,32944.000,
DueToOfficersOrStockholdersCurrent,,,,,,,,35844.000,35844.000,34944.000,34944.000,34944.000,32944.000,32944.000,32944.000,0.000
InterestPayable,,176.000,219.000,267.000,0.000,0.000,0.000,,,,,,,,,
InterestPayableCurrent,,,,,,,,,,,,,,,0.000,
Liabilities,4743.000,4586.000,4714.000,30621.000,34950.000,40422.000,41977.000,36598.000,39929.000,35092.000,43005.000,43835.000,34997.000,40230.000,33770.000,6902.000
LiabilitiesAndStockholdersEquity,4986.000,3383.000,80.000,382.000,88.000,88.000,1078.000,1173.000,0.000,185.000,155.000,14135.000,1367.000,571.000,339.000,179.000
LiabilitiesCurrent,310.000,110.000,4495.000,29354.000,34950.000,40422.000,41977.000,36598.000,39929.000,35092.000,43005.000,43835.000,34997.000,40230.000,33770.000,6902.000
LiabilitiesNoncurrent,,4476.000,219.000,,,,,,,,,,,,0.000,
LoansPayableCurrent,0.000,,,,,,,,,,,,,,,
LongTermDebt,,,,1297.000,0.000,0.000,0.000,,,,,,,,,
LongTermNotesPayable,,,,1000.000,0.000,0.000,0.000,,,,0.000,0.000,,,0.000,
NotesPayable,4300.000,4300.000,0.000,4300.000,,,,,,,,,,,,
NotesPayableCurrent,,0.000,4300.000,,0.000,0.000,0.000,,,,0.000,0.000,0.000,0.000,0.000,
NotesPayableRelatedPartiesCurrent,,,0.000,18517.000,25701.000,36823.000,35844.000,,,,,,,,,
OperatingLossCarryforwards,,,,,27153.000,29014.000,,,,,,,,,,
OperatingLossCarryforwardsValuationAllowance,,,,,-27153.000,-29014.000,,,,,,,,,,
OtherAccruedLiabilitiesNoncurrent,133.000,,,,,,,,,,,,,,,
OtherAssets,,,,,,,264.000,0.000,0.000,0.000,0.000,0.000,,,,
OtherNoncurrentLiabilities,4433.000,,,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,,,,,,,,-107425.000,-111929.000,-116907.000,-124850.000,-125700.000,-129630.000,-135659.000,-149431.000,-155807.000
SaleOfStockPricePerShare,,,,,,,,,,,0.050,,,,,
StockholdersEquity,243.000,-1203.000,-4634.000,-30239.000,-34862.000,-40334.000,-40899.000,-35425.000,-39929.000,-34907.000,-42850.000,-29700.000,-33630.000,-39659.000,-33431.000,-6723.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,243.000,-1203.000,-4634.000,-30239.000,-34862.000,-40334.000,-40899.000,-35425.000,-39929.000,-34907.000,-42850.000,-29700.000,-33630.000,-39659.000,-33431.000,-6723.000
ValuationAllowanceAmount,,,,,,,,,-38056.000,-40917.000,-42449.000,-42738.000,,,,
