,2011-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,424168.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,-5939215.000
DepreciationDepletionAndAmortization,3623.000
EarningsPerShareBasicAndDiluted,-0.100
GeneralAndAdministrativeExpense,7610136.000
IncomeTaxesPaid,46930.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-2360907.000
IncreaseDecreaseInPrepaidExpense,-48375.000
InterestAndDebtExpense,11877.000
InvestmentIncomeNet,1695.000
NetCashProvidedByUsedInContinuingOperations,11535979.000
NetCashProvidedByUsedInFinancingActivities,32789323.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,32789323.000
NetCashProvidedByUsedInOperatingActivities,-21253344.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-21253344.000
NetIncomeLoss,-6793045.000
NetIncomeLossAttributableToNoncontrollingInterest,-8521084.000
NetIncomeLossAvailableToCommonStockholdersBasic,-6793045.000
OperatingIncomeLoss,-20928591.000
PaymentsOfStockIssuanceCosts,2148384.000
ProceedsFromStockOptionsExercised,100000.000
ProceedsFromWarrantExercises,53334.000
ProfitLoss,-15314129.000
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,13318455.000
ShareBasedCompensation,1223463.000
StockIssuedDuringPeriodValueOther,41250.000
StockIssuedDuringPeriodValueShareBasedCompensation,533000.000
TaxesOther,-367613.000
UnrealizedGainLossOnDerivatives,5257031.000
WeightedAverageNumberOfDilutedSharesOutstanding,158298920.000
WeightedAverageNumberOfSharesOutstandingBasic,158298920.000
