,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,272287.000,314331.000,355921.000,361924.000,364862.000
AccountsPayableCurrent,112355.000,163404.000,,,,,
AccruedLiabilities,113175.000,125175.000,,,,,
AdditionalPaidInCapital,,,,,,25000.000,25000.000
AllowanceForNotesReceivable,,,,,100000.000,100000.000,100000.000
Assets,389.000,43.000,11.000,202.000,134.000,820.000,9278.000
AssetsCurrent,,,,,,,284.000
Capital,,,,,,,-1030600.000
Cash,389.000,43.000,11.000,202.000,134.000,820.000,284.000
CashAndCashEquivalentsAtCarryingValue,,,11.000,202.000,134.000,820.000,284.000
CommonStockOtherSharesOutstanding,,,,,,,1408000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,65000000.000,65000000.000,65000000.000,65000000.000,65000000.000,65000000.000,65000000.000
CommonStockSharesIssued,49764500.000,49764500.000,49764500.000,49764500.000,49764500.000,49764500.000,49764500.000
CommonStockSharesOutstanding,49764500.000,49764500.000,49764500.000,49764500.000,49764500.000,49764500.000,49764500.000
CommonStockValue,49765.000,49765.000,49765.000,49765.000,49765.000,49765.000,49765.000
ConvertibleNotesPayable,171000.000,171000.000,171000.000,,,,
ConvertibleNotesPayableCurrent,,,,171000.000,171000.000,196000.000,196000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-599096.000,-772991.000,923599.000,-1105721.000,-1277952.000,-1460535.000,-1606621.000
DueToRelatedParties,153190.000,263690.000,,,672319.000,290290.000,
DueToRelatedPartiesCurrent,,,408864.000,541553.000,672319.000,290290.000,442191.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,442191.000
FairValueAssetsMeasuredOnRecurringBasisCashAndCashEquivalents,,,,,134.000,820.000,284.000
Liabilities,,,,1056158.000,1228321.000,876340.000,1030884.000
LiabilitiesAndStockholdersEquity,389.000,43.000,11.000,202.000,134.000,820.000,9278.000
LiabilitiesCurrent,549720.000,723269.000,873845.000,,,,
LoansPayable,,,,,29081.000,28126.000,27831.000
LoansPayableCurrent,,,,29274.000,29081.000,28126.000,27831.000
NotesAndLoansPayable,,,21694.000,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,,,,
PreferredStockSharesOutstanding,0.000,0.000,0.000,,,,
PropertyPlantAndEquipmentNet,,,,,,,8994.000
PropertyPlantAndEquipmentOtherAccumulatedDepreciation,,,,,,,101.000
RetainedEarningsAccumulatedDeficit,,,,,1277952.000,,-1606621.000
StockholdersEquity,-549331.000,-723226.000,-873834.000,-1055956.000,-1228187.000,-875520.000,-1021606.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,-1055956.000,-1228187.000,-875520.000,-1021606.000
