,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableCurrent,96231000.000,95630000.000,100563000.000,113922000.000,115699000.000,94917000.000,84637000.000,89983000.000,100805000.000,101371000.000,91136000.000,84640000.000,92616000.000,93357000.000,94478000.000,108172000.000,107118000.000,90285000.000,85743000.000,73472000.000,87093000.000,78444000.000
AccountsReceivableGrossCurrent,,221718000.000,242797000.000,257235000.000,250088000.000,250576000.000,227261000.000,239151000.000,219705000.000,248613000.000,217588000.000,225134000.000,224050000.000,221123000.000,224871000.000,214664000.000,214707000.000,216034000.000,213254000.000,242911000.000,218550000.000,211748000.000
AccountsReceivableNetCurrent,174526000.000,186897000.000,205968000.000,219557000.000,211189000.000,211871000.000,189778000.000,194654000.000,179901000.000,205315000.000,175223000.000,183369000.000,184239000.000,177074000.000,181447000.000,169400000.000,169096000.000,161155000.000,156075000.000,187888000.000,162896000.000,154212000.000
AccruedIncomeTaxesCurrent,,,,,,,,4736000.000,4266000.000,4176000.000,4880000.000,5389000.000,3797000.000,2260000.000,4226000.000,4056000.000,3254000.000,3774000.000,5913000.000,4342000.000,1469000.000,2130000.000
AccruedIncomeTaxesNoncurrent,9877000.000,14537000.000,15285000.000,16845000.000,16995000.000,16718000.000,12142000.000,15598000.000,16287000.000,17009000.000,14926000.000,12419000.000,12553000.000,12580000.000,11745000.000,11719000.000,11846000.000,11847000.000,9644000.000,9983000.000,10073000.000,10382000.000
AccruedLiabilitiesCurrent,,11617000.000,15836000.000,15496000.000,11276000.000,12470000.000,15267000.000,19165000.000,16181000.000,18959000.000,21483000.000,22515000.000,20658000.000,23333000.000,78479000.000,86193000.000,81961000.000,75664000.000,68721000.000,85095000.000,79835000.000,74607000.000
AccruedRentCurrent,,,,1000000.000,,,,,,,,,,,,,,,,,,
AccruedRentNoncurrent,,,,5300000.000,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,255444000.000,,,,288582000.000,,,,343685000.000,,,,376743000.000,,,,415184000.000,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,39000.000,54000.000,,,2000.000,56000.000,-13000.000,78000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,3730000.000,1042000.000,,,1014000.000,3257000.000,2251000.000,451000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,1841000.000,2896000.000,,,3180000.000,3244000.000,3673000.000,3759000.000,4219000.000,,,,2797000.000,,,,-947000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,115000.000,2330000.000,4663000.000,5610000.000,3992000.000,2683000.000,2546000.000,4196000.000,6557000.000,5911000.000,4288000.000,4372000.000,3406000.000,3842000.000,5202000.000,4111000.000,8120000.000,4950000.000,1099000.000,-1203000.000,-1474000.000,-2273000.000
AdditionalPaidInCapital,1194675000.000,1212637000.000,1234410000.000,1246201000.000,1273691000.000,1285851000.000,1303915000.000,1326436000.000,1332373000.000,1321690000.000,1334501000.000,1104273000.000,1113080000.000,1145694000.000,1157308000.000,1155829000.000,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,1151324000.000,1149273000.000,1157425000.000,1167701000.000,1181071000.000,1202263000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1912000.000,1935000.000,1864000.000,1732000.000,2017000.000,2297000.000,2644000.000,2921000.000,2706000.000,2671000.000,2722000.000,2827000.000,2805000.000,3398000.000,3105000.000,3040000.000,2968000.000,3014000.000,3031000.000,3023000.000,3016000.000,2964000.000
Assets,1630553000.000,1704913000.000,1744347000.000,1844805000.000,1881516000.000,1889266000.000,1873800000.000,1915351000.000,1908130000.000,1899428000.000,2135492000.000,1749030000.000,1754084000.000,1792054000.000,1791728000.000,1831222000.000,1802681000.000,1778914000.000,1754385000.000,1782247000.000,1799689000.000,1791703000.000
AssetsCurrent,875692000.000,935985000.000,892225000.000,953565000.000,996142000.000,1043451000.000,1029675000.000,1073253000.000,1064708000.000,1018780000.000,1272360000.000,901428000.000,913684000.000,925762000.000,937549000.000,998520000.000,999658000.000,967913000.000,952697000.000,949467000.000,983914000.000,1003832000.000
AssetsHeldForSaleCurrent,,,,,,62586000.000,64048000.000,,,,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,62586000.000,64048000.000,61014000.000,,,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,,,1000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,,,78000.000,94000.000,51000.000,73000.000,42000.000,258000.000,35000.000,9000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,50331000.000,96877000.000,82577000.000,87386000.000,106586.000,43429000.000,67510000.000,56900000.000,107219000.000,53432000.000,16874000.000,54348000.000,44006000.000,80104000.000,109370000.000,80624000.000,89117000.000,60150000.000,177878000.000,63364000.000,15696000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,78000.000,94000.000,50000.000,73000.000,42000.000,258000.000,35000.000,9000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,47264000.000,96877000.000,82577000.000,87386000.000,103586.000,41432000.000,65511000.000,-56900000.000,104220000.000,50433000.000,15370000.000,54348000.000,44006000.000,80104000.000,109370000.000,79819000.000,89117000.000,60150000.000,177878000.000,63364000.000,15696000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,3067000.000,0.000,,,3000.000,1997000.000,1999000.000,,2999000.000,2999000.000,1504000.000,,,,,805000.000,,,,,
AvailableForSaleSecuritiesCurrent,140473000.000,197239000.000,202181000.000,159426000.000,173910000.000,177422000.000,167639000.000,197196000.000,179939000.000,145683000.000,161339000.000,134684000.000,149890000.000,136320000.000,,,,,,,,
AvailableForSaleSecuritiesDebtSecurities,,283651000.000,287311000.000,257607000.000,255549000.000,259123.000,246485000.000,260792000.000,257481000.000,248441000.000,252040000.000,211151000.000,233916000.000,249535000.000,251969000.000,253924000.000,261474000.000,261551000.000,261947000.000,261813000.000,262597000.000,263136000.000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,,,,,,,,,,,,,,,151069000.000,185783000.000,206085000.000,198160000.000,198155000.000,184242000.000,171265000.000,126238000.000
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,,,,,,,,,,,,,,,85599000.000,59197000.000,41158000.000,49391000.000,44428000.000,46484000.000,41168000.000,18788000.000
AvailableForSaleSecuritiesEquitySecurities,,,,,252000.000,201.000,170000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent,35674000.000,48168000.000,48345000.000,56772000.000,53824000.000,42853000.000,45204000.000,50333000.000,45650000.000,84465000.000,79776000.000,56372000.000,65835000.000,90915000.000,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses1,,,0.000,,,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,,1.000,3000.000,,,3000.000,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1,,,55000.000,55000.000,56000.000,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,,84.000,79000.000,39000.000,26000.000,82000.000,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses1,,,55000.000,55000.000,56000.000,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,,83.000,76000.000,39000.000,-26000.000,79000.000,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,163600000.000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityOtherNoncashConsideration,,,,200000.000,,,,,,,,,,,,,,,,,,
