,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndNotesReceivableNet,,,,,,,391345.000,107207.000,121643.000,,,,,,,,,,,,,,
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,50876.000,109106.000,101515.000,47993.000,27890.000,41079.000,95439.000,137074.000,1750.000,88243.000,16918.000,137448.000,54832.000,11004.000,5096.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,,,1201048.000,1230241.000,1218325.000,1321958.000,1356127.000,1449296.000,1501060.000,1549399.000,1601001.000
AccountsPayableCurrent,877239.000,810923.000,552660.000,616813.000,771415.000,559946.000,554596.000,524514.000,527367.000,641074.000,476096.000,382335.000,813640.000,882434.000,470042.000,429547.000,348656.000,295734.000,304876.000,283298.000,295449.000,378123.000,521081.000
AccountsPayableOtherCurrent,,,,,87349.000,82195.000,85637.000,97835.000,110033.000,124917.000,9779.000,3779.000,0.000,,100000.000,100000.000,100000.000,,,,,,
AccountsPayableRelatedPartiesCurrent,,42263.000,58367.000,66591.000,87349.000,82195.000,86261.000,98459.000,110657.000,160374.000,10809.000,4403.000,415396.000,501396.000,116772.000,104066.000,100000.000,8212.000,10677.000,24215.000,38332.000,61986.000,74952.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,624.000,,,,,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,807967.000,795940.000,686648.000,395359.000,438227.000,512842.000,451163.000,236980.000,200103.000,149130.000,149848.000,163661.000,203741.000,191641.000,179717.000,177704.000,171455.000,133777.000,87764.000,73403.000,84788.000,1500.000,1525.000
AccountsReceivableRelatedParties,,,,,,,,,,,,,,,,18303.000,,,,,,,
AccruedInsuranceCurrentAndNoncurrent,,,,,250000.000,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,268374.000,72646.000,404409.000,105299.000,130866.000,140975.000,159091.000,173616.000,122660.000,126990.000,125113.000,128081.000,172523.000,110976.000,110730.000,96417.000,146825.000,140118.000,109766.000,164827.000,213234.000,232802.000,180638.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,,,5425.000,,
AccruedPayrollTaxesCurrent,,,,,,,,,,1672893.000,,,,,,,,,,,,,
AccruedSalariesCurrent,,,,,1416857.000,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,334551.000,,,,322995.000,,,,364625.000,,,,276523.000,,,,330577.000,
AdditionalPaidInCapitalCommonStock,32713926.000,33820520.000,33966619.000,34008203.000,33972768.000,35723001.000,35792064.000,36519756.000,36943124.000,36994742.000,38093734.000,38138143.000,38142594.000,38768460.000,41341646.000,41341810.000,41380798.000,41560619.000,41560619.000,41723913.000,41723913.000,41745913.000,41971091.000
