,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2015-03-31
AccountsPayable,,,,,809.000,,,,,,,,,
AccountsPayableCurrent,,,,,,608550.000,133373.000,66763.000,179547.000,62655.000,77707.000,110594.000,162959.000,77110.000
AccountsPayableOtherCurrent,,,,,,,,,,,,,,0.000
AccountsPayableRelatedPartiesCurrent,,,,,,,210000.000,300000.000,207051.000,156610.000,106610.000,106610.000,106610.000,169884.000
AccountsReceivableNetCurrent,,,,,,4770.000,1742.000,157.000,329.000,704.000,683.000,823.000,879.000,2846.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,-1927.000,-1032.000,,,2082.000,,,,
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,,,,,,,,,,,,2393093.000,,
AcquisitionCostsCumulative,,,,,,,,,365904.000,,399823.000,399823.000,399823.000,
AdditionalPaidInCapital,56605.000,56605.000,56605.000,56605.000,56605.000,654155.000,889705.000,1010148.000,1326808.000,1818389.000,2260882.000,2260882.000,2303737.000,2539653.000
AssetRetirementObligationCurrent,,,,,,62029.000,63591.000,95771.000,101778.000,104100.000,106420.000,108742.000,111062.000,
AssetRetirementObligationLegallyRestrictedAssetsFairValue,,,,,,,,,,94042.000,,,,
Assets,34733.000,29331.000,22263.000,18473.000,13000.000,1829645.000,481687.000,350153.000,524994.000,551000.000,604500.000,542630.000,598559.000,39988.000
AssetsCurrent,,,,,,1524905.000,250758.000,86991.000,27241.000,50267.000,101688.000,19413.000,75703.000,14752.000
AssetsNoncurrent,,,,,,304740.000,230929.000,263162.000,497753.000,499696.000,502812.000,523217.000,522856.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,62538.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,12909.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,43842.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,48867.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,53081.000,,,,,,,
CapitalizedComputerSoftwareNet,17000.000,16000.000,15000.000,14000.000,13000.000,,,,,,,,,
Cash,,,,,,578928.000,113975.000,39113.000,5440.000,49563.000,101005.000,18590.000,74824.000,11906.000
CashAndCashEquivalentsAtCarryingValue,17733.000,13331.000,7263.000,4473.000,,1515995.000,246118.000,39113.000,5440.000,49563.000,101005.000,18590.000,74824.000,11906.000
CashEquivalentsAtCarryingValue,17733.000,13331.000,,,,,,,,,,,,
CommonStockIssuedEmployeeStockTrust,,,,,,,,,,953382.000,,,,
CommonStockParOrStatedValuePerShare,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,,65000000.000,65000000.000,65000000.000,65000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,,3795000.000,3795000.000,3795000.000,3795000.000,60125000.000,60125000.000,60325000.000,60606250.000,61114602.000,62869337.000,62864337.000,63164337.000,103323338.000
CommonStockSharesOutstanding,,3795000.000,3795000.000,3795000.000,3795000.000,60125000.000,60125000.000,60325000.000,60606250.000,61114602.000,62869337.000,62864337.000,63164337.000,103323338.000
CommonStockValue,3795.000,3795.000,3795.000,3795.000,3795.000,60125.000,60125.000,60325.000,60606.000,61115.000,62864.000,62864.000,63164.000,103323.000
ConvertibleDebtCurrent,,,,,,,,,,,,,,-348774.000
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,348774.000
DebtCurrent,,,,,,,,,,,,,,146363.000
DebtDefaultLongtermDebtAmount,,,,,,,,,,,,,,170581.000
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,420500.000
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,15661.000,-133276.000
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,0.000,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,60400.000,,,,635240.000,,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,81600.000,,,,178429.000,,,,
DeferredTaxAssetsValuationAllowance,,,,,,-142000.000,,,,-813669.000,,,,
DepositAssets,,,,,,21300.000,21300.000,21300.000,21300.000,21300.000,21300.000,21300.000,21300.000,21300.000
Deposits,,,,,,20000.000,20000.000,,,,,,,
DerivativeLiabilities,,,,,,,,,,,,,,325553.000
FurnitureAndFixturesGross,,,,,,6613.000,,,,,,,,
InterestReceivable,,,,,,,,,,,,,133.000,
Liabilities,1600.000,,,1600.000,2409.000,1517571.000,651050.000,724965.000,753831.000,599190.000,537591.000,611977.000,894515.000,1291190.000
LiabilitiesAndStockholdersEquity,34733.000,29331.000,22263.000,18473.000,13000.000,1829645.000,481687.000,350153.000,524994.000,551000.000,604500.000,542630.000,598559.000,39988.000
LiabilitiesCurrent,,,,,,1455542.000,587459.000,629192.000,652053.000,495090.000,430622.000,503235.000,738254.000,1291190.000
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,,,,,,,,,,,,,,-50000.000
LongTermInvestments,,,,,,,,,,1037.000,,,,
NotesAndLoansPayable,1600.000,1600.000,1600.000,1600.000,1600.000,,,,,,,,,
NotesPayableRelatedPartiesClassifiedCurrent,,,,,,50000.000,50000.000,50000.000,50000.000,50000.000,,,20133.000,
OilAndGasJointInterestBillingReceivablesCurrent,,,,,,,,,,704.000,,,,
OilAndGasPropertySuccessfulEffortMethodGross,,,,,,278754.000,203637.000,,,472520.000,,,,
OilAndGasPropertySuccessfulEffortMethodNet,,,,,,278754.000,203637.000,235909.000,470538.000,472520.000,475998.000,496764.000,496764.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,62538.000,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,12909.000,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,43842.000,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,48867.000,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,53081.000,,,,,,,,
OperatingLossCarryforwards,,,,,,60400.000,,,,1114602.000,,,,
OtherAssets,,,,,,,,,,,,,,21300.000
OtherLiabilities,,,1600.000,,,,,,,,,,,
OtherLiabilitiesCurrent,,,,,,,61943.000,86616.000,129676.000,172735.000,208796.000,251855.000,294916.000,369869.000
PreferredStockParOrStatedValuePerShare,,0.001,0.001,0.001,0.001,,,,,,,,,0.001
