,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsPayableCurrent,23541000.000,36815000.000,37541000.000,36733000.000,21787000.000
AccountsReceivableNetCurrent,16884000.000,28374000.000,25044000.000,15446000.000,10060000.000
AccountsReceivableNetNoncurrent,107000.000,70000.000,48000.000,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,286000.000,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,,,,10000.000,
AccruedIncomeTaxes,,,,1704000.000,
AccruedIncomeTaxesCurrent,,,,1598000.000,
AccruedIncomeTaxesNoncurrent,,,,5558000.000,4997000.000
AccruedLiabilitiesCurrent,7467000.000,12571000.000,11881000.000,12254000.000,13099000.000
AccruedSalesCommissionCurrent,,,,134000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1503000.000,-3249000.000,-3476000.000,-3696000.000,-3578000.000
AdditionalPaidInCapitalCommonStock,30721000.000,30888000.000,31749000.000,33243000.000,33284000.000
AllowanceForDoubtfulAccountsReceivable,1632000.000,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,1806000.000,1717000.000,1274000.000
Assets,120928000.000,122003000.000,116968000.000,103518000.000,104563000.000
AssetsCurrent,42285000.000,55900000.000,50622000.000,41189000.000,45794000.000
AssetsHeldForSaleCurrent,,,,,20627000.000
AssetsHeldForSaleOtherNoncurrent,,,,,10395000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,31022000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,20627000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,10395000.000
BusinessAcquisitionContingentConsiderationAtFairValue,,,,4734000.000,5537000.000
BusinessAcquisitionContingentConsiderationAtFairValueCurrent,,,,4734000.000,5537000.000
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,5150000.000,5150000.000
BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable,,,,2244000.000,2244000.000
BusinessAcquisitionPreacquisitionContingencyAmount,1945000.000,2464000.000,4397000.000,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,,,,16382000.000,16382000.000
CapitalLeaseObligationsCurrent,,,,-1422000.000,-1455000.000
CapitalLeaseObligationsNoncurrent,333000.000,,,1041000.000,865000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,2713000.000,2590000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,296000.000,257000.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,523000.000,512000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,1894000.000,1228000.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,250000.000,270000.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,2463000.000,2320000.000
CapitalLeasesFutureMinimumPaymentsReceivableCurrent,2480000.000,,,,
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,593000.000
CapitalLeasesLessorBalanceSheetNetInvestmentInDirectFinancingAndSalesTypeLeasesNoncurrent,11612000.000,,,,
CashAndCashEquivalentsAtCarryingValue,1392000.000,1461000.000,1381000.000,1340000.000,2243000.000
CommitmentsAndContingencies,,,0.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000
CommonStockSharesIssued,9875491.000,9894374.000,10282532.000,10975269.000,10975269.000
CommonStockSharesOutstanding,9875491.000,9894374.000,10282532.000,10975269.000,10975269.000
CommonStockValue,10000.000,10000.000,10000.000,11000.000,11000.000
CustomerDepositsCurrent,,,,252000.000,
DebtInstrumentCarryingAmount,,,,20916000.000,
DebtInstrumentUnamortizedDiscount,1030000.000,,,,
DebtInstrumentUnamortizedDiscountPremiumNet,,,,346000.000,
DeferredCosts,4008000.000,1446000.000,1156000.000,1181000.000,
DeferredCostsCurrent,8803000.000,13044000.000,9470000.000,9232000.000,1633000.000
DeferredRevenueCurrent,13422000.000,13155000.000,13245000.000,11894000.000,129000.000
DeferredRevenueNoncurrent,6029000.000,2761000.000,2668000.000,2651000.000,866000.000
DeferredTaxAssetsNetCurrent,647000.000,,,,
DeferredTaxLiabilitiesNoncurrent,2701000.000,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,,,,,11950000.000
DisposalGroupIncludingDiscontinuedOperationAccountsPayable,,,,,19494000.000
DisposalGroupIncludingDiscontinuedOperationAccruedLiabilities,,,,,830000.000
DisposalGroupIncludingDiscontinuedOperationGoodwill,,,,,3765000.000
DisposalGroupIncludingDiscontinuedOperationIntangibleAssetsNet,,,,,5163000.000
DisposalGroupIncludingDiscontinuedOperationInventory,,,,,1203000.000
DisposalGroupIncludingDiscontinuedOperationOtherCurrentAssets,,,,,7042000.000
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,,,,5000.000
DisposalGroupIncludingDiscontinuedOperationOtherNoncurrentAssets,,,,,1003000.000
DisposalGroupIncludingDiscontinuedOperationOtherNoncurrentLiabilities,,,,,18000.000
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentNet,,,,,464000.000
DueToRelatedPartiesCurrent,,,,0.000,
EmployeeRelatedLiabilitiesCurrent,,,,2271000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,100547.000,59000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,-2202000.000
FiniteLivedIntangibleAssetsGross,,,,,8491000.000
FiniteLivedIntangibleAssetsNet,20564000.000,14619000.000,13868000.000,12415000.000,6289000.000
Goodwill,30067000.000,25839000.000,26194000.000,24615000.000,20779000.000
InterestPayableCurrent,,,,677000.000,
InventoryNet,1495000.000,3413000.000,3827000.000,2647000.000,1212000.000
InventoryNoncurrent,311000.000,,,,
Liabilities,101415000.000,115871000.000,116052000.000,109803000.000,116092000.000
LiabilitiesAndStockholdersEquity,120928000.000,122003000.000,116968000.000,103518000.000,104563000.000
LiabilitiesCurrent,69443000.000,90045000.000,91495000.000,88978000.000,97083000.000
LiabilitiesFairValueDisclosure,,,,4734000.000,5537000.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,,,38376000.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,36846000.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,1530000.000
LineOfCredit,,,,854000.000,
LineOfCreditFacilityAmountOutstanding,,,,495000.000,
LinesOfCreditCurrent,,,,4970000.000,
LongTermDebt,,,,20570000.000,16144000.000
LongTermDebtCurrent,12842000.000,15745000.000,15927000.000,15466000.000,11604000.000
LongTermDebtNoncurrent,7801000.000,6479000.000,6079000.000,5104000.000,4540000.000
NotesPayable,,,,4056000.000,
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,86000.000,
NotesPayableToBank,,,,1950000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,0.000,
OtherAccruedLiabilitiesCurrent,,,,2020000.000,
OtherAssets,613000.000,,,,
OtherAssetsNoncurrent,,443000.000,468000.000,441000.000,436000.000
OtherLiabilitiesNoncurrent,,,,7002000.000,7024000.000
OtherLongTermDebt,,,,3000.000,
OtherLongTermDebtNoncurrent,7823000.000,7955000.000,7962000.000,,
OtherSecuredFinancings,,,,2525000.000,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,,0.000,0.000
PreferredStockValue,,,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,2957000.000,2017000.000,2436000.000,4479000.000,1911000.000
PropertyPlantAndEquipmentNet,6891000.000,6317000.000,6523000.000,6334000.000,5715000.000
RedeemableNoncontrollingInterestEquityCarryingAmount,3686000.000,2267000.000,1640000.000,419000.000,-544000.000
RetainedEarningsAccumulatedDeficit,-16407000.000,-23784000.000,-29007000.000,-36262000.000,-40702000.000
SalesAndExciseTaxPayableCurrent,,,,2392000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,1305737.000,1373028.000
StockholdersEquity,,3865000.000,-724000.000,-6704000.000,-10985000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,15827000.000,6132000.000,916000.000,-6285000.000,-11529000.000
SubordinatedDebt,,,,1108000.000,
TaxesPayableCurrent,,,,-1461000.000,-1386000.000
TaxesPayableCurrentAndNoncurrent,,,,7019000.000,6383000.000
UnsecuredDebtCurrent,,,,0.000,
