,2016-12-31
AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock,47000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,8566000.000
AllocatedShareBasedCompensationExpense,16881000.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,0.000
AmortizationOfFinancingCostsAndDiscounts,445000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,4234421.000
CapitalExpendituresIncurredButNotYetPaid,130000.000
CapitalLeaseObligationsIncurred,35941000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,42143000.000
ContractsRevenue,6053000.000
DefinedContributionPlanCostRecognized,0.000
Depreciation,1202000.000
EarningsPerShareBasicAndDiluted,-3.020
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,-0.354
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,-0.036
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.035
EffectiveIncomeTaxRateReconciliationTaxCredits,0.015
FairValueAdjustmentOfWarrants,87000.000
GeneralAndAdministrativeExpense,46262000.000
IncreaseDecreaseInAccountsPayable,3251000.000
IncreaseDecreaseInAccountsReceivable,-931000.000
IncreaseDecreaseInAccruedLiabilities,11841000.000
IncreaseDecreaseInDeferredRevenue,935000.000
IncreaseDecreaseInOtherNoncurrentAssets,-2246000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,986000.000
IncreaseDecreaseInRestrictedCash,1619000.000
InterestPaid,465000.000
InvestmentIncomeNet,62000.000
LeaseAndRentalExpense,2500000.000
NetCashProvidedByUsedInFinancingActivities,97161000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,97161000.000
NetCashProvidedByUsedInInvestingActivities,-5092000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-5092000.000
NetCashProvidedByUsedInOperatingActivities,-49926000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-49926000.000
NetIncomeLoss,-97183000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-97230000.000
NonoperatingIncomeExpense,5000.000
OperatingExpenses,103241000.000
OperatingIncomeLoss,-97188000.000
OtherNoncashIncomeExpense,-114000.000
OtherNonoperatingIncomeExpense,-57000.000
PaymentsToAcquirePropertyPlantAndEquipment,3493000.000
ProceedsFromIssuanceOfCommonStock,97488000.000
ProceedsFromSaleOfMachineryAndEquipment,20000.000
ProceedsFromStockOptionsExercised,233000.000
RepaymentsOfDebtAndCapitalLeaseObligations,560000.000
ResearchAndDevelopmentExpense,56979000.000
ResearchAndDevelopmentInProcess,10000000.000
ShareBasedCompensation,16881000.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,199962000.000
StockIssuedDuringPeriodValueNewIssues,97488000.000
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,11000.000
StockIssuedDuringPeriodValueStockOptionsExercised,233000.000
StraightLineRentAdjustments,310000.000
TemporaryEquityAccretionToRedemptionValue,47000.000
TemporaryEquityAccretionToRedemptionValueAdjustment,47000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,34400000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,32219717.000
