,2012-01-31,2013-01-31
CashPeriodIncreaseDecrease,0.000,
CostsAndExpenses,55619.000,
EarningsPerShareBasicAndDiluted,-22.250,-0.100
GeneralAndAdministrativeExpense,33619.000,12000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-55619.000,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-22.250,
IncomeTaxExpenseBenefit,0.000,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,12000.000
IncomeTaxReconciliationNondeductibleExpenseDepreciation,,0.000
IncomeTaxReconciliationNondeductibleExpenseOther,,4222000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1950.000,
IncreaseDecreaseInDueToRelatedParties,41669.000,
NetCashProvidedByUsedInOperatingActivities,0.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,0.000,
NetIncomeLoss,-55619.000,-4234000.000
OperatingExpenses,,4234000.000
OperatingIncomeLoss,,-4234000.000
OtherComprehensiveIncomeLossBeforeTax,,-4234000.000
ProfessionalFees,22000.000,
ProfitLoss,,-4234000.000
Revenues,0.000,
SalesRevenueNet,0.000,
ShareBasedCompensation,,4222000.000
StockIssuedDuringPeriodSharesIssuedForServices,,4222000.000
StockIssuedDuringPeriodValueIssuedForServices,,4222000.000
StockIssuedDuringPeriodValueNewIssues,12000.000,
