,2011-06-30,2011-09-30,2012-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-7000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,35000.000
BankOwnedLifeInsuranceIncome,39000.000,42000.000,51000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,4397000.000
CommunicationsAndInformationTechnology,122000.000,127000.000,129000.000
ComprehensiveIncomeNetOfTax,,,-932000.000
DeferredIncomeTaxExpenseBenefit,,,-537000.000
Depreciation,,,113000.000
DividendsPreferredStock,33000.000,33000.000,37000.000
DividendsPreferredStockCash,,,37000.000
EarningsPerShareBasic,0.170,0.210,-0.220
EarningsPerShareDiluted,0.170,0.210,-0.220
FederalDepositInsuranceCorporationPremiumExpense,122000.000,31000.000,115000.000
FeesAndCommissionsDepositorAccounts,47000.000,46000.000,36000.000
FeesAndCommissionsOther,63000.000,44000.000,94000.000
ForeclosedRealEstateExpense,38000.000,22000.000,49000.000
GainLossOnSaleOfLoansAndLeases,,,82000.000
GainLossOnSalesOfLoansNet,0.000,18000.000,82000.000
GainOnSaleOfInvestments,,44000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,584000.000,731000.000,-672000.000
IncomeTaxExpenseBenefit,225000.000,282000.000,-277000.000
IncomeTaxesPaid,,,2000.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,-121000.000
IncreaseDecreaseInDeposits,,,11565000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-232000.000
InterestAndDividendIncomeOperating,4149000.000,4254000.000,3971000.000
InterestAndDividendIncomeSecurities,887000.000,956000.000,784000.000
InterestAndFeeIncomeLoansAndLeases,3259000.000,3295000.000,3183000.000
InterestExpense,1110000.000,1091000.000,838000.000
InterestExpenseBorrowings,178000.000,176000.000,121000.000
InterestExpenseDeposits,932000.000,915000.000,717000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,2821000.000,2956000.000,1730000.000
InterestIncomeExpenseNet,3039000.000,3163000.000,3133000.000
InterestIncomeFederalFundsSold,3000.000,3000.000,4000.000
InterestPaid,,,870000.000
LaborAndRelatedExpense,1361000.000,1453000.000,1503000.000
MarketingAndAdvertisingExpense,41000.000,41000.000,43000.000
NetCashProvidedByUsedInFinancingActivities,,,-3472000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-3472000.000
NetCashProvidedByUsedInInvestingActivities,,,8287000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,8287000.000
NetCashProvidedByUsedInOperatingActivities,,,-418000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-418000.000
NetIncomeLoss,359000.000,449000.000,-395000.000
NetIncomeLossAvailableToCommonStockholdersBasic,326000.000,416000.000,-432000.000
NoninterestExpense,2386000.000,2419000.000,2665000.000
NoninterestIncome,149000.000,194000.000,263000.000
OccupancyNet,362000.000,384000.000,388000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,-537000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,-537000.000
OtherNoninterestExpense,170000.000,188000.000,219000.000
PaymentsForProceedsFromFederalHomeLoanBankStock,,,-675000.000
PaymentsForProceedsFromLoansAndLeases,,,-7710000.000
PaymentsOfDividendsPreferredStockAndPreferenceStock,,,37000.000
PaymentsToAcquireAvailableForSaleSecurities,,,18500000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,315000.000
ProceedsFromIssuanceOfLongTermDebt,,,0.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,18717000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,,,0.000
ProfessionalFees,170000.000,173000.000,219000.000
ProvisionForLoanAndLeaseLosses,218000.000,207000.000,1403000.000
RepaymentsOfFederalHomeLoanBankBorrowings,,,15000000.000
ShareBasedCompensation,,,35000.000
WeightedAverageNumberOfDilutedSharesOutstanding,1957.000,1954000.000,1954000.000
WeightedAverageNumberOfSharesOutstandingBasic,1954.000,1954000.000,1954000.000
