,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,258258.000,112302.000,190976.000
AccruedLiabilitiesCurrent,18419.000,33434.000,45578.000
AdditionalPaidInCapital,6608333.000,9392007.000,9668861.000
Assets,6207576.000,11064538.000,10033222.000
AssetsCurrent,144819.000,2167504.000,1432632.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,6130381.000,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,0.000,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,242614.000,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,6120000.000,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,1772478.000,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,10381.000,,
CashAndCashEquivalentsAtCarryingValue,139819.000,2039907.000,611670.000
ClassOfWarrantOrRightOutstanding,,4128510.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,19132453.000,21711953.000,22178882.000
CommonStockSharesOutstanding,19132453.000,21711953.000,22178882.000
CommonStockValue,19132.000,21712.000,22179.000
CostMethodInvestments,,148860.000,
CostMethodInvestmentsOriginalCost,,322360.000,
DeferredTaxAssetsOperatingLossCarryforwards,,350.000,
DeferredTaxAssetsValuationAllowance,,350.000,
DueToAffiliateCurrent,,0.000,
DueToOfficersOrStockholdersCurrent,,0.000,
DueToRelatedPartiesCurrent,85851.000,415.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,562714.000,821320.000
IntangibleAssetsNetExcludingGoodwill,5730290.000,8747286.000,8488680.000
InterestPayableCurrent,3781.000,2193.000,2489.000
InterestReceivableCurrent,,,4570.000
Investments,322360.000,148860.000,111072.000
Liabilities,401361.000,173157.000,266937.000
LiabilitiesAndStockholdersEquity,6207576.000,11064538.000,10033222.000
LiabilitiesCurrent,381361.000,163157.000,256937.000
LinesOfCreditCurrent,15052.000,14813.000,17894.000
NotesPayableRelatedPartiesNoncurrent,20000.000,10000.000,10000.000
NotesReceivableRelatedPartiesCurrent,,,729907.000
OperatingLossCarryforwards,821250.000,1592338.000,2994755.000
OtherAdditionalCapital,,3070000.000,3070000.000
OtherAssetsCurrent,,127597.000,86485.000
PrepaidExpenseCurrent,5000.000,,
PropertyPlantAndEquipmentNet,10107.000,888.000,838.000
RetainedEarningsAccumulatedDeficit,-821250.000,-1592338.000,-2994755.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,,4128510.000,2458761.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,5000000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,2218000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,292000.000,688248.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,1.000,1.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,2332000.000,2782000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,1.000,1.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,593775.000,
SharePrice,,1.000,1.000
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,,262590.000,148649.000
StockholdersEquity,58062215.000,10891381.000,9766285.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,5806215.000,10891381.000,9766285.000
