,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,3531000.000,2865000.000,3847000.000,3016000.000,3645000.000,3100000.000,3448000.000,8977000.000,9369000.000,9240000.000,8418000.000,6981000.000,8091000.000
AccountsPayableCurrent,,,,,,1924000.000,,,,4498000.000,,,
AccountsReceivableNetCurrent,5778000.000,3679000.000,5727000.000,5378000.000,4934000.000,5630000.000,5611000.000,9958000.000,10203000.000,7781000.000,9009000.000,10077000.000,12227000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,5143000.000,,,,8657000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-478000.000,-485000.000,-1428000.000,-1418000.000,-1416000.000,-2325000.000,-2345000.000,-2255000.000,-2163000.000,-421000.000,-405000.000,-449000.000,-924000.000
AdditionalPaidInCapitalCommonStock,82789000.000,83095000.000,83407000.000,83735000.000,84280000.000,84539000.000,84834000.000,103103000.000,103494000.000,103642000.000,111469000.000,115941000.000,119156000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,400000.000,,,,600000.000,,,
Assets,37887000.000,34209000.000,35806000.000,34014000.000,34321000.000,15115000.000,14743000.000,47487000.000,49962000.000,50652000.000,49982000.000,56791000.000,62269000.000
AssetsCurrent,15581000.000,14312000.000,15375000.000,13535000.000,13073000.000,11024000.000,10771000.000,16820000.000,18421000.000,18388000.000,17970000.000,19446000.000,23000000.000
AvailableForSaleSecurities,,,,,,4822.000,,,,5271.000,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,,,16600000.000,16600000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,,,,,,,,,,9930000.000,9930000.000,,
CapitalLeaseObligationsCurrent,36000.000,37000.000,38000.000,38000.000,26000.000,20000.000,13000.000,224000.000,227000.000,215000.000,190000.000,164000.000,137000.000
CapitalLeasedAssetsGross,,,,,,150000.000,,,,1000000.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,20000.000,,,,215000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,10000.000,,,,43000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,14000.000,,,,159000.000,,,
