,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AllocatedShareBasedCompensationExpense,,,,,67043.000,485161.000,173133.000,,,,,,,,
AmortizationOfDebtDiscountPremium,0.000,,,,0.000,,,,,,,,,,
CashPeriodIncreaseDecrease,3418.000,,,,388499.000,,,,912995.000,,,,-247727.000,,
CostOfRevenue,,,,,,,,,3900.000,3900.000,7763.000,0.000,10193.000,0.000,
Depreciation,,,,,919.000,,,,907.000,,,,5906.000,,
DepreciationAmortizationAndAccretionNet,1274.000,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.020,-0.010,-0.030,-0.040,-0.030,-0.040,-0.030,-0.010,-0.020,-0.030,-0.040,-0.050,-0.040,-0.030,-0.030
ExtinguishmentOfDebtGainLossIncomeTax,0.000,,,,,,,,,,,,,,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,0.000,,,,,,,,,,
GainLossOnForeignCurrencyFairValueHedgeDerivatives,,,,,,,,,-28769.000,8813.000,-2331.000,-1806.000,0.000,0.000,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,0.000,96371.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,180526.000,151891.000,324457.000,-397920.000,220169.000,,,,,,,,,,
GrossProfit,,,,,,189146.000,93942.000,,600.000,600.000,2687.000,0.000,-10193.000,0.000,
IncomeTaxExpenseBenefitContinuingOperationsGovernmentGrants,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,0.000,,,,0.000,,
IncreaseDecreaseInAccountsPayable,38678.000,,,,62121.000,,,,-16087.000,,,,1385.000,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,28769.000,,,,0.000,,
IncreaseDecreaseInAccruedLiabilities,52018.000,,,,-23468.000,,,,32994.000,,,,47192.000,,
IncreaseDecreaseInBookOverdrafts,0.000,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,,,-103595.000,,,,-12541.000,,,,-57916.000,,
IncreaseDecreaseInNotesPayableCurrent,103584.000,,,,,,,,,,,,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,0.000,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,-10850.000,,,,-2540.000,,,,4734.000,,
InterestExpense,-50128.000,-49924.000,-50982.000,-43219.000,-42084.000,42164.000,-42616.000,-126290.000,-40418.000,-73990.000,-79004.000,465396.000,71721.000,67035.000,65526.000
InterestPaidNet,0.000,,,,67196.000,,,,8598.000,,,,24671.000,,
LicensesRevenue,0.000,110000.000,0.000,5000.000,0.000,,,,4500.000,4500.000,0.000,0.000,0.000,0.000,
LossOnSaleOfInvestments,,,,,0.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,154500.000,,,,885053.000,,,,1233050.000,,,,438450.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,154500.000,,,,885053.000,,,,1233050.000,,,,438450.000,,
NetCashProvidedByUsedInInvestingActivities,0.000,,,,-36350.000,,,,,,,,0.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,-36350.000,,,,,,,,0.000,,
NetCashProvidedByUsedInOperatingActivities,-151082.000,,,,-460204.000,,,,-320055.000,,,,-686177.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-151082.000,,,,-460204.000,,,,-320055.000,,,,-686177.000,,
NetIncomeLoss,-247927.000,-127572.000,-393289.000,-464176.000,-452374.000,-636682.000,-457488.000,-376928.000,-419742.000,,-866717.000,,-808100.000,-610551.000,-667507.000
OperatingExpenses,197799.000,187648.000,342307.000,329586.000,410290.000,783664.000,492050.000,314228.000,351155.000,575302.000,788069.000,793754.000,726186.000,543516.000,601981.000
OperatingIncomeLoss,-197799.000,-77648.000,-342307.000,-324586.000,-410290.000,-594518.000,-398108.000,-314135.000,-350555.000,-574702.000,-785382.000,-793754.000,-736379.000,-543516.000,-601981.000
OtherExpenses,-50128.000,,-50982.000,,,,59380.000,,-69187.000,-65177.000,-81335.000,511776.000,71721.000,67035.000,65526.000
OtherOperatingIncomeExpenseNet,,-49924.000,,,-42084.000,,,,,,,,,,
OtherSellingGeneralAndAdministrativeExpense,,,,,,405754.000,85353.000,,,,,,,,
PaymentsToAcquireMachineryAndEquipment,0.000,,,,-36350.000,,,,,,,,,,
ProceedsFromConvertibleDebt,,,,,,,,,1086050.000,,,,,,
ProceedsFromIssuanceOfCommonStock,54500.000,,,,885000.000,,,,147000.000,,,,463450.000,,
ProceedsFromIssuanceOfDebt,,,,,0.000,,,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,0.000,,,,,,,,,,,,,,
ProceedsFromIssuanceOfOtherLongTermDebt,100000.000,,,,0.000,,,,,,,,,,
ProceedsFromIssuanceOfWarrants,,,,,53.000,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,30000.000,,
ProfitLoss,-247927.000,,,,-452374.000,,,,-419742.000,-639879.000,,,-808100.000,,
ProvisionForDoubtfulAccounts,,,,,,,,,-11000.000,,,,0.000,,
RelatedPartiesAmountInCostOfSales,,,,,,25659.000,22658.000,,,,,,,,
RepaymentsOfRelatedPartyDebt,0.000,,,,0.000,,,,,,,,55000.000,,
ResearchAndDevelopmentExpense,17273.000,35757.000,17850.000,727506.000,190121.000,168610.000,156286.000,95182.000,133685.000,354016.000,389851.000,373171.000,304302.000,259941.000,241809.000
Revenues,0.000,110000.000,,,,214805.000,116600.000,,4500.000,4500.000,10450.000,0.000,0.000,0.000,
SalesRevenueNet,0.000,110000.000,,,,214805.000,116600.000,,4500.000,0.000,10450.000,0.000,0.000,0.000,
SellingGeneralAndAdministrativeExpense,,,,,,615054.000,335764.000,,217470.000,221286.000,398218.000,420583.000,421884.000,283575.000,360172.000
ShareBasedCompensation,4875.000,,,,67043.000,,,,79185.000,,,,110429.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,11614481.000,11704387.000,12445914.000,-23343706.000,16005194.000,17380608.000,18197241.000,-33798816.000,19291241.000,19772906.000,20448611.000,-39168496.000,21506956.000,22470045.000,22964764.000
