,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdministrativeFeesAmountPaid,,,,51000.000,45000.000,,65000.000,52000.000,60000.000,,,,,,,,
AdministrativeFeesExpense,,,,,,,,,,,46000.000,49000.000,43000.000,77000.000,100000.000,125000.000,96000.000
AssetImpairmentCharges,,,,,,,,,0.000,,0.000,0.000,,,0.000,,
AssetManagementCosts,,,,,,,,,,,,,25000.000,,,,
CapitalLeasesIncomeStatementDirectFinancingLeaseRevenue,70000.000,66000.000,53000.000,46000.000,39000.000,31000.000,22000.000,11000.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,949000.000,1066000.000,470000.000,581000.000,816000.000,-2535000.000,339000.000,408000.000,4091000.000,-3862000.000,179000.000,110000.000,97000.000,-1787000.000,69000.000,4000.000,20000.000
CostOfPropertyRepairsAndMaintenance,137000.000,155000.000,157000.000,212000.000,145000.000,145000.000,129000.000,115000.000,112000.000,274000.000,193000.000,185000.000,260000.000,131000.000,253000.000,230000.000,170000.000
CostsAndExpenses,,,,,,,,,,,,,,,,,326000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsPaidPerUnit,,,,,,,,,,,0.000,0.000,0.000,0.130,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsPaidPerUnit,,,,,,,,,0.000,,,,,,,,
GainLossOnDispositionOfAssets,,,,,,,,,,,,,3000.000,,,,
GeneralInsuranceExpense,-23000.000,2000.000,2000.000,4000.000,3000.000,2000.000,16000.000,31000.000,44000.000,36000.000,28000.000,38000.000,47000.000,39000.000,30000.000,30000.000,27000.000
IncreaseDecreaseInAccountsPayableRelatedParties,-78000.000,-78000.000,-315000.000,-46000.000,33000.000,78000.000,-153000.000,-37000.000,-35000.000,-5000.000,-55000.000,-49000.000,-43000.000,71000.000,15000.000,3000.000,-76000.000
IncreaseDecreaseInAccountsReceivable,65000.000,-65000.000,43000.000,92000.000,-125000.000,457000.000,-88000.000,-153000.000,-63000.000,-164000.000,-7000.000,-6000.000,2000.000,31000.000,-30000.000,-7000.000,1000.000
IncreaseDecreaseInDeferredRevenue,27000.000,195000.000,46000.000,-54000.000,-61000.000,-80000.000,61000.000,-123000.000,1000.000,-9000.000,-2000.000,1000.000,7000.000,-8000.000,9000.000,-9000.000,10000.000
IncreaseDecreaseInOtherAccountsPayable,,,,,,,-111000.000,-21000.000,71000.000,-13000.000,-15000.000,-53000.000,23000.000,24000.000,21000.000,-43000.000,-215000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,118000.000,-118000.000,-25000.000,-27000.000,-35000.000,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,-3000.000,8000.000,,,,,,,,,,,,,,,
