,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,73000.000,,,,-1089000.000,
ComprehensiveIncomeNetOfTax,,,320000.000,-77000.000,43000.000,-83000.000,211000.000,-1000.000
CostOfGoodsSold,17275315.000,20103000.000,21734000.000,19392000.000,18539000.000,15996000.000,16024000.000,17073000.000
CurrentIncomeTaxExpenseBenefit,,,,1000.000,78000000.000,,,
DeferredIncomeTaxExpenseBenefit,,,129000.000,,,,41000.000,
DepreciationDepletionAndAmortization,,,135000.000,,,,96000.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,-503000.000,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,143000.000,,,,
EarningsPerShareBasic,0.030,0.040,0.060,-0.020,0.010,-0.020,0.040,0.000
EarningsPerShareDiluted,0.020,0.040,0.060,-0.020,0.010,-0.020,0.040,0.000
EffectiveIncomeTaxRateContinuingOperations,,,,0.010,0.645,,0.427,1.034
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.340,0.340,,0.340,
GainLossOnDispositionOfProperty,,,,,,,-50000.000,
GrossProfit,4389972.000,4909000.000,4676000.000,4191000.000,3575000.000,3827000.000,4434000.000,4103000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,394000.000,490000.000,551000.000,121000.000,-28000.000,368000.000,29000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,247113.000,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,406000.000,43000.000,,211000.000,-1000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,0.080,0.010,,0.040,0.000
IncomeLossFromContinuingOperationsPerDilutedShare,,,,0.080,0.010,,0.040,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,-646000.000,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,-0.100,0.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,-0.100,0.000,,,
IncomeTaxExpenseBenefit,121559.000,211000.000,198000.000,-145000.000,-78000.000,458000.000,157000.000,30000.000
IncomeTaxExpenseBenefitContinuingOperations,,,,,,,157000.000,
IncomeTaxesPaid,,,7000.000,,,,13000.000,
IncreaseDecreaseInAccountsPayable,,,3375000.000,,,,870000.000,
IncreaseDecreaseInAccountsReceivable,,,2988000.000,,,,3392000.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,78000.000,,,,91000.000,
IncreaseDecreaseInAccruedLiabilities,,,-219000.000,,,,295000.000,
IncreaseDecreaseInDeferredRevenue,,,-14000.000,,,,,
IncreaseDecreaseInInventories,,,130000.000,,,,-164000.000,
IncreaseDecreaseInOtherReceivables,,,-49000.000,,,,-281000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,1773000.000,,,,327000.000,
InterestExpense,-150798.000,-162000.000,144000.000,153000.000,145000.000,119000.000,85000.000,116000.000
InterestPaid,,,144000.000,,,,86000.000,
InventoryWriteDown,,,140000.000,,,,102000.000,
NetCashProvidedByUsedInFinancingActivities,,,1231000.000,,,,513000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1231000.000,,,,513000.000,
NetCashProvidedByUsedInInvestingActivities,,,-17000.000,,,,-165000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-17000.000,,,,-165000.000,
NetCashProvidedByUsedInOperatingActivities,,,-1141000.000,,,,-1437000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1141000.000,,,,-1437000.000,
NetIncomeLoss,125554.000,183000.000,292000.000,-97000.000,43000.000,-83000.000,211000.000,-1000.000
NonoperatingIncomeExpense,,,-19000.000,-153000.000,-142000.000,-118000.000,-135000.000,-104000.000
OperatingExpenses,3992061.000,4353000.000,4167000.000,3487000.000,3312000.000,3737000.000,3931000.000,3970000.000
OperatingIncomeLoss,397911.000,556000.000,509000.000,704000.000,263000.000,90000.000,503000.000,133000.000
OtherNonoperatingIncomeExpense,,,125000.000,,3000.000,,-50000.000,12000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,17000.000,,,,168000.000,
ProceedsFromLinesOfCredit,,,,,,,632000.000,
ProceedsFromSaleOfMachineryAndEquipment,,,,,,,3000.000,
ProvisionForDoubtfulAccounts,,,23000.000,,,,78000.000,
RepaymentsOfLinesOfCredit,,,-1269000.000,,,,,
RepaymentsOfLongTermDebtAndCapitalSecurities,,,38000.000,,,,119000.000,
SalesRevenueGoodsNet,21665287.000,25012000.000,26410000.000,23583000.000,22114000.000,19823000.000,20458000.000,21176000.000
ShareBasedCompensation,,,3000.000,,,,3000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,5029463.000,5025000.000,5202000.000,5194.000,5244000.000,-5246194.000,5133000.000,5094000.000
WeightedAverageNumberOfSharesOutstandingBasic,5020000.000,5020000.000,5020000.000,5020.000,5020000.000,-5025020.000,5020000.000,5020000.000
