,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AccountsPayableCurrent,2099000.000,2222000.000,1580000.000,1544000.000,2139000.000,1529000.000,2105000.000,1280000.000,2573000.000,2077000.000,2278000.000,1770000.000,2008000.000,1842000.000,1758000.000,2524000.000,2060000.000,2559000.000,2223000.000,2696000.000,3194000.000,2472000.000,1994000.000,1944000.000
AccountsReceivableNetCurrent,7468000.000,7738000.000,5551000.000,5142000.000,5924000.000,5496000.000,5480000.000,6031000.000,6148000.000,5743000.000,7345000.000,6732000.000,7259000.000,7578000.000,8337000.000,8020000.000,7319000.000,7736000.000,9282000.000,9297000.000,8450000.000,7926000.000,10025000.000,8866000.000
AccruedIncomeTaxesCurrent,,,,,,,0.000,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,1508000.000,1657000.000,1920000.000,1203000.000,1037000.000,1000000.000,1242000.000,1372000.000,1102000.000,1370000.000,1592000.000,1335000.000,1374000.000,1456000.000,1770000.000,1583000.000,1806000.000,1536000.000,1722000.000,1635000.000,1838000.000,1622000.000,2135000.000,1646000.000
AccruedRoyaltiesCurrent,,,,,,,32000.000,,,,32000.000,,,,36000.000,,,,52000.000,,,,66000.000,
AccruedSalesCommissionCurrent,,,,,,,173000.000,,,,524000.000,,,,300000.000,,,,234000.000,,,,171000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,8557000.000,,,,8821000.000,,,,9197000.000,,,,9703000.000,,,,10335000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-68000.000,-48000.000,-35000.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,41699000.000,41861000.000,42032000.000,42414000.000,42692000.000,42712000.000,38958000.000,39305000.000,39987000.000,40308000.000,40671000.000,40897000.000,39750000.000,39161000.000,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,38511000.000,38538000.000,38410000.000,37557000.000,37986000.000,38386000.000,39040000.000,39747000.000,55158000.000,57706000.000
