,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,2932089.000,,,
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,216658.000,,,
AllocatedShareBasedCompensationExpense,,,,0.000
AmortizationOfDebtDiscountPremium,88457.000,935690.000,1034305.000,-17978000.000
AmortizationOfIntangibleAssets,,131389.000,788341.000,100000.000
AmortizationOfMortgageServicingRightsMSRs,,,,7732000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,0.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1779560.000,,,
AssetAtFairValueChangesInFairValueResultingFromChangesInAssumptions,,-1420925.000,-29378.000,
BusinessCombinationAcquisitionRelatedCosts,,,,886000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,15218000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,-145313.000,
BusinessCombinationIntegrationRelatedCosts,,2177617.000,,
CashAcquiredFromAcquisition,,,,34932000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,37999696.000,-23269793.000,-12997297.000,17997000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,-1719000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,26137006.000,25582964.000,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,222900000.000,55532098.000,0.000,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,14713116.000,5825003.000,
CommonStockDividendsPerShareCashPaid,2.120,,,
CommunicationsAndInformationTechnology,,,,2945000.000
ContractuallySpecifiedServicingFeesAmount,,1412583.000,10641288.000,
ContributionOfProperty,,,50000.000,
CostsAndExpensesRelatedParty,,,867415.000,
CurrentFederalTaxExpenseBenefit,,,0.000,6441000.000
CurrentIncomeTaxExpenseBenefit,,,0.000,7388000.000
CurrentStateAndLocalTaxExpenseBenefit,,,0.000,947000.000
DeferredCostsCreditCardOriginationCostsAmortization,,,,4695000.000
DeferredFederalIncomeTaxExpenseBenefit,,-677780.000,3547809.000,1401000.000
DeferredIncomeTaxExpenseBenefit,,-850996.000,4415474.000,2263000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-173216.000,867665.000,583000.000
DefinedContributionPlanCostRecognized,,69719.000,399970.000,
DepreciationAmortizationAndAccretionNet,,154010.000,,
DepreciationAndAmortization,,,933811.000,615000.000
DepreciationDepletionAndAmortization,,,933812.000,
DerivativeGainLossOnDerivativeNet,,,,-2106000.000
DilutiveSecurities,880358.000,3109760.000,,
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,,,0.000,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,-2695000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,-3538000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,-1380000.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,2897000.000
DisposalGroupIncludingDiscontinuedOperationOtherExpense,,,,536000.000
DisposalGroupIncludingDiscontinuedOperationOtherIncome,,,,16000.000
DividendsCommonStock,,,,43463000.000
DividendsCommonStockCash,16898276.000,12753416.000,12753416.000,
DividendsPreferredStock,,,,8000.000
EarningsPerShareBasic,,3.350,-0.160,
EarningsPerShareBasicAndDiluted,0.920,,,
EarningsPerShareDiluted,,3.080,-0.160,
EffectiveIncomeTaxRateContinuingOperations,,-0.029,1.474,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.340,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.023,0.371,
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,,0.000,0.589,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,0.013,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,-0.008,0.136,
EffectiveIncomeTaxRateReconciliationTaxCreditsOther,,0.395,0.024,
ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,903659.000,,,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,29378.000,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,3267000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,,,0.000,
FeesAndCommissionsMortgageBanking,,213540.000,1772153.000,
FeesAndCommissionsMortgageBankingAndServicing,,929718.000,7092431.000,8658000.000
FinancingInterestExpense,,,,13971000.000
FinancingReceivableModificationsPostModificationRecordedInvestment2,,,,13097000.000
FinancingReceivableModificationsPreModificationRecordedInvestment2,,,,13160000.000
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,,,,2256000.000
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,2058000.000
GainLossOnDerivativeInstrumentsNetPretax,5614815.000,-5921725.000,-171859.000,
GainLossOnInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,-256068.000,,
GainLossOnInvestments,,18931049.000,-13978184.000,
GainLossOnSaleOfDebtInvestments,-7937665.000,,,
GainLossOnSaleOfMortgageLoans,1298844.000,5344361.000,44847548.000,
GainLossOnSalesOfLoansNet,,,1183083.000,
GeneralAndAdministrativeExpense,2580480.000,,,
GeneralInsuranceExpense,,,,571000.000
GoodwillOtherChanges,,,385610.000,
ImpairedFinancingReceivableAverageRecordedInvestment,,,,155260000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,6730000.000
ImpairmentOfInvestments,1108027.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,29000734.000,2996197.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,65215000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,55564000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,1.930
IncomeLossFromContinuingOperationsPerBasicShare,,,,1.930
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,-2158000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,-0.080
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,-0.080
IncomeTaxExpenseBenefit,,-850996.000,4415474.000,9651000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,279000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,22825000.000
IncomeTaxReconciliationMinorityInterestIncomeExpense,,,,1251000.000
IncomeTaxReconciliationNondeductibleExpense,,,,21000.000
IncomeTaxReconciliationOtherReconcilingItems,,,,-23000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,2322000.000
IncomeTaxesPaid,,,0.000,5795000.000
IncreaseDecreaseInAccruedLiabilities,,,259269.000,
IncreaseDecreaseInInterestPayableNet,1294361.000,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,9580000.000
IncreaseDecreaseInOtherOperatingAssets,1321134.000,-559791.000,-1614564.000,13354000.000
IncreaseDecreaseInOtherOperatingLiabilities,8366.000,2818360.000,7100795.000,
IncreaseDecreaseInRestrictedCash,-1639915.000,5014842.000,-2771353.000,357000.000
IncrementalCommonSharesAttributableToContingentlyIssuableShares,926914.000,926914.000,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,1779560.000,0.000,
InterestAndDividendIncomeOperating,,,,137023000.000
InterestAndFeeIncomeLoansAndLeasesHeldForSale,,,,1627000.000
InterestAndFeeIncomeLoansAndLeasesHeldInPortfolio,10470435.000,26140679.000,25930901.000,117049000.000
InterestAndFeeIncomeLoansHeldForSaleMortgages,,594217.000,3144345.000,
InterestExpense,7094519.000,17259545.000,18849905.000,57772000.000
InterestExpenseBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,,,,17619000.000
InterestExpenseOtherLongTermDebt,563539.000,5686664.000,5785264.000,
InterestExpenseOtherShortTermBorrowings,3612167.000,8906849.000,9432335.000,
InterestExpenseSecuritiesSoldUnderAgreementsToRepurchase,2918813.000,2544838.000,1480616.000,16344000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,,,,71432000.000
InterestIncomeExpenseNet,19323808.000,24333202.000,18952651.000,79251000.000
InterestIncomeOperating,26418327.000,41592747.000,37802556.000,
InterestIncomeSecuritiesMortgageBacked,15947892.000,14313293.000,8166961.000,4890000.000
InterestOnConvertibleDebtNetOfTax,,2984493.000,0.000,
InterestPaid,5696619.000,18666057.000,17536164.000,54686000.000
LaborAndRelatedExpense,,3765784.000,30934727.000,24665000.000
LateFeeIncomeGeneratedByServicingFinancialAssetsAmount,,60.000,64.000,
LeaseAndRentalExpense,,,,1449000.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,,,0.929
LineOfCreditFacilityAverageOutstandingAmount,,,688271.000,
LineOfCreditFacilityInterestRateDuringPeriod,,,0.032,
LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,,,302037635.000,
LoanPortfolioExpense,,,,4611000.000
ManagementFeeExpense,,,,7432000.000
MarketingExpense,,,,595000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,1965060.000,1483064.000,1483064.000,
MortgageLoansOnRealEstateAmortizationOfPremium,3059231.000,,,26809000.000
MortgageLoansOnRealEstateCollectionsOfPrincipal,,,,1125919000.000
MortgageLoansOnRealEstateInterestRate,,,,0.057
MortgageLoansOnRealEstateMaximumInterestRateInRange,0.105,0.122,0.122,
MortgageLoansOnRealEstateMinimumInterestRateInRange,0.018,0.018,0.018,
MortgageLoansOnRealEstateNewMortgageLoans,,,,936682000.000
MortgageLoansOnRealEstateOtherAdditions,412800000.000,,,98683000.000
MortgageServicingRightsMSRImpairmentRecovery,,1684373.000,4128476.000,
NetCashProvidedByUsedInFinancingActivities,416681712.000,12902333.000,-35852525.000,-381461000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,416681712.000,12902333.000,-35852525.000,-381461000.000
NetCashProvidedByUsedInInvestingActivities,-386813283.000,-31482246.000,45936356.000,384695000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-386813283.000,-31482246.000,45936356.000,384695000.000
NetCashProvidedByUsedInOperatingActivities,8131267.000,-4689880.000,-23081128.000,16482000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,8131267.000,-4689880.000,-23081128.000,16482000.000
NetIncomeLoss,,,,49169000.000
NetIncomeLossAttributableToNoncontrollingInterest,880358.000,3109760.000,-158568.000,4237000.000
NetIncomeLossAvailableToCommonStockholdersBasic,6657728.000,26741970.000,-1260709.000,49169000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,7538086.000,32836223.000,-1419277.000,
NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,,,3806064.000,
NoninterestExpense,9604089.000,18993729.000,50854544.000,
NoninterestIncome,-2166254.000,,48876274.000,
NoninterestIncomeOtherOperatingIncome,,45861.000,54857.000,10565000.000
NonoperatingIncomeExpense,,,4672368.000,
NumberOfOperatingSegments,,,2.000,
OperatingExpenses,,7862308.000,12294334.000,
OperatingLeasesRentExpenseMinimumRentals,,122986.000,,
OperatingLeasesRentExpenseSubleaseRentals1,,45861.000,,
OtherExpenses,,,3738559.000,
OtherGeneralExpense,,,,3030000.000
OtherInterestAndDividendIncome,,544558.000,560349.000,
OtherNoninterestExpense,,4511741.000,,
OtherNonoperatingExpense,,,4672368.000,
OtherNonoperatingIncomeExpense,,,37802556.000,
OtherOperatingIncome,,,,3759000.000
OtherOperatingIncomeExpenseNet,,4730212.000,,
PaymentsForDerivativeInstrumentInvestingActivities,,4803750.000,0.000,
PaymentsForOriginationAndPurchasesOfLoansHeldForSale,,253934598.000,1851206995.000,
