,2011-06-30,2011-09-30,2012-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-496815.000
ComprehensiveIncomeNetOfTax,338601.000,1560605.000,-44285.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,8900.000
CostOfGoodsSold,3368433.000,8418882.000,3520528.000
Depreciation,,,98015.000
EarningsPerShareBasic,0.010,0.050,-0.010
EarningsPerShareDiluted,0.010,0.050,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,,173000.000
GeneralAndAdministrativeExpense,632421.000,378165.000,379409.000
GrossProfit,1401586.000,2945766.000,850515.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,153326.000,1666815.000,-138663.000
IncomeTaxExpenseBenefit,31802.000,257753.000,9056.000
IncomeTaxesPaid,,,152547.000
IncreaseDecreaseInAccountsPayable,,,2434389.000
IncreaseDecreaseInAccountsReceivable,,,593129.000
IncreaseDecreaseInAccruedTaxesPayable,,,-429495.000
IncreaseDecreaseInCustomerDeposits,,,-393982.000
IncreaseDecreaseInIncomeTaxesReceivable,,,423401.000
IncreaseDecreaseInInventories,,,2529496.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,1525827.000
IncreaseDecreaseInOtherReceivables,,,-1306147.000
IncreaseDecreaseInPrepaidExpense,,,3420790.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,2694918.000
InterestExpense,414264.000,465391.000,378172.000
InterestPaid,,,378172.000
NetCashProvidedByUsedInFinancingActivities,,,5966720.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,5966720.000
NetCashProvidedByUsedInInvestingActivities,,,-1393692.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1393692.000
NetCashProvidedByUsedInOperatingActivities,,,-5242843.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-5242843.000
NetIncomeLoss,121524.000,1409062.000,-147719.000
NetIncomeLossAttributableToNoncontrollingInterest,,,0.000
NonoperatingIncomeExpense,-197277.000,-461847.000,-373779.000
OperatingIncomeLoss,350603.000,2128662.000,235116.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,217077.000,151543.000,112334.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-35385.000
OtherIncome,,2123.000,754.000
PaymentsForConstructionInProcess,,,1043468.000
PaymentsToAcquireLandHeldForUse,,,0.000
PaymentsToAcquirePropertyPlantAndEquipment,,,350224.000
ProceedsFromNotesPayable,,,5612550.000
ProceedsFromRelatedPartyDebt,,,2375338.000
ProceedsFromShortTermDebt,,,9011700.000
ProfitLoss,,,-147719.000
RepaymentsOfShortTermDebt,,,11032868.000
RevenueFromGrants,216987.000,1421.000,3639.000
Revenues,4770019.000,11364648.000,4371043.000
SalesRevenueNet,4770019.000,11362525.000,4370289.000
SellingAndMarketingExpense,418562.000,438939.000,235990.000
ShareBasedCompensation,,,0.000
WeightedAverageNumberOfDilutedSharesOutstanding,30181882.000,30181882.000,30181552.000
WeightedAverageNumberOfSharesOutstandingBasic,30181882.000,30181882.000,30181552.000
