,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30
AccountsPayableCurrent,72300000.000,69500000.000,72800000.000,84900000.000,88000000.000,88000000.000
AccountsReceivableNetCurrent,,,167500000.000,156100000.000,180400000.000,184600000.000
AccruedIncomeTaxesCurrent,12600000.000,6200000.000,4300000.000,9300000.000,19800000.000,3000000.000
AccruedLiabilitiesCurrent,66700000.000,76700000.000,88500000.000,88400000.000,83200000.000,79800000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,399300000.000,406000000.000,414000000.000,429000000.000,437300000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-95300000.000,-64400000.000,-75200000.000,-97200000.000,-95100000.000,-125800000.000
AdditionalPaidInCapital,507800000.000,508500000.000,431700000.000,428000000.000,428000000.000,426700000.000
Assets,1579200000.000,1589200000.000,1563900000.000,1622000000.000,1672100000.000,1681700000.000
AssetsCurrent,1016000000.000,976100000.000,928000000.000,959500000.000,1021100000.000,1066500000.000
AvailableForSaleSecuritiesAmortizedCost,,,,73200000.000,73200000.000,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,64800000.000,52000000.000,
BuildingsAndImprovementsGross,,70800000.000,70600000.000,70500000.000,,
CashAndCashEquivalentsAtCarryingValue,83100000.000,93600000.000,88900000.000,47300000.000,39400000.000,11700000.000
CommonStockParOrStatedValuePerShare,,,,0.010,,
CommonStockSharesAuthorized,,,,200000000.000,,
CommonStockSharesIssued,,,,175200000.000,,
CommonStockSharesOutstanding,,,,175200000.000,,
CommonStockValue,1800000.000,1800000.000,1800000.000,1800000.000,1800000.000,1700000.000
ConstructionInProgressGross,,31500000.000,34000000.000,48400000.000,,
ConvertiblePreferredStockSharesIssuedUponConversion,,200000.000,,,,
CustomerAdvancesCurrent,,15300000.000,15700000.000,16400000.000,18600000.000,18700000.000
DeferredRevenueCurrent,,17400000.000,17300000.000,15000000.000,14800000.000,14300000.000
DeferredTaxAssetsDeferredIncome,,,,5600000.000,,
DeferredTaxAssetsInventory,,,,20000000.000,,
DeferredTaxAssetsNet,,,,63600000.000,,
DeferredTaxAssetsNetCurrent,28600000.000,28400000.000,27800000.000,40800000.000,41100000.000,41200000.000
DeferredTaxAssetsNetNoncurrent,20300000.000,19100000.000,15900000.000,22800000.000,21500000.000,18900000.000
DeferredTaxAssetsTaxCreditCarryforwards,,,,7500000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,,7700000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,,,,29900000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,,,,4900000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,3500000.000,,
DeferredTaxAssetsValuationAllowance,,,,600000.000,,
DeferredTaxLiabilities,,,,75200000.000,,
DeferredTaxLiabilitiesCurrent,800000.000,700000.000,600000.000,,,
DeferredTaxLiabilitiesNoncurrent,38800000.000,54600000.000,57100000.000,75200000.000,70800000.000,57500000.000
DeferredTaxLiabilitiesOther,,,,2000000.000,,
DeferredTaxLiabilitiesOtherComprehensiveIncome,,,,23100000.000,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,65000000.000,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent,84900000.000,82700000.000,77200000.000,110000000.000,110500000.000,105600000.000
DueFromRelatedParties,,60400000.000,73600000.000,48200000.000,34000000.000,34200000.000
DueFromRelatedPartiesCurrent,22400000.000,23700000.000,37100000.000,27000000.000,13800000.000,14200000.000
DueFromRelatedPartiesNoncurrent,37000000.000,36700000.000,36500000.000,21200000.000,20200000.000,20000000.000
EmployeeRelatedLiabilitiesCurrent,,28700000.000,36800000.000,42200000.000,35700000.000,30700000.000
IncomeTaxesReceivable,1100000.000,1100000.000,900000.000,800000.000,300000.000,
InventoryFinishedGoods,,104100000.000,111800000.000,116100000.000,130100000.000,
InventoryFinishedGoodsNetOfReserves,,,,,,142800000.000
InventoryNet,512100000.000,553200000.000,588400000.000,677500000.000,739100000.000,793700000.000
InventoryRawMaterials,,118100000.000,127200000.000,187900000.000,212000000.000,
InventoryRawMaterialsNetOfReserves,,,,,,241100000.000
InventorySuppliesNetOfReserves,,,,,,29400000.000
InventoryWorkInProcess,,271900000.000,291500000.000,315400000.000,331000000.000,
InventoryWorkInProcessNetOfReserves,,,,,,344600000.000
Land,,,15100000.000,15200000.000,,
Liabilities,306200000.000,311100000.000,320700000.000,390600000.000,424100000.000,448500000.000
LiabilitiesAndStockholdersEquity,1579200000.000,1589200000.000,1563900000.000,1622000000.000,1672100000.000,1681700000.000
LiabilitiesCurrent,152400000.000,153100000.000,166200000.000,182600000.000,191500000.000,171300000.000
LineOfCreditFacilityRemainingBorrowingCapacity,,,,,218900000.000,
LongTermDebt,,,,,31500000.000,94400000.000
LongTermDebtCurrent,,,,,500000.000,500000.000
LongTermDebtNoncurrent,,,,,31000000.000,93900000.000
MachineryAndEquipmentGross,,587600000.000,591800000.000,594900000.000,,
MarketableSecuritiesCurrent,206200000.000,97200000.000,7100000.000,,,15700000.000
MarketableSecuritiesNoncurrent,47600000.000,93900000.000,118700000.000,138000000.000,125200000.000,88200000.000
MinorityInterest,17500000.000,15000000.000,14700000.000,13100000.000,15100000.000,15400000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,35100000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,6200000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,2600000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,3600000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,4100000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,5200000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,13400000.000,,
OperatingLossCarryforwards,,,,46300000.000,,
OtherAccruedLiabilitiesCurrent,,15300000.000,18700000.000,14800000.000,14100000.000,16100000.000
OtherAssetsCurrent,12200000.000,10400000.000,10300000.000,10000000.000,7000000.000,5400000.000
OtherAssetsMiscellaneousNoncurrent,,48300000.000,51100000.000,57500000.000,62300000.000,64900000.000
OtherAssetsNoncurrent,79200000.000,86700000.000,88900000.000,94700000.000,98900000.000,100800000.000
OtherInventoryMaterialsSuppliesAndMerchandiseUnderConsignment,,29600000.000,29300000.000,31200000.000,37600000.000,
OtherInventoryNetOfReserves,,,,,,35800000.000
OtherInventorySupplies,,29500000.000,28600000.000,26900000.000,28400000.000,
OtherLiabilitiesNoncurrent,10800000.000,10400000.000,10000000.000,12000000.000,9600000.000,9600000.000
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,19300000.000,10300000.000,10200000.000,10800000.000,10700000.000,10600000.000
PreferredStockSharesAuthorized,,,,10000000.000,,
PreferredStockValue,700000.000,,,,,
PropertyPlantAndEquipmentGross,,776000000.000,781900000.000,799800000.000,814200000.000,824600000.000
PropertyPlantAndEquipmentNet,379100000.000,376700000.000,375900000.000,385800000.000,385200000.000,387300000.000
ReceivablesNetCurrent,150300000.000,168500000.000,,,,
RetainedEarningsAccumulatedDeficit,840500000.000,858400000.000,870200000.000,885700000.000,898200000.000,915200000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,500000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,500000.000,,
SiteContingencyAccrualUndiscountedAmount,,2500000.000,2400000.000,2300000.000,2300000.000,2200000.000
StockholdersEquity,1255500000.000,1263100000.000,1228500000.000,1218300000.000,1232900000.000,1217800000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1273000000.000,1278100000.000,1243200000.000,1231400000.000,1248000000.000,1233200000.000
TreasuryStockValue,,41200000.000,,80600000.000,,
UnrecognizedTaxBenefits,,,,4800000.000,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,,,,4800000.000,,
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary,,,,103500000.000,,
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,,,,203800000.000,,
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,,,,103500000.000,,
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,,,,129900000.000,,
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,,,,109800000.000,,
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,,,,996500000.000,,
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears,,,,346000000.000,,
