,2011-11-30,2012-02-29,2012-05-31,2012-11-30,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2015-05-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,4525024.000
AccountsPayableCurrent,1505.000,2719.000,1342.000,13533.000,7603.000,7077.000,3963.000,11682.000,
AccountsReceivableNet,,,,,,,,,146751.000
AccountsReceivableNetCurrent,,,,,,,,48.000,
AccruedLiabilitiesCurrent,1550.000,1450.000,2200.000,2200.000,2050.000,7000.000,5500.000,2200.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,-1709796.000
AdditionalPaidInCapital,109746.000,113627.000,113479.000,116329.000,,,,,18412719.000
AdditionalPaidInCapitalCommonStock,,,,,129344.000,129344.000,164094.000,164094.000,
Assets,45692.000,38286.000,26729.000,18773.000,15780.000,14863.000,24470.000,11530.000,5415087.000
AssetsCurrent,43937.000,35229.000,23840.000,16219.000,13562.000,12814.000,22589.000,9452.000,703262.000
Cash,,,,,,,,,34241.000
CashAndCashEquivalentsAtCarryingValue,43937.000,35229.000,11526.000,3892.000,1511.000,762.000,13269.000,106.000,34241.000
CashFDICInsuredAmount,,,,,250000.000,250000.000,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,150000000.000
CommonStockSharesIssued,6200000.000,6521000.000,6671000.000,6821000.000,7506000.000,7506000.000,8006000.000,8006000.000,46339366.000
CommonStockSharesOutstanding,6200000.000,6521000.000,6671000.000,6821000.000,7506000.000,7506000.000,8006000.000,8006000.000,46339366.000
CommonStockValue,6200.000,6521.000,6671.000,6821.000,7506.000,7506.000,8006.000,8006.000,46340.000
ConvertibleDebt,,,,,,,,,1722484.000
ConvertibleDebtCurrent,,,,,,,,,-1172484.000
ConvertibleLongTermNotesPayable,,,,,,,,,550000.000
ConvertibleNotesPayableCurrent,,,,,,,,,1172484.000
DebtInstrumentUnamortizedDiscount,,,,,,,,,8895.000
DeferredRevenue,,,,,,,,,39835.000
DerivativeLiabilities,,,,,,,,,1067472.000
DerivativeLiabilitiesCurrent,,,,,,,,,1067472.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,136914.000,144755.000,157093.000,174452.000,
DueToOfficersOrStockholdersCurrent,,,,,6191.000,8691.000,,,
DueToRelatedPartiesCurrent,,,,,,,,,1365287.000
DueToRelatedPartiesCurrentAndNoncurrent,4944.000,1944.000,1944.000,1944.000,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,-1283311.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,,,23796.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,,214937.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,,110108.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,110108.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,,110108.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,,112929.000
FiniteLivedIntangibleAssetsGross,,,,,,,,,1965297.000
FiniteLivedIntangibleAssetsNet,,,,,,,,,681986.000
InventoryFinishedGoods,,,,,8780.000,8781.000,6049.000,6027.000,
InventoryNet,,,8536.000,9056.000,8780.000,8781.000,6049.000,6027.000,99679.000
Liabilities,,,,,,,,,16715340.000
LiabilitiesAndStockholdersEquity,45692.000,38286.000,26729.000,18773.000,15780.000,14863.000,24470.000,11530.000,5415087.000
LiabilitiesCurrent,7999.000,6113.000,5486.000,17677.000,15844.000,22768.000,9463.000,13882.000,15598129.000
LongTermNotesPayable,,,,,,,,,567211.000
NotesPayable,,,,,,,,,7995237.000
NotesPayableCurrent,,,,,,,,,-7428027.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
PreferredStockSharesIssued,4430.000,1500.000,0.000,0.000,0.000,0.000,0.000,0.000,
PreferredStockSharesOutstanding,4430.000,1500.000,0.000,0.000,0.000,0.000,0.000,0.000,
PreferredStockValue,4.000,2.000,,,,,,,
PrepaidExpenseCurrent,,,3778.000,3271.000,3271.000,3271.000,3271.000,3271.000,
PrepaidExpenseCurrentAndNoncurrent,,,,,,,,,305951.000
PropertyPlantAndEquipmentNet,1755.000,3057.000,2889.000,2554.000,2218.000,2049.000,1881.000,2078.000,4029839.000
RetainedEarningsAccumulatedDeficit,-78257.000,-87977.000,-98907.000,-122054.000,,,,,-33377404.000
SecuredBorrowingsGrossDifferenceAmount,,,,,,,,,39143.000
ShortTermBorrowings,,,,,,,,,7428027.000
StockholdersEquity,37693.000,32173.000,21243.000,1096.000,-64.000,-7905.000,15007.000,-2352.000,-14800253.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,-11300253.000
TransferOfFinancialAssetsAccountedForAsSalesCashProceedsReceivedForAssetsDerecognizedAmount,,,,,,,,,25000.000
UnamortizedDebtIssuanceExpense,,,,,,,,,116640.000
