,2011-12-31,2012-12-31,2013-12-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,,,82481.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,221075.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,4687766.000,967186.000,1577689.000
AmortizationOfDebtDiscountPremium,,,64547.000
AmortizationOfIntangibleAssets,753607.000,451788.000,162963.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,54000000.000,58000000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,89600.000,,
CapitalLeaseObligationsIncurred,58122.000,,
CashAcquiredFromAcquisition,59518.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-131864.000,-161918.000,282335.000
CostOfRevenue,7527269.000,6995623.000,5460873.000
CurrentFederalTaxExpenseBenefit,,-235236.000,-340791.000
CurrentIncomeTaxExpenseBenefit,,,2000.000
CurrentStateAndLocalTaxExpenseBenefit,,12838.000,102543.000
DeferredIncomeTaxExpenseBenefit,-338390.000,-129588.000,
Depreciation,177982.000,254522.000,263511.000
DepreciationAndAmortization,623607.000,321792.000,
DepreciationAndAmortizationDiscontinuedOperations,,,80448.000
DerivativeGainLossOnDerivativeNet,,,-65064.000
DerivativeInstrumentsGainRecognizedInIncome,131742.000,38733.000,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,-14687.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,-525951.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,521443.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,17710.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,0.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,-32397.000
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,300033.000
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,303583.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,-10179.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,749086.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,603616.000
DividendsPreferredStock,,,25108.000
EarningsPerShareBasic,-0.270,-0.020,-0.030
EarningsPerShareDiluted,-0.270,-0.020,-0.030
ExtinguishmentOfDebtGainLossIncomeTax,,,-76371.000
FinancialServicesCosts,,,53035.000
GainLossOnDispositionOfAssets1,,,521443.000
GainsLossesOnExtinguishmentOfDebt,,,29658.000
GoodwillImpairmentLoss,3396941.000,,
GrossProfit,3919867.000,3777970.000,2808961.000
IncomeLossAttributableToNoncontrollingInterest,-9441.000,,
IncomeLossAttributableToParent,,-700360.000,
IncomeLossFromContinuingOperations,,,-1020036.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-1018036.000
IncomeLossFromContinuingOperationsPerBasicShare,,,-0.030
IncomeLossFromContinuingOperationsPerDilutedShare,,,-0.030
IncomeLossFromDiscontinuedOperationsNetOfTax,,,-503733.000
IncomeTaxExpenseBenefit,-338390.000,-129588.000,2000.000
IncomeTaxReconciliationNondeductibleExpense,,92810.000,236248.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-229547.000,-117083.000,43784.000
IncreaseDecreaseInAccountsReceivable,-767544.000,-280122.000,-518936.000
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,,,45797.000
IncreaseDecreaseInCustomerAdvances,20398.000,332664.000,567036.000
IncreaseDecreaseInDeferredRevenue,-17879.000,-50000.000,
IncreaseDecreaseInDerivativeAssetsAndLiabilities,,,-65064.000
IncreaseDecreaseInInventories,,-7350.000,
IncreaseDecreaseInOperatingCapital,,-3561000.000,
IncreaseDecreaseInOtherCurrentAssets,-110325.000,-8160.000,-183581.000
IncreaseDecreaseInOtherOperatingAssets,-43700.000,,
InterestExpense,457362.000,432671.000,356915.000
InterestExpenseDebt,,432671.000,
InterestPaid,415772.000,399796.000,311826.000
