,2014-12-31,2015-12-31,2016-12-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,13000000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,8000000.000,10000000.000,16000000.000
AdvertisingExpense,122000000.000,113000000.000,110000000.000
AllocatedShareBasedCompensationExpense,8000000.000,10000000.000,13000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,5000000.000,6000000.000,8000000.000
AmortizationOfFinancingCosts,8000000.000,5000000.000,5000000.000
AmortizationOfIntangibleAssets,52000000.000,38000000.000,33000000.000
AvailableForSaleSecuritiesGrossRealizedGains,5000000.000,7000000.000,4000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,1000000.000,,
BusinessCombinationConsiderationTransferred1,,125000000.000,144000000.000
BusinessCombinationConsiderationTransferredLiabilitiesIncurred,6000000.000,33000000.000,23000000.000
CapitalLeaseObligationsIncurred,,,61000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-95000000.000,-92000000.000,89000000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,-6000000.000,-6000000.000,-3000000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,-3000000.000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,-2000000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-11000000.000,-11000000.000,
ComprehensiveIncomeNetOfTax,-70000000.000,147000000.000,173000000.000
CostOfGoodsAndServicesSold,1298000000.000,1375000000.000,1448000000.000
CurrentFederalTaxExpenseBenefit,,33000000.000,50000000.000
CurrentForeignTaxExpenseBenefit,3000000.000,2000000.000,2000000.000
CurrentIncomeTaxExpenseBenefit,11000000.000,47000000.000,64000000.000
CurrentStateAndLocalTaxExpenseBenefit,9000000.000,12000000.000,12000000.000
DeferredCompensationArrangementWithIndividualEmployerContribution,12000000.000,14000000.000,15000000.000
DeferredFederalIncomeTaxExpenseBenefit,27000000.000,59000000.000,17000000.000
DeferredForeignIncomeTaxExpenseBenefit,,,-2000000.000
DeferredIncomeTaxExpenseBenefit,29000000.000,60000000.000,22000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,2000000.000,1000000.000,6000000.000
Depreciation,48000000.000,47000000.000,61000000.000
DepreciationDepletionAndAmortization,100000000.000,84000000.000,94000000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,-1000000.000,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,3000000.000,1000000.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,-3000000.000,-1000000.000
DividendsCommonStock,275000000.000,,
EarningsPerShareBasic,-0.500,1.190,1.140
EarningsPerShareDiluted,-0.500,1.170,1.130
EffectOfExchangeRateOnCash,,-2000000.000,
