,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,939000.000,,,,1042000.000,,,,1016000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2000.000,25000.000,11000.000,26000.000,-21000.000,22000.000,19000.000,14000.000,-88000.000
AdditionalPaidInCapitalCommonStock,8233000.000,10330000.000,10322000.000,10315000.000,10308000.000,10301000.000,10294000.000,10267000.000,10260000.000
AdvancePaymentsByBorrowersForTaxesAndInsurance,682000.000,464000.000,624000.000,289000.000,559000.000,363000.000,543000.000,262000.000,557000.000
AdvancesFromFederalHomeLoanBanks,,,,,,,,,2000000.000
Assets,89484000.000,86805000.000,89635000.000,85157000.000,84057000.000,81735000.000,80852000.000,79869000.000,85265000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,6632000.000,8599000.000,9571000.000,9545000.000,10518000.000,8495000.000,7462000.000,7478000.000,8385000.000
AvailableForSaleSecurities,6636000.000,8641000.000,,,,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,38000.000,51000.000,38000.000,47000.000,31000.000,36000.000,31000.000,25000.000,20000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,34000.000,9000.000,20000.000,4000.000,65000.000,,,2000.000,165000.000
AvailableForSaleSecuritiesAmortizedCost,6632000.000,8599000.000,9571000.000,9545000.000,10518000.000,8495000.000,7462000.000,7478000.000,8385000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,0.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,0.000,,165000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,,,7824000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,165000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,,,7824000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,,,0.000
AvailableForSaleSecuritiesDebtSecurities,6636000.000,8641000.000,9589000.000,9588000.000,10484000.000,8531000.000,7493000.000,7501000.000,8240000.000
AvailableForSaleSecuritiesPledgedAsCollateral,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Capital,8510000.000,9883000.000,9588000.000,9442000.000,9235000.000,8979000.000,8700000.000,8438000.000,8160000.000
CapitalRequiredForCapitalAdequacy,4387000.000,4112000.000,4029000.000,3911000.000,3992000.000,3891000.000,4028000.000,4008000.000,4493000.000
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080
