,2011-12-31,2012-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,7535.000,
AdditionalPaidInCapital,258845.000,
Assets,0.000,
CashAndCashEquivalentsAtCarryingValue,0.000,
CommonStockParOrStatedValuePerShare,0.001,
CommonStockSharesAuthorized,200000000.000,
CommonStockSharesIssued,1715004.000,
CommonStockSharesOutstanding,1715004.000,
CommonStockValue,1715.000,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-309577.000,
Liabilities,49017.000,
LiabilitiesAndStockholdersEquity,0.000,
LiabilitiesCurrent,49017.000,
NotesPayableRelatedPartiesCurrent,41428.000,
PrepaidExpense,0.000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-49017.000,
