,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,39161.000,31498.000,75506.000,155277.000,137962.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,22.000,176.000,1366.000,2698.000,4044.000
AdditionalPaidInCapital,1326704.000,2121752.000,5507211.000,6094396.000,6490193.000
AllowanceForDoubtfulOtherReceivablesCurrent,,,,469601.000,474278.000
Assets,626572.000,644598.000,512120.000,588056.000,538421.000
AssetsCurrent,550506.000,445931.000,182987.000,220679.000,160618.000
Cash,550406.000,433045.000,,,
CashAndCashEquivalentsAtCarryingValue,,,173871.000,216104.000,144618.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,6150878.000,7899787.000,8360283.000,9593529.000,10461640.000
CommonStockSharesOutstanding,6150878.000,7899787.000,8360283.000,9593529.000,10461640.000
CommonStockValue,615.000,790.000,836.000,959.000,1046.000
DebtInstrumentInterestRateStatedPercentage,0.000,0.000,0.120,0.070,0.120
DeferredTaxAssetsGross,,458513.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,164064.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,-390.000,,,
DeferredTaxAssetsValuationAllowance,,458513.000,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,947430.000,1561512.000,5123455.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,284204.000,248997.000,211648.000
FiniteLivedIntangibleAssetsNet,75000.000,175000.000,175000.000,175000.000,175000.000
FixturesAndEquipmentGross,1088.000,13761.000,21294.000,21294.000,21294.000
FurnitureAndFixturesGross,,7582.000,7582.000,7582.000,7582.000
Liabilities,,,,205850.000,184590.000
LiabilitiesAndStockholdersEquity,626572.000,644598.000,512120.000,588056.000,538421.000
LiabilitiesCurrent,246583.000,83468.000,127428.000,172855.000,155849.000
LongTermNotesPayable,,,,32995.000,28741.000
NotesPayable,,,,50573.000,46628.000
NotesPayableCurrent,207422.000,51970.000,51922.000,17578.000,17887.000
NotesReceivableGross,95673.000,237615.000,351614.000,469601.000,474278.000
OperatingLossCarryforwards,,419000.000,,,
OtherAssets,,,126623.000,166199.000,177971.000
OtherAssetsNoncurrent,,2500.000,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
PreferredStockSharesIssued,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesOutstanding,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockValue,100.000,100.000,100.000,100.000,100.000
PrepaidExpenseAndOtherAssetsCurrent,100.000,12886.000,9116.000,4575.000,16000.000
PropertyPlantAndEquipmentGross,1088.000,21343.000,28876.000,28876.000,28876.000
PropertyPlantAndEquipmentNet,1066.000,21167.000,27510.000,26178.000,24832.000
RetainedEarningsAccumulatedDeficit,,,,-5713249.000,-6137508.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,0.535,0.535,0.535
StockholdersEquity,379989.000,561130.000,384692.000,382206.000,353831.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,382206.000,353831.000
