,2014-03-30,2014-06-29,2014-09-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26,2016-09-25,2016-12-25,2017-03-26,2017-06-25
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,619000.000,,,,831000.000,
AdvertisingRevenue,,,,143795000.000,177019000.000,178964000.000,,163637000.000,174153000.000,164683000.000,182427000.000,155564000.000,167381000.000
AmortizationOfFinancingCosts,,,,2217000.000,165000.000,165000.000,,,,,,,
AmortizationOfIntangibleAssets,1593000.000,1623000.000,1723000.000,3798000.000,4160000.000,4161000.000,,4399000.000,5291000.000,5407000.000,5501000.000,5602000.000,5630000.000
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,,,-0.150,-0.150,,,,,,,,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,,,-0.150,-0.150,,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,-4515000.000,-6439000.000,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,179903000.000,284293000.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-96780000.000,,,,-67248000.000,,,,-36360000.000,
CommonStockDividendsPerShareDeclared,,,,0.300,0.330,0.330,,0.330,0.330,0.330,0.350,0.350,0.350
ComprehensiveIncomeNetOfTax,,,,-6043000.000,11218000.000,6132000.000,,4991000.000,9400000.000,2815000.000,,-3657000.000,-21659000.000
CurrentIncomeTaxExpenseBenefit,2474000.000,,,-2173000.000,,,,54000.000,,,,3405000.000,
DefinedBenefitPlanFutureAmortizationOfGainLoss,,,,,23000.000,-24000.000,,,,,,,
DepreciationAndAmortization,,,,15702000.000,17387000.000,18213000.000,,16091000.000,17258000.000,17014000.000,17411000.000,17604000.000,18760000.000
DepreciationDepletionAndAmortization,,,,15702000.000,,,,16091000.000,,,,17604000.000,
DividendsCommonStockCash,,,,-13399000.000,,,,14805000.000,,,,18720000.000,
EarningsPerShareBasic,,,,,0.250,0.140,,0.110,0.210,0.060,0.320,-0.070,-0.410
EarningsPerShareBasicAndDiluted,,,,-0.140,,,,,,,,,
EarningsPerShareDiluted,,,,,0.250,0.140,,0.110,0.210,0.060,0.320,-0.070,-0.410
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,0.630,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,,,0.340,,,,0.340,,,,0.340,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,99718000.000,,,,,,,,,,,,
FiniteLivedIntangibleAssetsWeightedAverageUsefulLife,15.900,,,,,,,,,,,,
FutureAmortizationExpenseAfterYearFive,69138000.000,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,6438000.000,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,6438000.000,,,,,,,,,,,,
FutureAmortizationExpenseYearOne,4828000.000,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,6438000.000,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,6438000.000,,,,,,,,,,,,
GainLossOnDispositionOfAssets,,,,-545000.000,-925000.000,-1936000.000,,-1520000.000,-831000.000,-974000.000,-239000.000,-88000.000,2634000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,545000.000,,,,-1520000.000,,,,-88000.000,
GainsLossesOnExtinguishmentOfDebt,,,,,0.000,0.000,,,,,,,
GoodwillAcquiredDuringPeriod,660000.000,,,41248000.000,,,,35117000.000,,,,1435000.000,
GoodwillAndIntangibleAssetImpairment,,,,,,,,,,,,,27448000.000
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,,,,,,6485000.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,-6392000.000,11894000.000,6818000.000,,-160000.000,9312000.000,3299000.000,16871000.000,-10016000.000,-13732000.000
