,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,10535000.000,11126000.000,17496000.000,20854000.000,33475000.000,39150000.000,42983000.000,40320000.000,47832000.000,,63755000.000,72604000.000,55537000.000,98012000.000,95779000.000,77147000.000,72954000.000,75817000.000,84031000.000,68517000.000,71752000.000,66586000.000,84660000.000,73679000.000
AccountsPayableTradeCurrent,,,,,,,,18289000.000,,,,36803000.000,,,,30903000.000,,,,30866000.000,,,,33069000.000
AccountsReceivableGrossCurrent,,,,,,,,32394000.000,,,,57761000.000,,,,60188000.000,,,,54424000.000,,,,56298000.000
AccountsReceivableNetCurrent,22125000.000,20009000.000,24918000.000,24502000.000,31905000.000,33711000.000,38538000.000,31695000.000,34798000.000,36322000.000,70341000.000,56863000.000,37506000.000,74560000.000,72815000.000,59591000.000,55910000.000,64867000.000,70862000.000,52898000.000,55035000.000,51987000.000,69014000.000,53608000.000
AccountsReceivableNetNoncurrent,67000.000,24000.000,,773000.000,943000.000,1040000.000,1602000.000,1225000.000,1556000.000,1505000.000,1451000.000,1397000.000,1343000.000,1288000.000,1234000.000,1208000.000,1187000.000,,,1295000.000,,,,1558000.000
AccruedProfessionalFeesCurrent,,,,,,,,14452000.000,,,,26577000.000,,,,37766000.000,,,,27463000.000,,,,32399000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,200008000.000,,,,236006000.000,,,,273520000.000,,,,310109000.000,,,,333679000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-21000.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,-69000.000,-13000.000,-67000.000,25000.000,-57000.000,-59000.000,-27000.000,-42000.000,-64000.000,-33000.000,-46000.000,-55000.000,-38000.000
AdditionalPaidInCapital,197129000.000,204884000.000,205498000.000,206348000.000,220890000.000,221293000.000,221817000.000,221810000.000,222224000.000,,245178000.000,275519000.000,275938000.000,276696000.000,277219000.000,277984000.000,266981000.000,267660000.000,269578000.000,269871000.000,270488000.000,271778000.000,276228000.000,287393000.000
AllowanceForDoubtfulAccountsReceivable,,,,,297000.000,376000.000,448000.000,699000.000,712000.000,844000.000,833000.000,681000.000,898000.000,1058000.000,668000.000,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,699000.000,,,,898000.000,,,,597000.000,,936000.000,936000.000,1526000.000,,,,2690000.000
Assets,300901000.000,307743000.000,298602000.000,290137000.000,303630000.000,300044000.000,294882000.000,284058000.000,275785000.000,264027000.000,322242000.000,345998000.000,303386000.000,329784000.000,317146000.000,279705000.000,277008000.000,238906000.000,242205000.000,209398000.000,191640000.000,176233000.000,177116000.000,151334000.000
AssetsCurrent,49626000.000,60400000.000,63067000.000,63393000.000,67180000.000,70605000.000,73767000.000,62802000.000,64360000.000,63022000.000,111508000.000,124474000.000,90733000.000,129764000.000,128014000.000,106943000.000,112181000.000,109578000.000,124109000.000,101845000.000,93168000.000,90257000.000,106373000.000,86450000.000
AssetsHeldForSaleAtCarryingValue,0.000,0.000,200000.000,214000.000,,0.000,0.000,0.000,,,,278000.000,0.000,0.000,0.000,,,,,,,,,
AssetsHeldForSaleLongLived,,,,,,,,,,,,5660000.000,6238000.000,0.000,0.000,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,2380000.000,2074000.000,,,0.000,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,,,,,6164000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesRestricted,,,,,9477000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionContingentConsiderationAtFairValue,,,,,3844000.000,3844000.000,3844000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,17600000.000,,,,,,,,,,,,,,,,,,,
CapitalLeaseObligations,,,,,,5347000.000,5281000.000,4518000.000,4487000.000,4536000.000,6222000.000,6086000.000,5939000.000,5788000.000,5641000.000,5495000.000,5346000.000,5193000.000,4354000.000,4225000.000,4144000.000,4060000.000,96000.000,66000.000
CapitalLeaseObligationsCurrent,197000.000,184000.000,172000.000,186000.000,199000.000,219000.000,230000.000,132000.000,132000.000,,590000.000,614000.000,609000.000,587000.000,626000.000,640000.000,658000.000,673000.000,326000.000,341000.000,352000.000,361000.000,96000.000,66000.000
CapitalLeaseObligationsNoncurrent,5411000.000,5341000.000,5296000.000,5244000.000,5187000.000,5128000.000,5051000.000,4386000.000,4355000.000,,5632000.000,5472000.000,5330000.000,5201000.000,5015000.000,4855000.000,4688000.000,4520000.000,4028000.000,3884000.000,3792000.000,3699000.000,0.000,0.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,2635000.000,,,,3948000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,9681000.000,,,,10656000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,921000.000,,,,1471000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,1003000.000,,,,1152000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,921000.000,,,,1301000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,921000.000,,,,1441000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,921000.000,,,,1441000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,4994000.000,,,,3850000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,5163000.000,,,,4570000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,,4518000.000,,,,6086000.000,,,,5495000.000,,,,,,,,
CapitalizedComputerSoftwareAccumulatedAmortization,,,,,,,,6582000.000,,,,,,,,,,,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,,13665000.000,,,,,,,,,,,,,,,,
CapitalizedComputerSoftwareNet,3627000.000,3872000.000,4863000.000,5156000.000,5682000.000,5995000.000,6650000.000,7083000.000,7500000.000,7509000.000,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,11443000.000,17832000.000,16614000.000,17843000.000,19512000.000,20270000.000,17321000.000,13448000.000,13611000.000,12389000.000,18863000.000,50215000.000,36742000.000,29746000.000,29594000.000,18999000.000,29247000.000,18963000.000,26237000.000,25481000.000,14380000.000,14412000.000,16831000.000,12566000.000
CommonStockValue,,,,,48000.000,,,,,,,,,,,,,,,79000.000,,,,12000.000
CustomerDepositsCurrent,60000.000,60000.000,49000.000,0.000,,,,,,,,,,,,,,,,,,,,
CustomerDepositsNoncurrent,9000.000,9000.000,8000.000,9000.000,,0.000,0.000,0.000,,,,,,,,,,,,,,,,
DebtAndCapitalLeaseObligations,,,,,,244867000.000,237011000.000,242427000.000,234258000.000,221870000.000,256942000.000,247434000.000,232974000.000,224127000.000,216160000.000,,,,,,,,,
DebtCurrent,,,,,32180000.000,33152000.000,33562000.000,,,,52370000.000,,,,,,,,,,,,,
DebtInstrumentFaceAmount,,,,,172500000.000,172500000.000,172500000.000,172500000.000,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,0.080,0.080,0.080,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,-1102000.000,1030000.000,958000.000,,,,,,,,,,,,,,,,,
DeferredCosts,7177000.000,6813000.000,5159000.000,5080000.000,4567000.000,4018000.000,3481000.000,7396000.000,7683000.000,7131000.000,7931000.000,9279000.000,8618000.000,8218000.000,7774000.000,7586000.000,9904000.000,,,894000.000,1663000.000,548000.000,0.000,260000.000
DeferredCostsCurrent,2677000.000,2084000.000,2110000.000,2228000.000,2199000.000,2199000.000,2199000.000,1238000.000,1271000.000,1309000.000,1878000.000,,,,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,36808000.000,,,,33599000.000,,,,29976000.000,,,,18096000.000,,,,10107000.000
DeferredRevenueCurrent,7074000.000,4101000.000,3253000.000,3677000.000,3184000.000,3989000.000,4556000.000,3900000.000,3664000.000,,3463000.000,3214000.000,3025000.000,3145000.000,2993000.000,2760000.000,2846000.000,2629000.000,2291000.000,2901000.000,2727000.000,2741000.000,2687000.000,2461000.000
DeferredRevenueNoncurrent,9808000.000,11439000.000,12144000.000,11451000.000,11517000.000,11493000.000,11464000.000,10931000.000,10563000.000,,12829000.000,12519000.000,11899000.000,11278000.000,10741000.000,10098000.000,9394000.000,9274000.000,8903000.000,7532000.000,6912000.000,6291000.000,5671000.000,5324000.000
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,3734000.000,,,,3734000.000,,,,8605000.000,,,,7951000.000,,,,4454000.000
DeferredTaxAssetsDeferredIncome,,,,,,,,119000.000,,,,109000.000,,,,46000.000,,,,46000.000,,,,47000.000
DeferredTaxAssetsDerivativeInstruments,,,,,,,,421000.000,,,,148000.000,,,,234000.000,,,,199000.000,,,,253000.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,,,,,,8005000.000,,,,8100000.000
DeferredTaxAssetsGross,,,,,,,,108217000.000,,,,107922000.000,,,,118296000.000,,,,122381000.000,,,,116825000.000
DeferredTaxAssetsLiabilitiesNet,,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000
DeferredTaxAssetsNet,,,,,,,,36808000.000,,,,33599000.000,,,,29976000.000,,,,18096000.000,,,,10107000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,99342000.000,,,,98407000.000,,,,103312000.000,,,,99524000.000,,,,98232000.000
DeferredTaxAssetsOther,,,,,,,,581000.000,,,,1314000.000,,,,1955000.000,,,,2224000.000,,,,2997000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,4020000.000,,,,4210000.000,,,,4144000.000,,,,4432000.000,,,,2742000.000
DeferredTaxAssetsValuationAllowance,,,,,,,,71409000.000,,,,74323000.000,,,,88320000.000,,,,104285000.000,,,,106718000.000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,,,4956000.000,,,,3347000.000,,,,2136000.000,,,,682000.000,,,,0.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,31852000.000,,,,30252000.000,,,,27840000.000,,,,17414000.000,,,,10107000.000
DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,,,,,,,,,,,,1835000.000,1852000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,668000.000,422000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,,,,,,,,,,,,,,,,0.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationDeferredRevenueCurrent,,,,,,,,,,,,1434000.000,1652000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationGoodwill,,,,,,,,,,,,0.000,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationPrepaidAndOtherAssetsCurrent,,,,,,,,,,,,11000.000,7000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentNet,,,,,,,,,,,,474000.000,723000.000,,,,,,,,,,,
DividendsPayableCurrentAndNoncurrent,,,,,89000.000,89000.000,89000.000,,89000.000,89000.000,89000.000,356000.000,89000.000,178000.000,267000.000,89000.000,89000.000,89000.000,89000.000,89000.000,89000.000,89000.000,178000.000,89000.000
EmployeeRelatedLiabilitiesCurrent,,,,,,,,1485000.000,,,,554000.000,,,,1212000.000,,,,2580000.000,,,,1059000.000
EquityMethodInvestmentAggregateCost,,,,,1521000.000,2152000.000,2830000.000,1812000.000,560000.000,0.000,0.000,0.000,,,,,,,,,,,,
EquityMethodInvestments,,,,,1521000.000,2152000.000,2830000.000,1812000.000,560000.000,0.000,0.000,0.000,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,,,,3844000.000,3844000.000,,,,,,,,,,,,,,,,,
FinancialInstrumentsOwnedAtFairValue,,,,,20065000.000,21072000.000,18478000.000,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,5511000.000,,,,6592000.000,,,,12307000.000,,,,17650000.000,,,,23367000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,1689000.000,,,,5810000.000,,,,5799000.000,,,,5663000.000,,,,5528000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,894000.000,,,,4975000.000,,,,2106000.000,,,,2106000.000,,,,1112000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,1358000.000,,,,5021000.000,,,,5518000.000,,,,2505000.000,,,,2106000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,1524000.000,,,,5663000.000,,,,5528000.000,,,,5528000.000,,,,2505000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,1551000.000,,,,5799000.000,,,,5663000.000,,,,5528000.000,,,,5528000.000
