,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2015-03-31,2015-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,,,,0.000,,,,0.000,-97434.000,
ComprehensiveIncomeNetOfTax,,,,,,,,,,-53057.000,-117690.000
CostOfServices,1800.000,,,,,,,,,,
CostsAndExpenses,6285.000,11000.000,10520.000,17151.000,20074.000,10582.000,22012.000,10563.000,8875.000,,
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,,,168209091.000,,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,5400.000,,
EarningsPerShareBasicAndDiluted,,-0.010,,,-0.010,0.000,-0.010,-0.050,,-0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,-1040.000,
GeneralAndAdministrativeExpense,6285.000,11000.000,10520.000,17151.000,20074.000,10582.000,22012.000,10563.000,8875.000,52212.000,150306.000
GrossProfit,,,,,,,,,,,32920.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-6285.000,-11000.000,-10520.000,-17151.000,-20074.000,-10582.000,-22012.000,,,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,,,,,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,,10449.000,13260.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,,,,,,-13053.000,-29346.000
IncomeTaxReconciliationNondeductibleExpense,,,,,,,,,,2604.000,16087.000
IncreaseDecreaseInAccountsPayable,,,,,5901.000,,,,375.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,285.000,,,,,,,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,,,,,2500.000,,
IncreaseDecreaseInPrepaidExpense,,,,,4750.000,,,,,,
InterestExpense,0.000,,,,,,,,1865.000,,
LeaseAndRentalExpense,200.000,,,,200.000,,,,200.000,,
LegalFees,,,,,,,,,2500.000,,
NetCashProvidedByUsedInFinancingActivities,,,,,3423.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,3423.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,0.000,,,,-3423.000,,,,0.000,-96394.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,0.000,,,,-3423.000,,,,0.000,-96394.000,
NetIncomeLoss,-6285.000,-11000.000,-10520.000,-17151.000,-20074.000,-10582.000,-22012.000,-104518.000,-10740.000,-52212.000,-117386.000
OperatingIncomeLoss,,,,,,,,,-8875.000,,
OperatingLeasesRentExpenseNet,600.000,,,,600.000,,,,600.000,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,-845.000,-304.000
PaymentsForRent,,,,,,,,,,,8008.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,6000.000,6000.000,,3423.000,,,,,,
Revenues,0.000,0.000,0.000,,,,,,,,
SalesRevenueNet,0.000,0.000,0.000,,,,,,,,
SellingGeneralAndAdministrativeExpense,,,,,6000.000,,,,6000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,2379935.000,2379935.000,2379935.000,-4759870.000,2379935.000,2379935.000,2379935.000,-4759870.000,2379935.000,102379935.000,102379935.000
