,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccountsPayableCurrent,1021000.000,933000.000,1140000.000,197000.000,457000.000,328000.000,47000.000,
AccruedLiabilitiesCurrent,2136000.000,2056000.000,4447000.000,2082000.000,1064000.000,979000.000,298000.000,74000.000
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,6250.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2533000.000,2863000.000,2748000.000,1846000.000,1787000.000,1944000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,21000.000,13000.000,7000.000,4000.000,4000.000,2000.000,1000.000,
AdditionalPaidInCapital,203797000.000,204779000.000,205596000.000,205968000.000,206166000.000,207056000.000,129307000.000,129307000.000
Assets,112991000.000,106290000.000,99010000.000,91651000.000,87670000.000,83538000.000,1660000.000,1237000.000
AssetsCurrent,101302000.000,81127000.000,68675000.000,89544000.000,86091000.000,83116000.000,1650000.000,1237000.000
AssetsHeldForSaleCurrent,,,,1000000.000,,,,
AvailableForSaleSecurities,,,,,,,,919000.000
AvailableForSaleSecuritiesAmortizedCost,,,,89375000.000,85123000.000,80656000.000,919000.000,919000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,,89379000.000,85126000.000,80658000.000,919000.000,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,4000.000,3000.000,2000.000,,
CashAndCashEquivalentsAtCarryingValue,21238000.000,16199000.000,13022000.000,19707000.000,36580000.000,44380000.000,1439000.000,1135000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000.000
CommonStockSharesIssued,26107000.000,26374000.000,26700000.000,26794000.000,26817000.000,27195000.000,34479000.000,34479.000
CommonStockSharesOutstanding,26107000.000,26374000.000,26700000.000,26794000.000,26817000.000,27195000.000,34479000.000,34479.000
CommonStockValue,261000.000,264000.000,267000.000,268000.000,268000.000,272000.000,345000.000,345000.000
DeferredTaxAssetsGross,,,,,,,,52431000.000
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,,,,3710000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,48373000.000
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,126257000.000,137804000.000,,
DeferredTaxAssetsOther,,,,,,,,84000.000
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,,,1082000.000,1082000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,2650000.000,2650000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,990000.000
DeferredTaxAssetsValuationAllowance,,,,,,,,52431000.000
DividendsPayableAmountPerShare,,,,,,2.860,2.860,2.860
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,,,,100000.000,900000.000,300000.000,0.000,
InventoriesPropertyHeldForSaleCurrent,,,,974000.000,700000.000,,,
InvestmentsFairValueDisclosure,,,,89379000.000,85126000.000,80659000.000,919000.000,919000.000
LeaseholdImprovementsGross,1192000.000,1194000.000,1197000.000,1197000.000,1197000.000,1197000.000,,
LiabilitiesAndStockholdersEquity,112991000.000,106290000.000,99010000.000,91651000.000,87670000.000,83538000.000,1660000.000,1237000.000
LiabilitiesCurrent,3157000.000,2989000.000,5587000.000,2279000.000,1521000.000,1307000.000,345000.000,74000.000
MachineryAndEquipmentGross,4328000.000,4332000.000,3500000.000,1298000.000,836000.000,836000.000,,
MarketableSecuritiesCurrent,79355000.000,64500000.000,55177000.000,68671000.000,47756000.000,36934000.000,75000.000,75000.000
MarketableSecuritiesNoncurrent,8496000.000,22294000.000,28180000.000,1248000.000,1123000.000,123000.000,,
OperatingLeasesFutureMinimumPaymentsDue,,,,2104000.000,,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,2104000.000,,,,
OperatingLossCarryforwards,,,,,,,142512000.000,147177000.000
OtherAssetsNoncurrent,206000.000,206000.000,206000.000,210000.000,210000.000,210000.000,10000.000,
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,709000.000,428000.000,476000.000,192000.000,1055000.000,1802000.000,136000.000,27000.000
PropertyPlantAndEquipmentGross,5520000.000,5526000.000,4697000.000,2495000.000,2033000.000,2033000.000,,
PropertyPlantAndEquipmentNet,2987000.000,2663000.000,1949000.000,649000.000,246000.000,89000.000,,
RetainedEarningsAccumulatedDeficit,-94245000.000,-101755000.000,-112447000.000,-116868000.000,-120289000.000,-125099000.000,-128338000.000,-128489000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,2181652.000,,,,0.000
