,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalOther,,,394656.000,579217.000,524175.000,-3368126.000,-124360.000,-367127.000,12524.000,-291530.000,-44267.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,511107.000,556508.000,809752.000,1500520.000,1611877.000,1116252.000,2861775.000,1418790.000,1761461.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,,-118960.000,122050.000,,-379151.000,160931.000,676200.000,789215.000,-1365995.000
BusinessAcquisitionsProFormaRevenue,,,,2287518.000,2168262.000,,3155123.000,5273732.000,8969829.000,17046890.000,7720597.000
BusinessCombinationAcquisitionRelatedCosts,,,,316955.000,,,465840.000,733426.000,661283.000,292389.000,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,-170547.000,224413.000,,-185251.000,668085.000,1037723.000,-901934.000,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,1620917.000,2168262.000,,1971445.000,4953528.000,7623494.000,8002767.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1004372.000,,,,2589679.000,,,,-4560706.000
ComprehensiveIncomeNetOfTax,-595.000,,,,,,,,,,
CostsAndExpenses,,,673382.000,1574841.000,1717459.000,1664281.000,2281739.000,4527740.000,6144110.000,7137567.000,6926207.000
DebtIssuanceCosts,,,,,,,4100000.000,,,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,,,,,,,,4800000.000
DepreciationAndAmortization,,,57445.000,194427.000,247160.000,247460.000,278316.000,613436.000,959128.000,1333418.000,1324963.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,,,313255.000,933274.000,1271186.000,1168128.000,1299141.000,2802497.000,4081502.000,4928004.000,4798384.000
DividendsCash,,,87526.000,,,,722162.000,,,,1862398.000
EarningsPerShareBasicAndDiluted,,-1.140,-0.410,-0.190,0.060,0.340,-0.080,0.020,0.060,-0.010,-0.090
GeneralAndAdministrativeExpense,595.000,22867.000,270948.000,382321.000,124824.000,168135.000,604928.000,893906.000,841658.000,528798.000,439713.000
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,-512707.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,147240.000,,,,,,,,
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,,,,,,,,,,,338311.000
IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,,,,,,,134823.000,,,,101526.000
IncreaseDecreaseInDueToRelatedParties,,,19536.000,,,,,,,,
