,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,263261.000,266916.000,217240.000,989127.000,1379372.000,1709260.000,1600730.000
AdditionalPaidInCapital,5338794.000,6093667.000,6255338.000,6349273.000,6912383.000,7780100.000,8127125.000
Assets,201216658.000,200448554.000,200257959.000,200990688.000,200887548.000,200424658.000,200278293.000
AssetsCurrent,1216658.000,438636.000,178598.000,872555.000,808950.000,322308.000,92578.000
AssetsHeldInTrustNoncurrent,200000000.000,200009918.000,,200118133.000,200078598.000,200102350.000,200185715.000
CashAndCashEquivalentsAtCarryingValue,1100220.000,272666.000,11309.000,3422.000,53255.000,24571.000,26470.000
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,16750000.000,16750000.000,16750000.000,16750000.000,16750000.000
CommonStockSharesIssued,6108155.000,6183643.000,,,,,
CommonStockSharesOutstanding,6108155.000,6183643.000,,,,,
CommonStockValue,611.000,618.000,621.000,622.000,627.000,636.000,640.000
ConvertibleDebtNoncurrent,,,15000.000,15000.000,15410.000,15607.000,267782.000
DeferredTaxAssetsGross,,496880.000,,,,1180916.000,
DeferredTaxAssetsLiabilitiesNet,,0.000,,,,0.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,118429.000,
DeferredTaxAssetsValuationAllowance,,496880.000,,,,1180916.000,
DueToRelatedPartiesCurrent,34940.000,18067.000,23822.000,78600.000,147920.000,222670.000,279689.000
InterestPayableCurrent,,,,,410.000,,
Liabilities,7298201.000,7284983.000,7256062.000,8082727.000,8542702.000,8947537.000,9148201.000
LiabilitiesAndStockholdersEquity,201216658.000,200448554.000,200257959.000,200990688.000,200887548.000,200424658.000,200278293.000
LiabilitiesCurrent,298201.000,284983.000,241062.000,1067727.000,1527292.000,1931930.000,2148201.000
OperatingLossCarryforwards,,496880.000,,,,1062487.000,
OtherReceivablesNetCurrent,,69464.000,69464.000,824989.000,721324.000,279619.000,0.000
PreferredStockValue,0.000,0.000,,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,116438.000,96506.000,97825.000,44144.000,34371.000,18118.000,66108.000
RestrictedCashAndCashEquivalentsAtCarryingValue,,200009918.000,200079361.000,200118133.000,200078598.000,200102350.000,200185715.000
RetainedEarningsAccumulatedDeficit,-339398.000,-1094284.000,-1255958.000,-1349894.000,-1913009.000,-2780735.000,-3127764.000
StockholdersEquity,5000007.000,5000001.000,5000001.000,5000001.000,5000001.000,5000001.000,5000001.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,193918457.000,193163571.000,193001897.000,192907961.000,192344846.000,191477121.000,191130092.000
TemporaryEquityCarryingAmountAttributableToParent,188918450.000,188163570.000,188001896.000,187907960.000,187344845.000,186477120.000,186130091.000
