,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,,4108.000,,,,16374.000,,,,,,,,8257.000,,,,,,,,850.000,
AccruedLiabilitiesCurrent,22798.000,,11058.000,11173.000,12885.000,,,1958.000,1388.000,,23872.000,,2271.000,,700.000,700.000,2730.000,,1091.000,700.000,,,565.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,4641.000,,,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,5611447.000,5611447.000,5611447.000,5611447.000,5650928.000,5762368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000,5772368.000
Assets,385035.000,340084.000,331249.000,321832.000,377175.000,363328.000,335279.000,320555.000,307645.000,295145.000,270640.000,220187.000,211319.000,197083.000,163894.000,151361.000,140716.000,124214.000,101124.000,88823.000,76937.000,68359.000,44622.000
AssetsCurrent,385035.000,340084.000,331249.000,321832.000,377175.000,361449.000,333563.000,319002.000,306256.000,293919.000,269578.000,219288.000,210584.000,196511.000,163485.000,151116.000,140634.000,124214.000,101124.000,88823.000,76937.000,68359.000,44622.000
AvailableForSaleSecurities,,,,,,,,,,275857.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesAmortizedCost,,,,,,,,,,280095.000,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,264355.000,216384.000,331249.000,321832.000,369267.000,355518.000,321507.000,312164.000,294786.000,8981.000,255469.000,211220.000,206625.000,187429.000,149377.000,143048.000,131915.000,117492.000,86289.000,79728.000,67682.000,64461.000,31802.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
CommonStockSharesOutstanding,3055345.000,3055345.000,3055345.000,3055345.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000,3359055.000
CommonStockValue,30553.000,30553.000,30553.000,30553.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000,33591.000
DeferredIncomeTaxLiabilities,,,,,,-77.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,1701015.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsGross,,,,,,1834303.000,,1600000.000,1600000.000,158212.000,,,,200786.000,,,,225769.000,,,,247706.000,
DeferredTaxAssetsGrossCurrent,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,0.000,,,,157985.000,,,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,90950.000,,,,114759.000,,,,158448.000,,,,183431.000,,,,205368.000,
DeferredTaxAssetsOther,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,42338.000,,,,42338.000,,,,42338.000,,,,42338.000,,,,42338.000,
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,,,,,,,,,,1115.000,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,1700000.000,1700000.000,,1600000.000,1600000.000,1600000.000,157985.000,177420000000.000,187725.000,192057.000,200786.000,210702.000,215538.000,220441.000,225769.000,235636.000,239731.000,244059.000,247706.000,256779.000
DeferredTaxLiabilities,,,,,,,,,,227.000,,,,,,,,,,,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,,,227.000,,,,,,,,,,,,,
InvestmentOwnedAtCost,,0.000,,,,,,,,,,,,,,,,,,,,,
Liabilities,,,11508.000,11173.000,12885.000,,4641.000,1958.000,1388.000,,23872.000,,2271.000,,700.000,700.000,2730.000,,1091.000,700.000,,,565.000
LiabilitiesAndStockholdersEquity,385035.000,340084.000,331249.000,321832.000,377175.000,363328.000,335279.000,320555.000,307645.000,295145.000,270640.000,220187.000,211319.000,197083.000,163894.000,151361.000,140716.000,124214.000,101124.000,88823.000,76937.000,68359.000,44622.000
LiabilitiesCurrent,22798.000,4108.000,11058.000,11173.000,12885.000,16374.000,4641.000,1958.000,1388.000,,23872.000,,2271.000,8257.000,700.000,700.000,2730.000,,1091.000,700.000,,850.000,565.000
OperatingLossCarryforwards,,,,,,4397000.000,,,,,,,,410000.000,,,,474000.000,,,,530000.000,
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesOutstanding,,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,
PrepaidExpenseCurrent,,,,,,,,6838.000,11470.000,9081.000,14109.000,8068.000,3959.000,9082.000,14108.000,8068.000,8719.000,6722.000,14835.000,9095.000,9255.000,3898.000,12820.000
PrepaidExpenseCurrentAndNoncurrent,,,,,7908.000,5931.000,12056.000,,,,,,,,,,,,,,,,
PropertyPlantAndEquipmentNet,,,,,,1879.000,1716.000,1553.000,1389.000,1226.000,1062.000,899.000,735.000,572.000,409.000,245.000,82.000,,,,,,
RetainedEarningsAccumulatedDeficit,-5279763.000,-5306024.000,-5321809.000,-5331341.000,-5320229.000,-5449005.000,-5475321.000,-5487362.000,-5499702.000,-5510814.000,-5559191.000,-5585772.000,-5596911.000,-5617133.000,-5642765.000,-5655298.000,-5667973.000,-5681745.000,-5705926.000,-5717836.000,-5729022.000,-5738450.000,-5761902.000
StockholdersEquity,362237.000,335976.000,320191.000,310659.000,364290.000,346954.000,330638.000,318597.000,306257.000,295145.000,246768.000,220187.000,209048.000,188826.000,163194.000,150661.000,137986.000,124214.000,100033.000,88123.000,76937.000,67509.000,44057.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,319741.000,310659.000,364290.000,,330638.000,318597.000,306257.000,,246768.000,,209048.000,,163194.000,150661.000,137986.000,,100033.000,88123.000,,,44057.000
TaxCreditCarryforwardAmount,,,,,,,,,,,,,,2000.000,,,,2000.000,,,,2000.000,
TradingSecuritiesCurrent,120680.000,123700.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
