,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableCurrent,430289.000,362513.000,365298.000,636658.000,683672.000,1029488.000,2319219.000,1499294.000,2264576.000,1551092.000,1036320.000,704240.000,1032360.000,905572.000,1801469.000,1368775.000,1514026.000,1915502.000,2176083.000,1997741.000,1615339.000,1851043.000
AccountsReceivableNetCurrent,37065.000,40684.000,37065.000,,3552.000,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,667886.000,817639.000,965832.000,386714.000,742979.000,1313465.000,1581448.000,1759537.000,1769529.000,1595920.000,1411107.000,824712.000,884201.000,769974.000,968392.000,365282.000,650763.000,317555.000,602345.000,464292.000,383963.000,884253.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1104781.000,1118479.000,1135912.000,1145454.000,1156232.000,1096015.000,1165398.000,947738.000,1045825.000,1146135.000,1248846.000,1348746.000,1436980.000,1534874.000,1629462.000,,,,1025884.000,1056540.000,1058549.000,1085474.000
AdditionalPaidInCapital,87661226.000,88730324.000,98116327.000,98634017.000,99276015.000,99906833.000,103658724.000,114581812.000,126818839.000,126958986.000,132192648.000,133044781.000,135133217.000,135599249.000,137292157.000,142312182.000,145256318.000,147100565.000,147412559.000,147785306.000,148123118.000,148414835.000
Assets,13835078.000,12696543.000,19526807.000,16484202.000,13940179.000,17579214.000,20021592.000,21648246.000,27805321.000,21868335.000,23089295.000,21592041.000,18398296.000,12626450.000,12595836.000,11602154.000,1303542.000,765423.000,805090.000,986226.000,1871464.000,1076507.000
AssetsCurrent,3909283.000,2744819.000,9563511.000,6477837.000,3740766.000,2946474.000,5198303.000,7026889.000,13444077.000,7821046.000,9375098.000,8219745.000,5334945.000,1756100.000,1822253.000,916879.000,680390.000,226707.000,300744.000,374934.000,1201574.000,401954.000
AssetsHeldForSalePropertyPlantAndEquipment,,,,,,,,,,,,,,,,2554498.000,,,,,,
AssetsNoncurrent,9645565.000,9645565.000,9645565.000,9635816.000,9635816.000,13426895.000,13184894.000,12942893.000,12701392.000,12460391.000,12218390.000,11976389.000,11733812.000,9634990.000,9634990.000,9754705.000,179706.000,236675.000,236675.000,374276.000,460383.000,485617.000
CapitalizedComputerSoftwareGross,,,,,,,,,,,,,,,,,,,,160000.000,242641.000,267811.000
Cash,,,,,3111000.000,1396000.000,3747000.000,5170000.000,11608000.000,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,3199661.000,2258019.000,8995571.000,5910213.000,3111342.000,1395840.000,3747210.000,5170251.000,11608289.000,6068469.000,8055385.000,7081051.000,4105954.000,1469405.000,1278941.000,469493.000,337423.000,3230.000,56210.000,42829.000,938661.000,172725.000
CashAndDueFromBanks,,,,,,,,,,,,,,,,469000.000,337000.000,3230.000,,42829.000,938661.000,172725.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.001,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,0.000,0.000,-6667.000,,,,,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,33979590.000,34455452.000,38543944.000,38836022.000,39615344.000,39911336.000,44373461.000,60244669.000,10679790.000,10699990.000,11776578.000,11967414.000,12665518.000,12648353.000,12629695.000,11128275.000,11128275.000,11128275.000,11124496.000,11401533.000,11512586.000,11635915.000
CommonStockSharesOutstanding,33979590.000,34455452.000,38543944.000,38836022.000,38543944.000,39911336.000,44373461.000,60244669.000,10679790.000,4437346.000,11776578.000,11967414.000,12665518.000,12648353.000,12629695.000,11128275.000,11128275.000,11128275.000,11124496.000,11401533.000,11512586.000,11635915.000
CommonStockSharesSubscribedButUnissued,,0.000,,,,,,,,,,,,,,,,,,,,
CommonStockSharesSubscriptions,,,,,,,,,,,,1500000.000,,,,,,,,,,
CommonStockValue,339798.000,344557.000,385442.000,388363.000,396156.000,399116.000,443737.000,602449.000,106801.000,107003.000,117764.000,119672.000,126654.000,126482.000,126295.000,111281.000,111281.000,111270.000,111243.000,114013.000,115124.000,116358.000
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,,,,,,,868421.000,2351317.000,3248731.000
DeferredCosts,,,,,,,968004.000,,,,,,,,,,,,,,,
DeferredFinanceCostsNet,,,,,,1068462.000,3549328.000,968004.000,968004.000,968004.000,968004.000,968004.000,968004.000,,,,,,,,,
DeferredFinanceCostsNoncurrentNet,,,,,,3791329.000,,3307327.000,3065326.000,2823325.000,2581324.000,2339323.000,2097322.000,,,,,,,,,
DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsNet,,,,,,,,,,,,,,2823325.000,,,,,,,,
DeferredRevenueCurrent,244724.000,196290.000,123708.000,123708.000,123721.000,92794.000,90228.000,67671.000,90228.000,90228.000,76428.000,76428.000,76428.000,76428.000,,,,,,,,
DeferredRevenueNoncurrent,0.000,92794.000,61867.000,30940.000,,,90228.000,90228.000,45114.000,22557.000,76428.000,57321.000,38214.000,19107.000,95535.000,95535.000,95535.000,95535.000,95535.000,95535.000,95535.000,95535.000
DeferredTaxAssetsGross,,,,,,,22631000.000,,,,31859000.000,,,,34632000.000,,,,42529000.000,,,
DeferredTaxAssetsNet,,,,,,,,,,,,,,,,,,,0.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,,68500000.000,,,,89600000.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,21000000.000,,,,45893000.000,,,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,,1340000.000,,,,2488000.000,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,-22631000.000,,,,-32859000.000,,,,-34632000.000,,,,-42529000.000,,,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,,,,219000.000,,,,207000.000,,,,50000.000,,,,9200.000,,,
DepositsAssetsNoncurrent,10816.000,10816.000,826.000,10816.000,10816.000,,826.000,,,,,,,,,,,,,,,
