,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,4642000.000,5697000.000,5670000.000,6321000.000,6311000.000,8008000.000,7306000.000,7249000.000
AccumulatedDistributionsInExcessOfNetIncome,-195455000.000,-198029000.000,-208741000.000,-217487000.000,219849000.000,219686000.000,225335000.000,215433000.000
Assets,775715000.000,767565000.000,759365000.000,760265000.000,755594000.000,747758000.000,740370000.000,741073000.000
AssetsHeldForSaleAtCarryingValue,0.000,0.000,0.000,,,,,
CashAndCashEquivalentsAtCarryingValue,0.000,0.000,32000.000,0.000,0.000,0.000,0.000,0.000
CommonStockNoParValue,0.000,,,,,,,
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,91519847.000,91381058.000,91181198.000,91212249.000,91219408.000,91301572.000,91226580.000,91226580.000
CommonStockSharesOutstanding,91519847.000,91381058.000,91181198.000,91212249.000,91219408.000,91301572.000,91226580.000,91226580.000
CommonStockValue,903043000.000,901532000.000,899345000.000,899692000.000,899869000.000,900776000.000,899958000.000,899958000.000
DebtInstrumentCarryingAmount,,,,,,,58417000.000,
FiniteLivedIntangibleAssetsGross,,,,,,,3043000.000,
FurnitureAndFixturesGross,,,,,,,82503000.000,
InvestmentBuildingAndBuildingImprovements,,,,,,,752736000.000,
Land,,,,,,,107736000.000,
Liabilities,68103000.000,64038000.000,68737000.000,78036000.000,75550000.000,66644000.000,65723000.000,56524000.000
LiabilitiesAndStockholdersEquity,775715000.000,767565000.000,759365000.000,760265000.000,755594000.000,747758000.000,740370000.000,741073000.000
LineOfCredit,43692000.000,38765000.000,43690000.000,52540000.000,,,,
LineOfCreditFacilityAmountOutstanding,,,,,55045000.000,26270000.000,34470000.000,25470000.000
LineOfCreditFacilityInterestRateAtPeriodEnd,,,,,0.037,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,60000000.000,,,
LongTermDebt,,,,,69200000.000,58600000.000,58400000.000,49300000.000
LongTermDebtFairValue,,,,,70000000.000,59500000.000,59600000.000,50400000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,,16128000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,35034000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,,,464000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,,440000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,421000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,5930000.000,
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,5566000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,,261000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,238000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,271000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,267000.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,262000.000,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,,,4267000.000,
OtherAssets,3473000.000,3221000.000,2811000.000,3757000.000,3110000.000,2795000.000,2257000.000,2176000.000
PreferredStockSharesAuthorized,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RealEstateAccumulatedDepreciation,,,,,,,216910000.000,
RealEstateGrossAtCarryingValue,,,,,,,946018000.000,
RealEstateInvestmentPropertyAccumulatedDepreciation,169909000.000,177893000.000,185860000.000,193862000.000,201724000.000,209379000.000,216910000.000,224313000.000
RealEstateInvestmentPropertyAtCost,,,,,,,946018000.000,
RealEstateInvestmentPropertyNet,755526000.000,750521000.000,746354000.000,741257000.000,735536000.000,730833000.000,729108000.000,726894000.000
SecuredDebt,19769000.000,19576000.000,19377000.000,19175000.000,14194000.000,32366000.000,23947000.000,23805000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,,,580116.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,,,11.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,,,580116.000,
StockholdersEquity,707612000.000,703527000.000,690628000.000,682229000.000,680044000.000,681114000.000,674647000.000,684549000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,707612000.000,703527000.000,690628000.000,682229000.000,680044000.000,681114000.000,674647000.000,684549000.000
