,2017-03-31
AccountsPayableCurrent,7939000.000
AccountsReceivableNetCurrent,16124000.000
AccruedLiabilitiesCurrent,59826000.000
AdditionalPaidInCapital,739750000.000
AssetRetirementObligation,500000.000
AssetRetirementObligationCurrent,0.000
AssetRetirementObligationsNoncurrent,500000.000
Assets,814481000.000
AssetsCurrent,221089000.000
AssetsNoncurrent,8194000.000
CashAndCashEquivalentsAtCarryingValue,198809000.000
CommonStockParOrStatedValuePerShare,0.010
CommonStockSharesAuthorized,1000000000.000
CommonStockSharesIssued,212937746.000
CommonStockValue,2129000.000
DeferredIncomeTaxLiabilities,92719000.000
DeferredTaxAssetsGross,3351000.000
DeferredTaxAssetsOperatingLossCarryforwards,2796000.000
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,7900000.000
DeferredTaxAssetsOther,555000.000
DeferredTaxAssetsValuationAllowance,0.000
DeferredTaxLiabilities,89368000.000
DeferredTaxLiabilitiesDerivatives,1866000.000
DeferredTaxLiabilitiesNoncurrent,89368000.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,90853000.000
DerivativeAssets,5259000.000
DerivativeAssetsCurrent,4858000.000
DerivativeAssetsNoncurrent,5691000.000
DerivativeFairValueOfDerivativeAsset,10549000.000
DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,5290000.000
DerivativeFairValueOfDerivativeLiability,5290000.000
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,5290000.000
DerivativeLiabilities,0.000
DerivativeLiabilitiesCurrent,4601000.000
DerivativeLiabilitiesNoncurrent,689000.000
DueToRelatedPartiesCurrentAndNoncurrent,800000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,108300000.000
LiabilitiesAndStockholdersEquity,814481000.000
LiabilitiesCurrent,72366000.000
LiabilitiesNoncurrent,90641000.000
LongTermLineOfCredit,0.000
MembersEquity,0.000
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,71194000.000
OilAndGasPropertySuccessfulEffortMethodGross,653300000.000
OilAndGasPropertySuccessfulEffortMethodNet,582106000.000
OperatingLeasesFutureMinimumPaymentsDue,1300000.000
OtherAssetsNoncurrent,117000.000
OtherLiabilitiesNoncurrent,84000.000
PreferredStockParOrStatedValuePerShare,0.010
PreferredStockSharesAuthorized,50000000.000
PreferredStockSharesIssued,0.000
PreferredStockValue,0.000
PrepaidExpenseAndOtherAssetsCurrent,1298000.000
PropertyPlantAndEquipmentNet,585198000.000
PropertyPlantAndEquipmentOtherNet,3092000.000
ProvedOilAndGasPropertySuccessfulEffortMethod,480743000.000
RetainedEarningsAccumulatedDeficit,-90405000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,21200000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,0.000
StockholdersEquity,651474000.000
UnamortizedDebtIssuanceExpense,2386000.000
UnprovedOilAndGasPropertySuccessfulEffortMethod,172557000.000
UnrecognizedTaxBenefits,0.000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,0.000
