,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsAndOtherReceivablesNetCurrent,12955000.000,30191000.000,42899000.000,,29165000.000,35200000.000,37218000.000
AccountsPayableCurrent,51735000.000,52725000.000,68211000.000,76603000.000,67518000.000,63989000.000,52762000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,78365000.000,,,,99979000.000,107932000.000,118586000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-13889000.000,-240000.000,-12678000.000,-26302000.000,-18294000.000,-8168000.000,-9479000.000
AdditionalPaidInCapital,1239328000.000,1238505000.000,1243570000.000,1251524000.000,1254508000.000,1256691000.000,1260223000.000
AirTrafficLiabilityCurrent,,,,11300000.000,,,
Assets,1099008000.000,1183723000.000,1320488000.000,1568531000.000,1729223000.000,1896452000.000,1894266000.000
AssetsCurrent,516552000.000,566052000.000,590235000.000,526580000.000,606997000.000,656139000.000,669436000.000
AssetsNoncurrent,403112000.000,419172000.000,437440000.000,603052000.000,598166000.000,596580000.000,572637000.000
CapitalizedComputerSoftwareGross,,,,13100000.000,,,
CashAndCashEquivalentsAtCarryingValue,418263000.000,500457000.000,511707000.000,496349000.000,562816000.000,601090000.000,614278000.000
CommonStockParOrStatedValuePerShare,,,,0.010,,,
CommonStockSharesAuthorized,,,,750000000.000,,,
CommonStockSharesIssued,,,,44660239.000,,,
CommonStockSharesOutstanding,,,,44177966.000,,,
CommonStockValue,432000.000,434000.000,439000.000,442000.000,443000.000,444000.000,444000.000
ContractualObligation,,2190287000.000,2115467000.000,2710503000.000,,,
ContractualObligationDueAfterFifthYear,,559053000.000,617150000.000,1004363000.000,,,
ContractualObligationDueInFifthYear,,251798000.000,259739000.000,253825000.000,,,
ContractualObligationDueInFourthYear,,262630000.000,269153000.000,328700000.000,,,
ContractualObligationDueInSecondYear,,497387000.000,502206000.000,273178000.000,,,
ContractualObligationDueInThirdYear,,240382000.000,246378000.000,331310000.000,,,
ContractualObligationFutureMinimumPaymentsDueRemainderOfFiscalYear,,379037000.000,220841000.000,519127000.000,,,
CreditCardReceivables,19000000.000,18600000.000,21700000.000,9300000.000,,,
DebtAndCapitalLeaseObligations,,,,321200000.000,,,
DebtInstrumentUnamortizedDiscount,,,10735000.000,10387000.000,10016000.000,9644000.000,9269000.000
