,2015-04-30,2015-10-31,2016-01-31,2016-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,-3748.000,,
ComprehensiveIncomeNetOfTax,,,,14919.000
CostOfGoodsSold,-180.000,-337.000,0.000,
CurrentIncomeTaxExpenseBenefit,0.000,,,
Depreciation,,402.000,,
EarningsPerShareBasicAndDiluted,0.000,,-0.000,0.000
EarningsPerShareDiluted,,0.000,,
GeneralAndAdministrativeExpense,0.000,,13381.000,7770.000
GrossProfit,2130.000,1973.000,0.000,
IncomeTaxExpenseBenefit,,,0.000,
IncreaseDecreaseInAccountsPayable,,500.000,,
IncreaseDecreaseInInventories,,337.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,1000.000,,
NetCashProvidedByUsedInFinancingActivities,,0.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,0.000,,
NetCashProvidedByUsedInOperatingActivities,,-3748.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-3748.000,,
NetIncomeLoss,-2401.000,-5987.000,-13381.000,14919.000
OperatingExpenses,3531.000,7960.000,13381.000,
OperatingIncomeLoss,-2401.000,-5987.000,-13381.000,-7770.000
OtherNonoperatingIncome,,,,22689.000
ProceedsFromIssuanceOfCommonStock,,0.000,,
ProceedsFromRepaymentsOfDebt,,0.000,,
ProfitLoss,,-5987.000,,
Revenues,2310.000,,0.000,
SalesRevenueGoodsNet,,2310.000,,
SalesRevenueNet,2310.000,,0.000,
SellingGeneralAndAdministrativeExpense,4531.000,7960.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,6040000.000,6040000.000
