,2011-04-03,2011-07-03,2011-10-02,2011-12-31,2012-04-01,2012-07-01,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-29,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2015-07-05,2015-10-04,2016-07-03,2016-10-02,2017-04-02,2017-07-02
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,,,,,11393000.000,
AllocatedShareBasedCompensationExpense,15100000.000,8900000.000,6800000.000,12700000.000,11500000.000,13100000.000,12800000.000,13100000.000,12500000.000,13500000.000,13600000.000,14400000.000,13000000.000,14742000.000,14062000.000,12726000.000,13374000.000,14530000.000,14491000.000,12122000.000,12435000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,,5964000.000,7666000.000,7151000.000,5407000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,1400000.000,1363000.000,1510000.000,4175000.000,2552000.000,,,,
AssetImpairmentCharges,,,,,,,,,,,,,,,13340000.000,,,,,208712000.000,0.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,,,,,,,,,,,,0.000,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,,,,,,,,,,,0.000,0.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-132376000.000,,,,-126347000.000,,,,1824000.000,,,,-112412000.000,,,,,,,-61936000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,-44600000.000,,,,-12300000.000,,,,33300000.000,,,,,,,9730000.000,
ComprehensiveIncomeNetOfTax,169442000.000,129937000.000,,,,,,,,,,,266787000.000,174100000.000,193568000.000,-12454000.000,87161000.000,129013000.000,227262000.000,143522000.000,204947000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,-213000.000,-751000.000,-26456000.000,-698000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,110257000.000,,244679000.000,136461000.000,237004000.000,100042000.000,250642000.000,155185000.000,294856000.000,,,,,-11876000.000,87981000.000,128800000.000,226511000.000,117066000.000,204249000.000
