,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableOtherCurrent,,,,,4414000.000,2973000.000,2963000.000,5905000.000,6907000.000,4708000.000,4415000.000,5102000.000,7942000.000,3458000.000,2004000.000,1599000.000,1830000.000,2225000.000,2251000.000,3180000.000
AccountsPayableRelatedPartiesCurrent,10293000.000,15008000.000,13454000.000,30360000.000,563000.000,782000.000,961000.000,,1888000.000,1218000.000,,,,,,,,,,
AccountsPayableTradeCurrent,,,,,25811000.000,26779000.000,46900000.000,28089000.000,11663000.000,17306000.000,29487000.000,25319000.000,1000000.000,16542000.000,4184000.000,1600000.000,2937000.000,1507000.000,1076000.000,8449000.000
AccountsReceivableNetCurrent,2183000.000,4327000.000,10435000.000,10754000.000,24448000.000,36565000.000,51960000.000,49632000.000,56456000.000,93865000.000,69795000.000,45996000.000,44922000.000,34686000.000,30668000.000,33596000.000,39191000.000,34382000.000,41057000.000,50292000.000
AccountsReceivableRelatedPartiesCurrent,,,,,,,,69000.000,,,386000.000,3233000.000,3891000.000,3790000.000,3697000.000,3636000.000,3206000.000,2235000.000,6401000.000,6470000.000
AccrualForEnvironmentalLossContingencies,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
AccruedLiabilitiesCurrent,17007000.000,24999000.000,44828000.000,48526000.000,45386000.000,110084000.000,102455000.000,149841000.000,123552000.000,196108000.000,229888000.000,164001000.000,157624000.000,138075000.000,121957000.000,118150000.000,107046000.000,110360000.000,117612000.000,126501000.000
AccumulatedAmortizationOfCurrentDeferredFinanceCosts,,,,,,,2000000.000,,,,7200000.000,,,,14700000.000,,,,22500000.000,
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,,,99000.000,341000.000,4699000.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,0.000,,,,,,,,,,,,,,,,
AcquisitionCostsCumulative,,,117259000.000,,,,227800000.000,,,,331695000.000,,,,232206000.000,,,,187197000.000,
AdditionalPaidInCapital,,384392000.000,385086000.000,603738000.000,608264000.000,863805000.000,867108000.000,890905000.000,1077494000.000,1077712000.000,1064667000.000,1072336000.000,1080204000.000,1080558000.000,1079513000.000,1082293000.000,1089068000.000,1101361000.000,1112397000.000,1340534000.000
AdditionalPaidInCapitalCommonStock,239074000.000,,,,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
AssetRetirementObligationsNoncurrent,229000.000,297000.000,546000.000,1632000.000,2932000.000,3507000.000,4130000.000,7125000.000,22626000.000,24048000.000,25694000.000,27148000.000,28500000.000,34559000.000,25907000.000,26467000.000,27792000.000,28667000.000,25087000.000,33994000.000
Assets,249070000.000,408296000.000,426574000.000,716656000.000,1071345000.000,1599293000.000,1629153000.000,1680781000.000,2704054000.000,3104350000.000,3075410000.000,2475951000.000,1935313000.000,1532220000.000,1542343000.000,1421203000.000,1240537000.000,1185119000.000,1286280000.000,2078560000.000
AssetsCurrent,43124000.000,153166000.000,74956000.000,281252000.000,278103000.000,538315000.000,219562000.000,182467000.000,482225000.000,733560000.000,681754000.000,529606000.000,405680000.000,388223000.000,666618000.000,558522000.000,438695000.000,410976000.000,562805000.000,201427000.000
AvailableForSaleSecurities,,,11591000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesCurrent,,11583000.000,11591000.000,,,,,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,,,,,,1138000.000,1296000.000,,14723000.000,14723000.000,14723000.000,,,,,,,,,
