,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccruedEmployeeBenefitsCurrentAndNoncurrent,,,,81500000.000,,,,64200000.000,,,,48100000.000,,,42000000.000,,,,48400000.000,,,,50600000.000,
AccruedLiabilitiesCurrentAndNoncurrent,,,,90000000.000,,,,69900000.000,,,,69100000.000,,,55200000.000,,,,43700000.000,,,,68000000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,397100000.000,,,,422100000.000,,,,389400000.000,,,411500000.000,,,,432100000.000,,,,456700000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,600000.000,27100000.000,47600000.000,43200000.000,44700000.000,47900000.000,59000000.000,52800000.000,39700000.000,-32800000.000,-57200000.000,-46500000.000,-30000000.000,-19500000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,500000.000,-200000.000,-700000.000,-1500000.000,-2300000.000,-1500000.000,-1300000.000,-100000.000,-400000.000,-300000.000,-200000.000,100000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,-99000000.000,97300000.000,84900000.000,-138800000.000,-137100000.000,-136600000.000,-135700000.000,148200000.000,-146900000.000,-145900000.000,-144900000.000,-85000000.000,-84400000.000,-83100000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-98400000.000,-70200000.000,-36800000.000,-95800000.000,-93100000.000,-90200000.000,-79000000.000,-96900000.000,-108500000.000,-178800000.000,-202500000.000,-155100000.000,-137500000.000,-124500000.000,-168200000.000,-140600000.000,-164500000.000,-146100000.000,-177200000.000,-134700000.000,-120300000.000,-120400000.000,-195000000.000,-181900000.000
AdditionalCollateralAggregateFairValue,,700000.000,900000.000,1100000.000,600000.000,900000.000,900000.000,1000000.000,1700000.000,8900000.000,0.000,0.000,,600000.000,800000.000,500000.000,3100000.000,500000.000,500000.000,1300000.000,,,2100000.000,
AdditionalPaidInCapital,4981500000.000,4989100000.000,5242500000.000,5247000000.000,5252300000.000,5258500000.000,5263900000.000,5261300000.000,5265200000.000,5268800000.000,5272700000.000,5277000000.000,5276400000.000,5285700000.000,5291200000.000,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,5304200000.000,5319600000.000,5327300000.000,5337700000.000,5344300000.000,5350400000.000,5359800000.000,5446100000.000,5472700000.000
AdvancesFromFederalHomeLoanBanks,,477500000.000,333400000.000,332400000.000,331400000.000,330300000.000,629300000.000,1178300000.000,1407400000.000,2206400000.000,2370600000.000,3719800000.000,2619000000.000,2467500000.000,2291700000.000,2165900000.000,2615200000.000,2164500000.000,3463800000.000,3063100000.000,3562400000.000,3261800000.000,3061100000.000,2160400000.000
AmortizationMethodQualifiedAffordableHousingProjectInvestments,,,,,,,,,,,,,,,,,74400000.000,78600000.000,83500000.000,170300000.000,173500000.000,176400000.000,195200000.000,220300000.000
Assets,24962300000.000,25322500000.000,27213000000.000,27567900000.000,27807900000.000,28154100000.000,28576000000.000,30324400000.000,30598200000.000,31344900000.000,31510600000.000,33213700000.000,33112400000.000,34774900000.000,35997100000.000,36407300000.000,37183200000.000,37477700000.000,38877400000.000,39263800000.000,40150000000.000,40692100000.000,40609800000.000,40229600000.000
AssetsFairValueDisclosure,,,,,,,,,4692000000.000,4565600000.000,4325600000.000,4348600000.000,3981100000.000,4014600000.000,4171500000.000,4581000000.000,4693000000.000,4465000000.000,4729100000.000,5079000000.000,5118400000.000,5282200000.000,4630300000.000,3987700000.000
AssetsFairValueDisclosureNonrecurring,,,,,,198800000.000,204000000.000,228200000.000,188700000.000,198100000.000,145500000.000,121200000.000,115500000.000,114900000.000,127800000.000,133600000.000,150700000.000,123400000.000,105700000.000,115400000.000,143000000.000,128300000.000,114500000.000,106000000.000
AssetsHeldInTrustCurrent,,,,40400000.000,,,,41000000.000,,,,40700000.000,,,37100000.000,,,,36500000.000,,,,39600000.000,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,33700000.000,40000000.000,,,,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,64300000.000,46400000.000,,,,,,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,4285300000.000,4281700000.000,3895500000.000,3903400000.000,3999900000.000,4322200000.000,4524200000.000,4197400000.000,4555000000.000,4708900000.000,4654600000.000,4853100000.000,4463000000.000,3799200000.000
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,,,,,,,200000.000,200000.000,200000.000,200000.000,200000.000,,,,,,,,,
AvailableForSaleSecurities,3003800000.000,3025600000.000,2336000000.000,2725500000.000,2742300000.000,3560000000.000,3651000000.000,4532300000.000,4570400000.000,4439900000.000,4194800000.000,4208200000.000,3848100000.000,3873000000.000,3993700000.000,4356800000.000,4518700000.000,4221200000.000,4527700000.000,4746100000.000,4711800000.000,4906500000.000,4409900000.000,3772100000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,33700000.000,40000000.000,54100000.000,33000000.000,42600000.000,22500000.000,48200000.000,60900000.000,59500000.000,15300000.000,13800000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,64300000.000,46400000.000,19700000.000,38700000.000,19000000.000,50000000.000,11200000.000,3900000.000,6300000.000,68600000.000,50500000.000
AvailableForSaleSecuritiesAmortizedCost,,2983100000.000,2261100000.000,2657400000.000,2672100000.000,3484800000.000,3557800000.000,4449100000.000,4507800000.000,4491800000.000,4285500000.000,4281900000.000,3895700000.000,3903600000.000,4000100000.000,4322400000.000,4524400000.000,4197600000.000,4555200000.000,4709100000.000,4654800000.000,4853300000.000,4463200000.000,3808800000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,62600000.000,46300000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,,64300000.000,46500000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,1448000000.000,138500000.000,40400000.000,369300000.000,754300000.000,1285500000.000,525500000.000,724100000.000,1566100000.000,3175800000.000,3157200000.000,3038800000.000,2768400000.000,2627000000.000,1887900000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,1700000.000,200000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,1447700000.000,138200000.000,40300000.000,369300000.000,754300000.000,1285400000.000,525400000.000,724000000.000,1566000000.000,3175700000.000,3157100000.000,2886800000.000,1935100000.000,784600000.000,143700000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,300000.000,300000.000,100000.000,,,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,152000000.000,833300000.000,1842400000.000,1744200000.000,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,243900000.000,269400000.000,784700000.000,898900000.000,962600000.000,916500000.000,854400000.000,808100000.000,736600000.000,739800000.000,370800000.000,673700000.000,742900000.000,779300000.000,792300000.000,807500000.000,742600000.000,860300000.000,967800000.000,1031700000.000,1404900000.000,1571800000.000,1599300000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,83100000.000,245800000.000,273600000.000,788000000.000,901200000.000,965500000.000,924000000.000,861500000.000,815900000.000,732100000.000,729000000.000,371700000.000,671900000.000,747300000.000,788400000.000,805700000.000,817400000.000,755300000.000,871800000.000,996600000.000,1062600000.000,1431500000.000,1557100000.000,1590300000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,254500000.000,79800000.000,118600000.000,61800000.000,77500000.000,72600000.000,72800000.000,73000000.000,121600000.000,125700000.000,88500000.000,131200000.000,121500000.000,56600000.000,307600000.000,344700000.000,333000000.000,332600000.000,155900000.000,181700000.000,181600000.000,187800000.000,238700000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,384300000.000,255200000.000,80400000.000,118600000.000,62900000.000,79800000.000,75500000.000,75500000.000,76000000.000,124600000.000,128900000.000,90500000.000,133700000.000,123700000.000,57000000.000,309100000.000,345400000.000,335000000.000,331700000.000,158200000.000,185300000.000,184200000.000,186100000.000,235700000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,2470200000.000,1897500000.000,1744200000.000,1694300000.000,2422900000.000,2542100000.000,3495500000.000,,3611100000.000,3399500000.000,3809300000.000,3068500000.000,3021900000.000,3143000000.000,3211400000.000,3350900000.000,3080700000.000,3331000000.000,3427900000.000,3294200000.000,3140000000.000,2702400000.000,1960200000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,26200000.000,2510100000.000,1967500000.000,1809000000.000,1761100000.000,2492800000.000,2624700000.000,3568800000.000,3658600000.000,3560600000.000,3316300000.000,3732700000.000,3020200000.000,2984600000.000,3127100000.000,3230900000.000,3334600000.000,3089500000.000,3292900000.000,3433700000.000,3316600000.000,3163900000.000,2665500000.000,1936200000.000
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,2983000000.000,2261000000.000,2657200000.000,2671900000.000,3484600000.000,3557600000.000,4448900000.000,4507600000.000,4491600000.000,4285300000.000,4281700000.000,3895500000.000,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,14400000.000,14300000.000,9700000.000,16900000.000,21600000.000,26400000.000,26200000.000,19500000.000,22300000.000,20300000.000,13100000.000,22100000.000,17100000.000,21000000.000,10900000.000,21100000.000,41100000.000,31100000.000,157300000.000,147000000.000,126600000.000,1000000.000,1000000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,11700000.000,14400000.000,14400000.000,9700000.000,16900000.000,21700000.000,26600000.000,26300000.000,19700000.000,22400000.000,20400000.000,13100000.000,22100000.000,17200000.000,21000000.000,10900000.000,21100000.000,41200000.000,31100000.000,157400000.000,147100000.000,126700000.000,1000000.000,1000000.000
AvailableForSaleSecuritiesDebtSecurities,,3025500000.000,2335900000.000,2725300000.000,2742100000.000,3559800000.000,3650800000.000,4532100000.000,4570200000.000,4439700000.000,4194600000.000,4208000000.000,3847900000.000,3872800000.000,3993500000.000,4356600000.000,4518500000.000,4221000000.000,4527500000.000,4745900000.000,4711600000.000,4906300000.000,4409700000.000,3763200000.000
AvailableForSaleSecuritiesEquitySecurities,,,,,,,,,,,200000.000,200000.000,200000.000,200000.000,200000.000,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,300000.000,800000.000,3000000.000,4600000.000,-3900000.000,500000.000,3800000.000,12000000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesPledgedAsCollateral,,,,1440000000.000,,,,1500000000.000,,,,1310000000.000,1310000000.000,1360000000.000,1430000000.000,1470000000.000,1360000000.000,1610000000.000,1640000000.000,1860000000.000,1900000000.000,1900000000.000,1830000000.000,1910000000.000
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1,,300000.000,800000.000,3000000.000,4600000.000,,,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,,3900000.000,500000.000,3800000.000,12000000.000,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses1,,300000.000,800000.000,3000000.000,4600000.000,,,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,,3900000.000,500000.000,3800000.000,12000000.000,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,42800000.000,75700000.000,71100000.000,74800000.000,79100000.000,93700000.000,87000000.000,74600000.000,,,,,,,,,,,,,,,
BankOwnedLifeInsurance,291800000.000,293500000.000,330700000.000,332700000.000,334100000.000,334600000.000,335500000.000,336500000.000,336300000.000,337200000.000,338300000.000,339400000.000,340300000.000,342600000.000,343300000.000,344400000.000,345900000.000,345600000.000,346500000.000,346700000.000,346800000.000,347800000.000,349100000.000,348800000.000
BorrowedFunds,,,,,,,1524300000.000,,,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,,,,289900000.000,,,,281700000.000,,,,271500000.000,,,269200000.000,,,,267600000.000,,,,265100000.000,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,462500000.000,462500000.000,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,248000000.000,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,,,10000000.000,10000000.000,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,,,2817900000.000,2833200000.000,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,,,361300000.000,361300000.000,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsMarketableSecurities,,,220500000.000,220500000.000,,,,,,,,,,,,,,,,,,,,
