,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalOther,,,,,9687000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,9120000.000,17960000.000,17067000.000,19417000.000,17839000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,14000.000,-14000.000,,,
AdvertisingExpense,,119800000.000,105200000.000,,72400000.000,117700000.000
AllocatedShareBasedCompensationExpense,,,17960000.000,17067000.000,19417000.000,19159000.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,,1700000.000,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,642000.000,387000.000,305000.000,140000.000
AmortizationOfDebtDiscountPremium,,330000.000,445000.000,577000.000,615000.000,
AmortizationOfFinancingCosts,,,2100000.000,1600000.000,,
AmortizationOfFinancingCostsAndDiscounts,,2510000.000,2529000.000,2201000.000,1803000.000,2438000.000
AmortizationOfIntangibleAssets,,47100000.000,53300000.000,51700000.000,36400000.000,35900000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,4965654.000,,,,
AssetImpairmentCharges,,,,,35000000.000,43110000.000
BusinessCombinationAcquisitionRelatedCosts,,335000.000,50000.000,3590000.000,569000.000,1811000.000
BusinessCombinationConsiderationTransferred1,,,31500000.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,16065000.000,3633000.000,-421000.000,-6481000.000
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentConsiderationTransferred,,,,,,1500000.000
CapitalExpenditureDiscontinuedOperations,,,,,5672000.000,
CapitalizedComputerSoftwareAdditions,,,5900000.000,7300000.000,2800000.000,4600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,27377000.000,146481000.000,-88020000.000,95153000.000,-60524000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,-316000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,256000.000,,
ComprehensiveIncomeNetOfTax,,29684000.000,-9965000.000,4999000.000,-13484000.000,-34359000.000
ConcentrationRiskPercentage1,,,,0.100,,
CostOfRevenue,,146357000.000,151050000.000,322080000.000,171794000.000,227546000.000
CostsAndExpenses,,,,,320528000.000,440178000.000
CurrentFederalTaxExpenseBenefit,,2267000.000,9083000.000,9218000.000,,
CurrentIncomeTaxExpenseBenefit,,4758000.000,10736000.000,8017000.000,,
CurrentStateAndLocalTaxExpenseBenefit,,2491000.000,1653000.000,-1201000.000,,
DeferredFederalIncomeTaxExpenseBenefit,,2407000.000,-13329000.000,-2348000.000,,
DeferredIncomeTaxExpenseBenefit,,2739000.000,-16175000.000,-382000.000,-18296000.000,-2434000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,332000.000,-2846000.000,1966000.000,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,,,1700000.000
Depreciation,,5700000.000,6900000.000,6900000.000,4000000.000,6400000.000
DepreciationAndAmortization,,52854000.000,60127000.000,58628000.000,40466000.000,42247000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,-9114000.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,8566000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,-921000.000,-53644000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,,-0.010,-0.320,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,-0.010,-0.310,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,-14079000.000,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,-17680000.000,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,777000.000,128065000.000,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,361000.000,,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,734000.000,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,231258000.000,
DisposalGroupIncludingDiscontinuedOperationOtherExpense,,,,,103193000.000,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,1747000.000,177614000.000,
EarningsPerShareBasic,,0.290,-0.100,0.050,-0.140,-0.380
EarningsPerShareDiluted,,0.290,-0.100,0.050,-0.130,-0.380
EffectOfExchangeRateOnCashAndCashEquivalents,,171000.000,-19000.000,-96000.000,-138000.000,-97000.000
EntityWideRevenueMajorCustomerPercentage,,0.100,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,14000.000,-14000.000,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,14000.000,-14000.000,,,
FairValueInputsDiscountRate,,,0.160,0.160,0.160,
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,,,100000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,-10100000.000,530000.000,-2500000.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,,20800000.000,11600000.000,1930000.000,3747000.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,,-4626000.000,6000000.000,25297000.000,13247000.000,
GainLossOnDispositionOfAssets,,-47000.000,,,,
GainLossOnDispositionOfAssets1,,,-399000.000,,493000.000,-256000.000
GainLossOnSaleOfBusiness,,,,,8566000.000,
GainsLossesOnExtinguishmentOfDebt,,,-17175000.000,,,
GeneralAndAdministrativeExpense,,37431000.000,56134000.000,67717000.000,62350000.000,79893000.000
GoodwillAcquiredDuringPeriod,,6092000.000,9802000.000,,21772000.000,67893000.000
GoodwillAllocationAdjustment,,559000.000,,,,
GoodwillImpairmentLoss,,0.000,,,,35632000.000
GoodwillPurchaseAccountingAdjustments,,,,-182000.000,,
GrossProfit,,310807000.000,306382000.000,,,
ImpairmentOfLongLivedAssetsHeldForUse,,0.000,0.000,0.000,0.000,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerBasicShare,,0.290,,,,
