,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,8300.000,13323.000,4300.000,17097.000,10897.000,18894.000
AccountsPayableRelatedPartiesCurrent,,,14468.000,,18641.000,14641.000,30568.000,33765.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,30568.000,33765.000
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,8000.000,12000.000
AdditionalPaidInCapital,,,24510.000,24510.000,24510.000,24510.000,24510.000,24510.000
AdditionalPaidInCapitalCommonStock,17385.000,24510.000,,,,,,
Assets,18750.000,6300.000,3191.000,,,,,
AssetsCurrent,18750.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,17850.000,5700.000,3191.000,,,,,
CommonStockParOrStatedValuePerShare,,,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,4915000.000,5290000.000,5290000.000,5290000.000,5290000.000,5290000.000,5290000.000,5290000.000
CommonStockSharesOutstanding,,5290000.000,5290000.000,5290000.000,5290000.000,5290000.000,5290000.000,5290000.000
CommonStockValue,4915.000,5290.000,5290.000,5290.000,5290.000,5290.000,5290.000,5290.000
DueFromOfficersOrStockholders,,,14468.000,,,,,
DueToRelatedPartiesNoncurrent,3417.000,3417.000,,,,,,
Liabilities,3417.000,3417.000,22768.000,13323.000,22941.000,31738.000,41465.000,52659.000
LiabilitiesAndStockholdersEquity,18750.000,6300.000,3191.000,,,,,
OtherAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,1470.000,
PrepaidExpenseCurrent,900.000,600.000,,,,,,
RetainedEarningsAccumulatedDeficit,-6967.000,-26917.000,-49377.000,-43123.000,-52741.000,-61538.000,-71265.000,-82459.000
SharesIssued,,5290000.000,,,,,,
StockholdersEquity,,2883.000,-19577.000,-13323.000,22941.000,-31738.000,-41465.000,-52659.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,15333.000,2883.000,-19577.000,,,,,
