,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AllowanceForDoubtfulAccountsReceivable,,,,2900000.000,,,,-4200000.000,,,,-2300000.000,,,,2400000.000,,,
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,2050000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecurities,,2842000.000,,,,,,,,,17391000.000,19566000.000,33279000.000,25345000.000,29406000.000,58621000.000,85971000.000,29657000.000,11515000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,,,,,8551000.000,11023000.000,26088000.000,18204000.000,22109000.000,48341000.000,71662000.000,17857000.000,454000.000
AvailableForSaleSecuritiesEquitySecurities,,4557000.000,6032000.000,5585000.000,5298000.000,5390000.000,5958000.000,5958000.000,275000.000,8481000.000,8840000.000,8543000.000,7191000.000,7141000.000,7297000.000,10280000.000,14309000.000,11800000.000,11061000.000
AvailableForSaleSecuritiesFairValueDisclosure,,792000.000,1516000.000,988000.000,700000.000,299000.000,271000.000,390000.000,222000.000,14751000.000,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGainLoss,,-2940000.000,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1,,,,-2000.000,-239000.000,-8000.000,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,,,3000.000,-115000.000,53000.000,-6270000.000,,,,,,,,,
BuildingsAndImprovementsGross,,3222174000.000,3257987000.000,3615678000.000,3752831000.000,3972914000.000,4007656000.000,4028089000.000,4151971000.000,4755527000.000,4771874000.000,4854175000.000,4907630000.000,4957038000.000,5018091000.000,4877135000.000,4909684000.000,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,475407000.000,,410146000.000,436398000.000,436398000.000,,173518000.000,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationProperty,,,,409425000.000,,371212000.000,396153000.000,,,162699000.000,,,,,,,,,
ConstructionInProgressGross,,117532000.000,101044000.000,140025000.000,112431000.000,113024000.000,130940000.000,143340000.000,117469000.000,241021000.000,311296000.000,316025000.000,329803000.000,542970000.000,595273000.000,629679000.000,738603000.000,,
ConvertibleDebt,,199706000.000,,,,,,,,,,,,,,,,,
CostMethodInvestments,,,2125000.000,4245000.000,5370000.000,7220000.000,8875000.000,12280000.000,15796000.000,20872000.000,13130000.000,18485000.000,17107000.000,23356000.000,30929000.000,43428000.000,43895000.000,56476000.000,69021000.000
DebtInstrumentBasisSpreadOnVariableRate,,,,,,5.500,5.500,5.500,5.500,5.500,,,,,,,,,
DebtInstrumentCarryingAmount,,619049000.000,,,,,,2170983000.000,2255941000.000,2524960000.000,2560173000.000,2664834000.000,2761337000.000,2841063000.000,2845685000.000,2712900000.000,2758530000.000,2897073000.000,2989014000.000
DebtInstrumentInterestRateEffectivePercentage,,0.013,,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,0.013,,,,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,,,,,,
DebtInstrumentUnamortizedPremium,,4072000.000,,,,,,,,,,,,,,,,,
DeferredCostsAndOtherAssets,,,,,,,,,,4000000.000,3700000.000,4300000.000,4500000.000,4300000.000,4400000.000,5200000.000,5200000.000,5400000.000,5600000.000
DeferredCostsLeasingAccumulatedAmortization,,,173154000.000,,,,,,,,,,,,,,,,
DerivativeFairValueOfDerivativeNet,,-558000.000,13000.000,9000.000,,,,,,,,,972000.000,508000.000,702000.000,,,,
DerivativeFixedInterestRate,,,,,0.000,0.000,0.000,,,,,,,,,,,,
DevelopmentInProcess,,53468000.000,44737000.000,56008000.000,47634000.000,46969000.000,46861000.000,48744000.000,88570000.000,105761000.000,133372000.000,119325000.000,116220000.000,155206000.000,158389000.000,151242000.000,225846000.000,,
EquityMethodInvestmentOwnershipPercentage,,0.978,,,,,,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
EquityMethodInvestmentSummarizedFinancialInformationAssets,,657846000.000,649861000.000,,262623000.000,261365000.000,260239000.000,264004000.000,265797000.000,268177000.000,269269000.000,271909000.000,280502000.000,284400000.000,292805000.000,284663000.000,282676000.000,278650000.000,284044000.000
EquityMethodInvestmentSummarizedFinancialInformationEquityOrCapital,,223385000.000,283739000.000,113409000.000,111101000.000,109506000.000,106509000.000,108761000.000,107613000.000,108384000.000,106607000.000,107839000.000,104969000.000,110052000.000,129344000.000,123587000.000,122150000.000,119563000.000,91676000.000
EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,,657846000.000,649861000.000,,262623000.000,261365000.000,260239000.000,264004000.000,265797000.000,268177000.000,269269000.000,271909000.000,280502000.000,284400000.000,292805000.000,284663000.000,282676000.000,278650000.000,284044000.000
EquityMethodInvestments,,55313000.000,67383000.000,33389000.000,32901000.000,32562000.000,31955000.000,32367000.000,32118000.000,32250000.000,31978000.000,32137000.000,31461000.000,32440000.000,36275000.000,35291000.000,34978000.000,34469000.000,29367000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,19733000.000,180454000.000,190521000.000,200293000.000,212081000.000,224296000.000,243435000.000,261169000.000,274346000.000,284629000.000,296491000.000,307923000.000,320191000.000,332767000.000,345534000.000,355082000.000,364188000.000
FiniteLivedIntangibleAssetsGross,,,,337709000.000,354523000.000,385647000.000,393006000.000,396659000.000,411083000.000,474736000.000,476739000.000,482696000.000,486018000.000,544771000.000,545015000.000,552480000.000,565083000.000,584372000.000,591144000.000
FiniteLivedIntangibleAssetsNet,,,,157255000.000,164002000.000,185354000.000,180925000.000,172363000.000,167648000.000,213567000.000,202393000.000,198067000.000,189527000.000,236848000.000,224824000.000,219713000.000,219549000.000,229290000.000,226956000.000
FiveYearScheduleOfMaturitiesOfParentCompanyRepaymentOfPrincipleInYearThree,,,,,,,,124482000.000,221482000.000,249006000.000,30006000.000,566516000.000,566516000.000,604293000.000,629632000.000,,,,
FiveYearScheduleOfMaturitiesOfParentCompanyRepaymentsOfPrincipalAfterYearFive,,,,,,,,722471000.000,722471000.000,809819000.000,1179819000.000,764153000.000,764153000.000,1201525000.000,1117203000.000,,,,
FiveYearScheduleOfMaturitiesOfParentCompanyRepaymentsOfPrincipleInYearFive,,,,,,,,432794000.000,422824000.000,425970000.000,435520000.000,523663000.000,621663000.000,552804000.000,626804000.000,,,,
FiveYearScheduleOfMaturitiesOfParentCompanyRepaymentsOfPrincipleInYearFour,,,,,,,,543784000.000,543784000.000,612416000.000,566516000.000,439080000.000,440360000.000,446412000.000,438182000.000,,,,
FiveYearScheduleOfMaturitiesOfParentCompanyRepaymentsOfPrincipleInYearTwo,,,,,,,,339088000.000,339088000.000,362415000.000,341415000.000,30006000.000,30006000.000,31784000.000,31784000.000,,,,
FiveYearScheduleOfMaturitiesOfParentCompanyRepaymentsOfPrincipleWithinOneYear,,,,,,,,8364000.000,6292000.000,65334000.000,6897000.000,341416000.000,338639000.000,4245000.000,2080000.000,,,,
Land,,587277000.000,595745000.000,591009000.000,610752000.000,699268000.000,704825000.000,702993000.000,711431000.000,718662000.000,692633000.000,713955000.000,717328000.000,706887000.000,701977000.000,704958000.000,643041000.000,,
LineOfCredit,,121200000.000,,,,,,,,,,,,,,,,,
LongTermDebt,,1589273000.000,1664718000.000,1681425000.000,1810860000.000,,2140668000.000,2169285000.000,2254273000.000,2531880000.000,2566809000.000,2671193000.000,2767391000.000,2848386000.000,2852669000.000,2719664000.000,2765081000.000,2903415000.000,2995169000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,,,,,,,,,,,615802000.000,615802000.000,615801000.000,615801000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,,,,,,,,,,127320000.000,28977000.000,5326000.000,2620000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,,,,,,,,,,,,405724000.000,405724000.000,405724000.000,405724000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,,,,,,,,,,,481804000.000,623804000.000,766804000.000,860804000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,,,,,,,,,,431632000.000,423932000.000,433162000.000,427432000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,,,,,,,,,650618000.000,660291000.000,670256000.000,676633000.000
MarketableSecuritiesEquitySecurities,,,3641000.000,5233000.000,6070000.000,7519000.000,9146000.000,12670000.000,16018000.000,35623000.000,30521000.000,38051000.000,50386000.000,48701000.000,60335000.000,102049000.000,129866000.000,86133000.000,80536000.000
MinorityInterestOwnershipPercentageByNoncontrollingOwners,,,,,,,,,0.017,0.027,0.027,0.027,0.027,0.027,0.026,0.026,0.025,0.025,0.025
NotionalAmountOfDerivatives,,150000000.000,150000000.000,150000000.000,200000000.000,200000000.000,,,,,,,,,,,,,
