,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31
AccountsReceivableRelatedParties,,,,,,,,,,,,,,,62695.000,62695.000,,,,
AccruedLiabilitiesCurrentAndNoncurrent,6699.000,4820.000,6176.000,8326.000,9414.000,3038.000,9992.000,18807.000,30800.000,32231.000,86096.000,84962.000,85049.000,84717.000,85362.000,86132.000,84646.000,84731.000,84246.000,23201.000
AdditionalPaidInCapital,20000.000,20000.000,20000.000,20000.000,20000.000,169925.000,729645.000,785318.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000,2984953.000
Assets,,,,0.000,,50489.000,686816.000,63268.000,63238.000,63208.000,62955.000,62719.000,62695.000,62695.000,62695.000,62695.000,62695.000,62695.000,62695.000,
CashAndCashEquivalentsAtCarryingValue,,,,,,50489.000,2653.000,573.000,543.000,513.000,260.000,24.000,0.000,,,,,,,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,100000.000,,,,,,,,,,,,,,
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5075000.000,5355000.000,5382850.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000
CommonStockSharesOutstanding,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5075000.000,5355000.000,5382850.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000
CommonStockValue,5000.000,5000.000,5000.000,5000.000,5000.000,5075.000,5355.000,5382.000,6483.000,6483.000,6483.000,6483218.000,6483.000,6483.000,6483.000,6483.000,6483.000,6483.000,6483.000,6483.000
CumulativeEarningsDeficit,,,,,,,,,,,,,,,,,-3026011.000,-3027836.000,-3029061.000,-3031161.000
DeferredCostsAndOtherAssets,,,,,,,,,,,,,,62695.000,,,,,,
DeferredCostsCurrent,,,,,,,,,,,,62695.000,62695.000,,,,,,,
DeferredCostsCurrentAndNoncurrent,,,,,,,,62695.000,62695.000,62695.000,62695.000,,,,,,,,,
