,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,702000.000
AdvertisingRevenueCost,10488000.000
AllocatedShareBasedCompensationExpense,700000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,7328000.000
AllowanceForLoanAndLeaseLossesForeignCurrencyTranslation,122000.000
AllowanceForLoanAndLeaseLossesWriteOffs,99256000.000
AmortizationOfDebtDiscountPremium,735000.000
AmortizationOfFinancingCosts,70000.000
AmortizationOfIntangibleAssets,45000.000
BasicEarningsPerShareProForma,0.060
CapitalExpendituresIncurredButNotYetPaid,884000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,43657000.000
ComprehensiveIncomeNetOfTax,1591000.000
CostOfRevenue,97389000.000
CurrentFederalStateAndLocalTaxExpenseBenefit,378000.000
CurrentFederalTaxExpenseBenefit,143000.000
CurrentStateAndLocalTaxExpenseBenefit,235000.000
DeferredFederalIncomeTaxExpenseBenefit,1276000.000
DeferredIncomeTaxExpenseBenefit,759000.000
DeferredIncomeTaxesAndTaxCredits,759000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,173000.000
DepreciationAndAmortization,2608000.000
DilutedEarningsPerShareProForma,0.060
EarningsPerShareBasic,0.130
EarningsPerShareDiluted,0.060
EffectOfExchangeRateOnCashAndCashEquivalents,73000.000
EffectiveIncomeTaxRateContinuingOperations,0.460
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350
ForeignCurrencyTransactionGainLossBeforeTax,568000.000
ForeignCurrencyTransactionGainLossUnrealized,568000.000
GrossProfit,58978000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2805000.000
IncomeTaxExpenseBenefit,1137000.000
IncomeTaxesPaidNet,13000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1766000.000
IncreaseDecreaseInAccruedInterestReceivableNet,17725000.000
IncreaseDecreaseInAccruedTaxesPayable,189000.000
IncreaseDecreaseInDeferredIncomeTaxes,0.000
IncreaseDecreaseInDeferredRevenue,-5330000.000
IncreaseDecreaseInDepositOtherAssets,0.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,262000.000
IncreaseDecreaseInRestrictedCash,-95000.000
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,0.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,14098519.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,1498279.000
InterestExpense,19246000.000
InterestOnConvertibleDebtNetOfTax,0.000
InterestPaid,18699000.000
LaborAndRelatedExpense,20528000.000
LeaseAndRentalExpense,3257000.000
NetCashProvidedByUsedInFinancingActivities,19635000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,19635000.000
NetCashProvidedByUsedInInvestingActivities,-48252000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-48252000.000
NetCashProvidedByUsedInOperatingActivities,72201000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,72201000.000
NetIncomeLoss,1668000.000
NetIncomeLossAttributableToParentDiluted,1668000.000
NonoperatingIncomeExpense,-133000.000
OperatingExpenses,37362000.000
OperatingIncomeLoss,21616000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-77000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-77000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-77000.000
OtherCostOfOperatingRevenue,4108000.000
OtherGeneralExpense,915000.000
OtherNoncashExpense,133000.000
OtherSalesRevenueNet,515000.000
PaymentsOfStockIssuanceCosts,187000.000
PaymentsToAcquirePropertyPlantAndEquipment,3093000.000
ProFormaWeightedAverageSharesOutstandingDiluted,28735749.000
ProceedsFromIssuanceOfLongTermDebt,19500000.000
ProceedsFromStockOptionsExercised,765000.000
ProfessionalFees,7576000.000
ProvisionForLoanAndLeaseLosses,82793000.000
RepaymentsOfLongTermCapitalLeaseObligations,21000.000
Revenues,156367000.000
SalesRevenueNet,156367000.000
SellingAndMarketingExpense,2478000.000
ShareBasedCompensation,702000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,2500000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,17471.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,111177.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,2.880
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,2.140
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,5.440
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,8.080
StockIssuedDuringPeriodSharesStockOptionsExercised,419915.000
StockIssuedDuringPeriodValueStockOptionsExercised,-2000.000
WeightedAverageBasicSharesOutstandingProForma,27237470.000
WeightedAverageNumberBasicSharesOutstandingAdjustmentProForma,14098519.000
WeightedAverageNumberOfDilutedSharesOutstanding,28735749.000
WeightedAverageNumberOfSharesOutstandingBasic,13138951.000
