,2013-02-28,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AdjustmentForAmortization,,,,,,,,,,,219950.000,263940.000,,266649.000,265101.000,265880.000,265444.000
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,-755200.000,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,112641.000,,,,423988.000,,,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,-266649.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-213712.000,,,,-943389.000,,,,-13699.000,,,,-409661.000,,,
CostOfGoodsSold,,3543.000,6440.000,4870.000,,,,,,,,,,,,,
CostOfRevenue,,,,,,,206.000,140183.000,,128471.000,8464.000,9134.000,27185.000,6543.000,44874.000,42343.000,50720.000
CostsAndExpenses,,1058675.000,977419.000,,,,,,,,,,,,,,
DebtConversionConvertedInstrumentAmount1,,,,,,,,,,1075000.000,,,,,,,
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,,,,,,,,1801520.000,,,
DebtIssuanceCosts,,,,,,,,362069.000,,89490.000,542760.000,,,,,,
DeferredIncomeTaxExpenseBenefit,,368890.000,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,107.000,102.000,,1025.000,1407.000,3341.000,2090.000
DepreciationDepletionAndAmortization,,,,,,58.000,61.000,57.000,55.000,91.000,,,,1025.000,,,
DerivativeGainOnDerivative,,,,,,0.000,,,,,,,,,,,
EarningsPerShareBasic,,0.050,-0.010,0.000,,-0.010,-0.010,-0.010,-0.010,0.010,-0.110,-0.070,-0.150,-0.060,,,
EarningsPerShareBasicAndDiluted,0.000,,,,,,,,,,,,,,-0.060,-0.010,
EarningsPerShareDiluted,,0.040,-0.010,0.000,,-0.010,-0.010,-0.010,-0.010,0.010,-0.110,-0.070,-0.150,-0.060,,,
EffectiveIncomeTaxRateContinuingOperations,,0.000,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.070,,,,,,,,,,,,,,,
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,,,,-417891.000,,,,-801639.000,,,,,,,
FairValueAdjustmentOfWarrants,,-8181735.000,,,,-945065.000,,,,-801639.000,-38698.000,289881.000,340461.000,172260.000,123928.000,108950.000,122691.000
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,,,,1.910,,,
FinitelivedIntangibleAssetsAcquired1,,,,,,,,,,,,,,9163.000,,,
GeneralAndAdministrativeExpense,249.000,35136.000,166527.000,15266.000,1115071.000,320177.000,399857.000,300435.000,374005.000,352133.000,414728.000,497826.000,372352.000,400516.000,400834.000,357671.000,342334.000
GrossProfit,,2217.000,19060.000,1005.000,-11302.000,,77769.000,388663.000,,629688.000,43758.000,92403.000,42857.000,93525.000,62124.000,22787.000,33493.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,5170235.000,-1228606.000,280499.000,-6863601.000,-727011.000,-897967.000,-1355598.000,-1644168.000,166648.000,-2055659.000,-1779583.000,-3232979.000,-1783271.000,-2521734.000,-516228.000,-1475098.000
IncreaseDecreaseInAccountsPayable,,166911.000,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,242098.000,,,,162056.000,,,,230946.000,,,
IncreaseDecreaseInAccountsReceivable,,-5760.000,,,,,,,,-7520.000,,,,-24838.000,,,
IncreaseDecreaseInAccruedLiabilities,,-46015.000,,,,,,,,,,,,,,,
IncreaseDecreaseInDerivativeLiabilities,,-8181735.000,155297.000,-1368583.000,3076408.000,-945065.000,-1187810.000,485051.000,956081.000,,,,,,,,
IncreaseDecreaseInNotesReceivables,,,,,,,,,,,,,,-155000.000,,,
IncreaseDecreaseInPrepaidExpense,,-4460.000,,,,233686.000,,,,43070.000,,,,-3878.000,,,
InterestExpense,,7846.000,20248.000,25938.000,56579.000,63900.000,85066.000,105007.000,113922.000,153985.000,194402.000,268222.000,277858.000,287053.000,235239.000,272402.000,283842.000
InterestPaid,,,,,,19607.000,,,,49885.000,,,,5000.000,,,
LegalFees,,41287.000,28210.000,46882.000,,,,,,,,,,,,,
MarketingAndAdvertisingExpense,,110774.000,,172027.000,,283434.000,608291.000,104383.000,102946.000,,,,,,,,
MarketingExpense,,110774.000,155658.000,172027.000,146813.000,283434.000,608291.000,104383.000,102946.000,102785.000,103463.000,26152.000,3683.000,10372.000,6972.000,3251.000,-2766.000
NetCashProvidedByUsedInFinancingActivities,,501000.000,,,,317748.000,,,,486179.000,,,,70848.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,501000.000,,,,317748.000,,,,486179.000,,,,70848.000,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,-1679.000,,,,,,,,-9168.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,-1679.000,,,,,,,,-9168.000,,,
NetCashProvidedByUsedInOperatingActivities,,-714712.000,,,,-1259458.000,,,,-499878.000,,,,-471341.000,,,
