,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AdvertisingExpense,,,,,,56044.000,,,,30185.000,,,,76715.000
AllocatedShareBasedCompensationExpense,,,,,,42208.000,,,,585.000,,,,0.000
AmortizationOfIntangibleAssets,,,,,,102560.000,,,,65161.000,,,,57548.000
AssetImpairmentCharges,,,,,,,,6586425.000,,,,0.000,,0.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,499079.000,,,,0.000,,,,,,,,
CashAcquiredFromAcquisition,,20272.000,,,,0.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-1506458.000,,,,4059182.000,,,,609396.000,,,,-184007.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,0.000,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,0.000,,,,,,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,0.000,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,8427396.000,6245625.000,2143292.000,4303483.000,4222710.000,3401903.000,-3026519.000,-15090971.000,-9943022.000,-10863527.000,-2966139.000,-1922501.000,-2986302.000,-3856781.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,47881.000,-292.000,-3559.000,4157.000,4161.000,-10249.000,384.000,92.000,353.000,81.000,64.000,335.000,-1263.000,-756.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,8475277.000,6245333.000,2139733.000,4307640.000,4226871.000,3391654.000,-3026135.000,-15090879.000,-9942669.000,-10863446.000,-2966075.000,-1922166.000,-2987565.000,-3857537.000
ConvertiblePreferredDividendsNetOfTax,,,,,,,,,,0.000,,,,0.000
CostOfGoodsSold,73108061.000,50319668.000,45334604.000,46256954.000,67414219.000,68363540.000,57999849.000,64342240.000,36544384.000,20882140.000,15364542.000,35067741.000,37100209.000,30459475.000
CostOfGoodsSoldDepletion,,,,,,,,,,,,,,0.000
CostOfGoodsSoldDirectMaterials,,,,,,,,,,,,,,30459475.000
CurrentFederalTaxExpenseBenefit,,,,,,0.000,,,,0.000,,,,0.000
CurrentForeignTaxExpenseBenefit,,,,,,340433.000,,,,83249.000,,,,56448.000
CurrentIncomeTaxExpenseBenefit,,,,,,340433.000,,,,83249.000,,,,56448.000
DeferredFederalIncomeTaxExpenseBenefit,,,,,,0.000,,,,0.000,,,,0.000
DeferredForeignIncomeTaxExpenseBenefit,,,,,,0.000,,,,0.000,,,,0.000
DeferredIncomeTaxExpenseBenefit,,30327.000,,,,0.000,,,,,,,,
Depreciation,,,,,,496855.000,,,,537485.000,,,,475699.000
DepreciationDepletionAndAmortization,,595270.000,-564438.000,-641806.000,2908056.000,599415.000,596307.000,570509.000,599989.000,602646.000,546951.000,444618.000,579834.000,532589.000
DividendsPreferredStock,,,,,,116055.000,,,,,,,,
EarningsPerShareBasic,0.720,,,,,0.290,-0.380,-1.430,-1.000,-0.870,,,,-0.230
EarningsPerShareDiluted,0.610,,,,,0.250,-0.380,-1.430,-0.960,-0.870,,,,-0.230
EffectOfExchangeRateOnCashAndCashEquivalents,,23348.000,,,,7961.000,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,,,,-37473.000,,,,940.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,0.096,,,,0.009,,,,0.024
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,0.340,,,,0.340,,,,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,0.074,,,,-0.002,,,,0.046
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,,,-0.013,,,,0.000,,,,0.002
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,0.001,,,,0.001,,,,-0.035
EffectiveIncomeTaxRateReconciliationTaxExemptIncome,,,,,,0.288,,,,0.330,,,,-0.329
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,14351.000,,,,199.000,,,,0.000
GeneralAndAdministrativeExpense,1933506.000,-1858774.000,-2106397.000,-2311508.000,15895715.000,1882867.000,3021371.000,4980266.000,3311033.000,2678029.000,2010234.000,1562640.000,1217757.000,1125862.000
GrossProfit,13517691.000,12419801.000,10502406.000,10215370.000,11583076.000,8804174.000,5610252.000,3997128.000,-3789637.000,-5308820.000,1598346.000,2752255.000,2220807.000,1748572.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,,,,6500368.000,,,,5784625.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,720732.000,,,,772788.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,,,,,,,,,,,,,-2391379.000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,21434.000,19435.000,3826.000,1904.000,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,7441729.000,6497995.000,3991909.000,3777903.000,3906526.000,3555921.000,-3768964.000,-15055263.000,-9258751.000,-9232809.000,-2785917.000,-2136833.000,-2282066.000,-2334931.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,6296701.000,2902507.000,3593418.000,3616193.000,3215488.000,-3954084.000,-15109764.000,-10495577.000,-9316058.000,-2866527.000,-2325414.000,-2430888.000,-2391379.000
IncomeLossFromContinuingOperationsPerBasicShare,,0.590,0.270,0.330,0.320,,,,,,-0.260,-0.220,,-0.230
IncomeLossFromContinuingOperationsPerDilutedShare,,0.500,0.230,0.280,0.290,,,,,,-0.260,-0.220,,-0.230
IncomeLossFromDiscontinuedOperationsNetOfTax,,0.000,0.000,0.000,0.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,0.000,0.000,0.000,0.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,0.000,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.000,0.000,0.000,0.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.000,0.000,0.000,0.000,,,,,,,,,
IncomeTaxExpenseBenefit,-444776.000,201294.000,1089402.000,184485.000,290333.000,340433.000,185120.000,54501.000,24396.000,83249.000,100610.000,188581.000,128822.000,56448.000
IncomeTaxesPaid,,0.000,,,,215166.000,,,,55306.000,,,,74425.000
IncreaseDecreaseInAccountsPayable,,602144.000,,,,-1639659.000,,,,-3801786.000,,,,1542749.000
IncreaseDecreaseInAccountsReceivable,,-8368802.000,,,,-7511752.000,,,,-2889940.000,,,,-2600.000
IncreaseDecreaseInAccountsReceivableRelatedParties,,-539894.000,,,,-235390.000,,,,0.000,,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,511846.000,,,,-476135.000,,,,-99669.000,,,,111798.000
IncreaseDecreaseInCustomerAdvances,,-6298935.000,,,,3239176.000,,,,-2094.000,,,,0.000
IncreaseDecreaseInInventories,,9326178.000,,,,-5576393.000,,,,-9101545.000,,,,-381722.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,,,,2092173.000,,,,0.000,,,,0.000
InterestExpense,269725.000,484544.000,445495.000,330771.000,216494.000,175704.000,227577.000,190183.000,196974.000,195653.000,195029.000,200978.000,191900.000,187971.000
InterestPaid,,332094.000,,,,182471.000,,,,105272.000,,,,100103.000
InterestRevenueExpenseNet,,,-439356.000,-323529.000,,-167604.000,-222005.000,-170707.000,-194929.000,-194572.000,-194151.000,-198421.000,-190153.000,-185578.000
InvestmentIncomeInterest,31465.000,11538.000,6138.000,7242.000,12928.000,8100.000,5572.000,19476.000,2045.000,1080.000,879.000,2557.000,1747.000,2393.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,-57200.000,,,,0.000,,,,
LossContingencyDamagesSoughtValue,,,,,,250000.000,,,,,,,,
NetCashProvidedByUsedInContinuingOperations,,-1506458.000,,,,,,,,,,,,
NetCashProvidedByUsedInDiscontinuedOperations,,0.000,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,-209713.000,,,,-4999202.000,,,,55715.000,,,,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-209713.000,,,,-4999202.000,,,,55715.000,,,,0.000
NetCashProvidedByUsedInInvestingActivities,,-5266240.000,,,,-54586.000,,,,0.000,,,,-19539.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-5266240.000,,,,-54586.000,,,,0.000,,,,-19539.000
NetCashProvidedByUsedInOperatingActivities,,3946147.000,,,,9105009.000,,,,591154.000,,,,-165408.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,3946147.000,,,,9105009.000,,,,591154.000,,,,-165408.000
NetIncomeLoss,7641099.000,6318135.000,2921942.000,3597244.000,3618097.000,3219107.000,-3953899.000,-15109570.000,-10495415.000,-9315899.000,-2886379.000,-2325117.000,-2410453.000,-2391343.000
NetIncomeLossAttributableToNoncontrollingInterest,245406.000,21434.000,19435.000,3826.000,1904.000,-3619.000,-185.000,-194.000,-162.000,-159.000,-148.000,-297.000,-435.000,-36.000
