,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,496000.000,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,,359000.000,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,496000.000,496000.000,526000.000,3018000.000,2616000.000,1973000.000,1896000.000,1582000.000,2550000.000,1552000.000,2147000.000,1986000.000,2069000.000,2193000.000,3799000.000
AmortizationOfIntangibleAssets,,,,,,4200000.000,3016000.000,4221000.000,5844000.000,6419000.000,6146000.000,6049000.000,5938000.000,5983000.000,6005000.000,7286000.000,7720000.000,7403000.000,7486000.000,9166000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,0.000,,,,,,
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,900000.000,900000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,,,100000.000,,,,,,,,,
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,,,,,,,,,,,,,,,,,,40000.000,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,-1.150,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,-1.150,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,-49924000.000,,-5065000.000,,-26149000.000,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,55557000.000,,77239000.000,,85968000.000,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,34500000.000,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,4900000.000,,
CapitalizedComputerSoftwareAmortization,,,,,,,400000.000,300000.000,,600000.000,900000.000,900000.000,,600000.000,1000000.000,900000.000,,,,
CapitalizedComputerSoftwareAmortization1,,,,,,,,,,,,,,,,,,1100000.000,3100000.000,1800000.000
CashAcquiredFromAcquisition,,,,,,22136000.000,,,,0.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,133163000.000,,,,-8243000.000,,,,79642000.000,,,,-4370000.000,,
CashPeriodIncreaseDecrease,,-166378.000,,,,,,,,,,,,,,,,,,
