,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,,,20344000.000,,5802000.000,5878000.000,13894000.000,,1406000.000,1468000.000,404000.000,,6469000.000
AccountsPayableAndAccruedLiabilitiesCurrent,54766000.000,52273000.000,56723000.000,53571000.000,65431000.000,50833000.000,62474000.000,79495000.000,69697000.000,70888000.000,56944000.000,56773000.000,56039000.000,38377000.000,39327000.000,48635000.000,38298000.000,37441000.000,41597000.000,51977000.000,55491000.000,39223000.000
AccountsPayableCurrent,,,,,,,,,41528000.000,,,,23256000.000,,,,16529000.000,,,,24926000.000,
AccountsReceivableNetCurrent,17728000.000,16143000.000,17004000.000,10916000.000,5485000.000,8216000.000,27528000.000,9095000.000,9953000.000,14039000.000,13170000.000,,10481000.000,,,,1636000.000,,,,5236000.000,
AccruedBonusesCurrent,,,,,3945000.000,,,,7455000.000,,,,9664000.000,,,,11551000.000,,,,22210000.000,
AccruedIncomeTaxesCurrent,,,,,1231000.000,,,,1046000.000,,,,2158000.000,,,,1375000.000,,,,,
AccruedRentCurrent,,,,,4113000.000,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,50108000.000,,,,50899000.000,,,,74092000.000,,,,69108000.000,,,,75593000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,639000.000,67000.000,142000.000,-599000.000,-1301000.000,-5333000.000,-6874000.000,-4200000.000,-5344000.000,-4537000.000,-2817000.000,-7487000.000,-11879000.000,-14237000.000,2016000.000,570000.000,1004000.000,960000.000,-766000.000,-1044000.000,-2312000.000,-1573000.000
AdditionalPaidInCapitalCommonStock,103359000.000,87215000.000,86152000.000,115707000.000,171390000.000,182980000.000,199104000.000,242039000.000,245426000.000,254270000.000,256508000.000,260231000.000,273708000.000,281868000.000,278517000.000,273313000.000,267369000.000,267741000.000,268112000.000,365193000.000,389917000.000,390054000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,6800000.000,,,,6800000.000,
Assets,1249897000.000,1233848000.000,1487133000.000,1629210000.000,2065170000.000,2054846000.000,2165238000.000,2334487000.000,2223947000.000,2340298000.000,2375950000.000,2384409000.000,2387427000.000,1738063000.000,1522322000.000,1405165000.000,1230483000.000,1137919000.000,1157335000.000,1194853000.000,1039024000.000,643550000.000
AssetsCurrent,1052117000.000,1038659000.000,1259017000.000,1380120000.000,1493220000.000,1489617000.000,1589053000.000,1710450000.000,1593291000.000,1678625000.000,1716780000.000,1721929000.000,1734047000.000,1635945000.000,1405546000.000,1297994000.000,1130017000.000,1043963000.000,1074389000.000,1116781000.000,968751000.000,597495000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,2900000.000,,,,19200000.000,,,,4400000.000,728490000.000,441774000.000,357894000.000,233937000.000,200971000.000,199730000.000,169608000.000,97103000.000,64607000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,728490000.000,441774000.000,357894000.000,233937000.000,200971000.000,199730000.000,169608000.000,97103000.000,64607000.000
CapitalizedComputerSoftwareGross,,,,,31476000.000,,,,,,,,,,,,,,,,,
CapitalizedComputerSoftwareNet,,,,,20300000.000,,,,26000000.000,,,,28900000.000,,,,24700000.000,,,,23900000.000,
CashAndCashEquivalentsAtCarryingValue,179539000.000,177582000.000,184721000.000,221312000.000,272332000.000,273384000.000,373745000.000,421945000.000,365245000.000,357905000.000,348763000.000,326730000.000,338814000.000,215727000.000,216954000.000,186369000.000,203854000.000,208093000.000,208707000.000,220211000.000,200914000.000,144100000.000
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,,,,,,,,,,,,,,284145000.000,260891000.000,209791000.000,214640000.000,218881000.000,222178000.000,233472000.000,210292000.000,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,21.240,21.240,,,,,,,,
ConvertibleLongTermNotesPayable,,,,,,,143789000.000,145043000.000,146303000.000,147598000.000,148900000.000,150236000.000,151578000.000,152955000.000,154338000.000,155758000.000,157185000.000,156021000.000,157795000.000,159606000.000,161425000.000,163283000.000
CostMethodInvestments,,,,,,,,,,,,,,,,,,,,,1103000.000,
DebtInstrumentFaceAmount,,,,,,,1000.000,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,0.022,,,0.022,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,28711000.000,27457000.000,,,,,,,,,,,,,,
DeferredFinanceCostsGross,,,,,,,,,,,,,,21000000.000,21000000.000,,,,,,,
DeferredFinanceCostsNoncurrentNet,,,,,,,,,7131000.000,,,,5582000.000,,,,3396000.000,,,,,
DeferredIncomeTaxLiabilities,,,,,19451000.000,,,,14181000.000,,,,22823000.000,,,,1503000.000,,,,1010000.000,
DeferredTaxAssetsDerivativeInstruments,,,,,,,,,,,,,,,,,3067000.000,,,,0.000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,1516000.000,,,,838000.000,,,,,,,,,
DeferredTaxAssetsGross,,,,,136662000.000,,,,214268000.000,,,,229313000.000,,,,408388000.000,,,,323326000.000,
DeferredTaxAssetsInvestments,,,,,118327000.000,,,,178941000.000,,,,179297000.000,,,,277775000.000,,,,190844000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,108368000.000,,,,174799000.000,,,,186786000.000,,,,,,,,115000.000,
DeferredTaxAssetsNet,,,,,127819000.000,,,,188980000.000,,,,209609000.000,,,,798000.000,,,,1125000.000,
DeferredTaxAssetsNetCurrent,7054000.000,8017000.000,6982000.000,6241000.000,10598000.000,10587000.000,9838000.000,11211000.000,11910000.000,9834000.000,7850000.000,5215000.000,9923000.000,1000.000,0.000,0.000,0.000,,,,,
DeferredTaxAssetsNetNoncurrent,86872000.000,83474000.000,88556000.000,109674000.000,117221000.000,123305000.000,134768000.000,157289000.000,166576000.000,170445000.000,171266000.000,174309000.000,179698000.000,1816000.000,1172000.000,0.000,14000.000,14000.000,15000.000,15000.000,330000.000,429000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,7761000.000,,,,25631000.000,,,,40346000.000,,,,120580000.000,,,,125898000.000,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,2083000.000,,,,4265000.000,,,,5380000.000,,,,,,,,,
DeferredTaxAssetsOther,,,,,140000.000,,,,577000.000,,,,417000.000,,,,491000.000,,,,1072000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,4009000.000,,,,2279000.000,,,,1960000.000,,,,747000.000,,,,0.000,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,,,,,,,,,,,,,,5090000.000,,,,4539000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,1259000.000,,,,1059000.000,,,,983000.000,,,,336000.000,,,,294000.000,
DeferredTaxAssetsValuationAllowance,,,,,8843000.000,,,,25288000.000,,,,19704000.000,346700000.000,57300000.000,,407590000.000,,,,322201000.000,
DeferredTaxLiabilities,,,,,,,,,,,,,,,,,705000.000,,,,,
