,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31
AccountsPayableCurrent,47382.000,56088.000,36550.000,52070.000,77618.000,76833.000,75272.000,87928.000,96916.000,116448.000,134153.000,153601.000
AccountsPayableRelatedPartiesCurrent,,,,,,,102300.000,,,,,
AccountsReceivableNetCurrent,,25000.000,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,10391.000
AdditionalPaidInCapital,1178885.000,1247637.000,4571366.000,1598661.000,1600136.000,1716222.000,1775015.000,1926015.000,1993181.000,2006681.000,2014131.000,2141582.000
AssetRetirementObligation,,,,,,,,,,,,109495.000
AssetRetirementObligationsNoncurrent,56328.000,56328.000,56328.000,0.000,,,,,,,,
Assets,790389.000,808903.000,4053538.000,402819.000,368457.000,366605.000,368057.000,365833.000,365212.000,367326.000,797074.000,527569.000
AssetsCurrent,10938.000,29451.000,600.000,38880.000,4518.000,2666.000,4118.000,1894.000,1273.000,3387.000,1844.000,2759.000
CashAndCashEquivalentsAtCarryingValue,10938.000,4451.000,600.000,38880.000,4518.000,2666.000,4118.000,1894.000,1273.000,3387.000,1844.000,59.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,150000000.000,,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,62114677.000,63363385.000,88119820.000,88527224.000,,93941164.000,96243130.000,98243130.000,99141334.000,99141334.000,99690255.000,103190255.000
CommonStockValue,62115.000,63363.000,88120.000,88527.000,88552.000,93941.000,96243.000,98243.000,99141.000,99141.000,99690.000,103190.000
ConvertibleNotesPayableCurrent,,,,32500.000,,,,,,,,
DebtInstrumentConvertibleConversionPrice1,,,,,0.017,0.017,,,,,,
DeferredTaxAssetsNet,,,,0.000,,,,0.000,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,354804.000,,,,650000.000,,,,870682.000
DeferredTaxAssetsValuationAllowance,,,,,,,,650000.000,,,,870682.000
DerivativeLiabilitiesCurrent,,,,,60284.000,17321.000,,,,,,
DueToAffiliateCurrent,,,,,,,21300.000,,37425.000,37425.000,52425.000,36300.000
DueToRelatedPartiesCurrent,,,,,,,81000.000,,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,,,,,,,,6300.000
InterestPayableCurrent,,,,,,,,,,,3174.000,5019.000
Liabilities,,,,,,,,,,,710396.000,843575.000
LiabilitiesAndStockholdersEquity,790389.000,808903.000,4053538.000,402819.000,368457.000,366605.000,368057.000,365833.000,365212.000,367326.000,797074.000,527569.000
LiabilitiesCurrent,47382.000,56088.000,36550.000,134848.000,204152.000,164142.000,238698.000,260292.000,227515.000,247047.000,418425.000,447722.000
LiabilitiesNoncurrent,56328.000,56328.000,56328.000,0.000,,,,,,,291971.000,395853.000
LongTermDebtCurrent,,,,,,,,,,,24321.000,20318.000
LongTermDebtNoncurrent,,,,,,,,,,,291971.000,286358.000
NotesPayableCurrent,,,,75778.000,59250.000,35988.000,61126.000,32500.000,0.000,0.000,0.000,61934.000
NotesPayableRelatedPartiesClassifiedCurrent,0.000,0.000,0.000,0.000,,,,25564.000,3174.000,3174.000,64352.000,36300.000
OilAndGasPropertyFullCostMethodGross,,,,,,,,,,,,535201.000
OilAndGasPropertyFullCostMethodNet,779452.000,779452.000,4052938.000,363939.000,363939.000,363939.000,363939.000,363939.000,363939.000,363939.000,795230.000,524810.000
OperatingLossCarryforwards,,,,,,,,2000000.000,,,,2560828.000
OtherAssetsCurrent,,,,,,,,,,,,2700.000
OtherLiabilitiesCurrent,,,,,,,,,,,50000.000,
PreferredStockParOrStatedValuePerShare,,,,,,,,,,,0.001,0.001
PreferredStockSharesAuthorized,,,,,,,,,,,10000000.000,10000000.000
PreferredStockValue,,,,,,,,,,,,50.000
ReceivablesChangeInMethodOfCalculatingImpairmentRecordedInvestment,,,-3512.000,,,,,,,,,
RetainedEarningsAccumulatedDeficit,-554320.000,-614513.000,-698826.000,-1419217.000,-1524383.000,-1607700.000,-1741899.000,-1918717.000,-1954625.000,-1985543.000,-2027143.000,-2560828.000
StockholdersEquity,686680.000,696487.000,3960660.000,267971.000,164305.000,202463.000,129359.000,105541.000,137697.000,120279.000,86678.000,-316006.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,86678.000,-316006.000
ValuationAllowanceAmount,,,,-354804.000,,,,,,,,
