,2015-07-31
AccountsPayableAndAccruedLiabilitiesCurrent,5121.000
AdditionalPaidInCapital,15840.000
Assets,5320.000
AssetsCurrent,5320.000
CashAndCashEquivalentsAtCarryingValue,5320.000
CommonStockParOrStatedValuePerShare,0.000
CommonStockSharesAuthorized,100000000.000
CommonStockSharesIssued,16000000.000
CommonStockSharesOutstanding,16000000.000
CommonStockValue,160.000
LiabilitiesAndStockholdersEquity,5320.000
LiabilitiesCurrent,5121.000
PreferredStockParOrStatedValuePerShare,0.000
PreferredStockSharesAuthorized,100000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
RetainedEarningsAccumulatedDeficit,-15801.000
StockholdersEquity,199.000
