,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,9508000.000,10258000.000,4063000.000,3142000.000,3033000.000,2998000.000,4116000.000,4126000.000,6906000.000,10502000.000,6471000.000,6726000.000,8205000.000,6598000.000,4536000.000,4011000.000,7004000.000,7643000.000,7288000.000,7856000.000,5087000.000,4619000.000,6417000.000,4163000.000
AccountsReceivableNetCurrent,19195000.000,17900000.000,5426000.000,5710000.000,6056000.000,5944000.000,4936000.000,6689000.000,12881000.000,21369000.000,12357000.000,15851000.000,16913000.000,11925000.000,7132000.000,11845000.000,14452000.000,17130000.000,12626000.000,16361000.000,10885000.000,13639000.000,11212000.000,12075000.000
AccruedIncomeTaxesCurrent,3053000.000,,,,,,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,4278000.000,5247000.000,3940000.000,2125000.000,2102000.000,2871000.000,3424000.000,2957000.000,3147000.000,2340000.000,2535000.000,3418000.000,3270000.000,3378000.000,3083000.000,3157000.000,2425000.000,3904000.000,3748000.000,3426000.000,3879000.000,3570000.000,3222000.000,4273000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,31383000.000,31189000.000,18042000.000,16534000.000,16655000.000,16153000.000,16274000.000,16255000.000,16399000.000,16523000.000,16422000.000,16001000.000,16220000.000,16204000.000,16486000.000,12481000.000,12778000.000,13047000.000,13471000.000,13221000.000,13371000.000,13731000.000,14002000.000,14078000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,532000.000,534000.000,619000.000,532000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,608000.000,607000.000,608000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1040000.000,,,,,,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,403857000.000,404559000.000,404719000.000,405147000.000,405548000.000,405904000.000,406291000.000,406638000.000,407044000.000,407643000.000,408643000.000,410176000.000,410857000.000,411440000.000,411953000.000,413026000.000,413482000.000,413733000.000,413997000.000,414374000.000,414778000.000,415460000.000,415713000.000,415957000.000
AllowanceForDoubtfulAccountsReceivable,110000.000,,,,,,,,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,109000.000,12000.000,12000.000,14000.000,12000.000,11000.000,10000.000,120000.000,46000.000,20000.000,40000.000,37000.000,33000.000,53000.000,408000.000,345000.000,336000.000,47000.000,53000.000,41000.000,41000.000,90000.000,90000.000
