,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1260000.000,3860000.000
AllocatedShareBasedCompensationExpense,,3000000.000
AmortizationOfFinancingCostsAndDiscounts,830000.000,2090000.000
AmortizationOfIntangibleAssets,7340000.000,7960000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,212088000.000,
BusinessAcquisitionProFormaEarningsPerShareBasic,,-0.610
BusinessAcquisitionProFormaEarningsPerShareDiluted,,-0.610
BusinessAcquisitionsProFormaNetIncomeLoss,,-12780000.000
BusinessAcquisitionsProFormaRevenue,,811330000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,17800000.000,26720000.000
CashDividendsPaidToParentCompany,-214500000.000,
ComprehensiveIncomeNetOfTax,-1850000.000,-23170000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-23470000.000
CostOfGoodsAndServicesSold,432470000.000,488850000.000
CurrentFederalTaxExpenseBenefit,-550000.000,1170000.000
CurrentForeignTaxExpenseBenefit,3580000.000,2560000.000
CurrentIncomeTaxExpenseBenefit,3640000.000,4700000.000
CurrentStateAndLocalTaxExpenseBenefit,610000.000,970000.000
DeferredFederalIncomeTaxExpenseBenefit,-3840000.000,-3800000.000
DeferredForeignIncomeTaxExpenseBenefit,-1120000.000,-4180000.000
DeferredIncomeTaxExpenseBenefit,-4920000.000,-8430000.000
DeferredIncomeTaxesAndTaxCredits,-4920000.000,-8430000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,40000.000,-450000.000
DefinedContributionPlanCostRecognized,1600000.000,
Depreciation,9740000.000,10260000.000
EarlyRepaymentOfSeniorDebt,,39000000.000
EarningsPerShareBasic,0.460,-0.660
EarningsPerShareDiluted,0.460,-0.660
EffectOfExchangeRateOnCashAndCashEquivalents,-1390000.000,-750000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350
GainLossOnDispositionOfAssets,-2120000.000,-540000.000
GainLossOnDispositionOfAssets1,-2120000.000,-540000.000
GoodwillAcquiredDuringPeriod,,126050000.000
GoodwillForeignCurrencyTranslationGainLoss,,-10270000.000
GoodwillTranslationAdjustments,-2170000.000,
GrossProfit,143040000.000,160350000.000
ImpairmentOfIntangibleAssetsFinitelived,,8360000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-9750000.000,-14630000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,7020000.000,-16390000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,16770000.000,-1760000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,7020000.000,-16390000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.460,
IncomeLossFromContinuingOperationsPerDilutedShare,0.460,
IncomeTaxExpenseBenefit,-1280000.000,-3730000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,1480000.000,1600000.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,-4350000.000,-1230000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,2460000.000,-5730000.000
IncomeTaxReconciliationMinorityInterestIncomeExpense,300000.000,-70000.000
IncomeTaxReconciliationNondeductibleExpenseRestructuringCharges,2450000.000,0.000
IncomeTaxReconciliationOtherAdjustments,-120000.000,-290000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,650000.000,340000.000
IncomeTaxReconciliationTaxContingencies,-2950000.000,-1260000.000
IncomeTaxReconciliationTaxExemptIncome,0.000,
IncomeTaxReconciliationTaxHolidays,1190000.000,460000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,5870000.000,6300000.000
IncreaseDecreaseInInventories,30000.000,-10650000.000
IncreaseDecreaseInOtherOperatingCapitalNet,-450000.000,-1360000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-140000.000,6300000.000
IncreaseDecreaseInReceivables,5460000.000,-4740000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,96361.000,0.000
InterestExpense,8810000.000,20080000.000
InterestPaidNet,7870000.000,17330000.000
NetCashProvidedByUsedInFinancingActivities,-910000.000,100500000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-910000.000,100500000.000
NetCashProvidedByUsedInInvestingActivities,-6810000.000,-108440000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-6810000.000,-108440000.000
NetCashProvidedByUsedInOperatingActivities,26910000.000,35410000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,26910000.000,35410000.000
NetIncomeLoss,8300000.000,-12360000.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,-300000.000
NonoperatingIncomeExpense,-12550000.000,-22690000.000
OperatingIncomeLoss,19570000.000,6300000.000
OperatingLeasesRentExpenseNet,15800000.000,16800000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-9510000.000,-10590000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,-640000.000,-220000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-9510000.000,-10590000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,0.000,0.000
OtherComprehensiveIncomeLossNetOfTax,-10150000.000,-10810000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,-670000.000,3390000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,800000.000,-2500000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-1310000.000,3170000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,-100000.000,-2500000.000
OtherNonoperatingIncomeExpense,-3740000.000,-2610000.000
PaymentsOfDistributionsToAffiliates,,0.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,330000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,0.000,94370000.000
PaymentsToAcquireProductiveAssets,8320000.000,14540000.000
ProceedsFromContributionsFromParent,-27630000.000,
ProceedsFromIssuanceOfLongTermDebt,192820000.000,148180000.000
ProceedsFromLinesOfCredit,119340000.000,41820000.000
ProceedsFromPaymentsForOtherFinancingActivities,,-300000.000
ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets,1510000.000,470000.000
ProfitLoss,8300000.000,-12660000.000
RepaymentsOfLinesOfCredit,118890000.000,40200000.000
RepaymentsOfLongTermDebt,5000000.000,10000000.000
RepaymentsOfLongTermLinesOfCredit,59430000.000,118430000.000
Revenues,575510000.000,649200000.000
SalesRevenueNet,575510000.000,649200000.000
SellingGeneralAndAdministrativeExpense,121350000.000,145150000.000
ShareBasedCompensation,2530000.000,3860000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,5137.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,137372.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,11.020
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,10.400
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,10.080
StockIssuedDuringPeriodSharesStockOptionsExercised,,3086.000
StockIssuedDuringPeriodValueNewIssues,0.000,49960000.000
StockIssuedDuringPeriodValueShareBasedCompensationGross,,40000.000
UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions,60000.000,0.000
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,2030000.000,0.000
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,0.000,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,0.000,1690000.000
UnrecognizedTaxBenefitsIncreasesResultingFromForeignCurrencyTranslation,,840000.000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,0.000,2870000.000
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,3300000.000,1120000.000
ValuationAllowancesAndReservesChargedToCostAndExpense,470000.000,910000.000
ValuationAllowancesAndReservesChargedToOtherAccounts,320000.000,50000.000
ValuationAllowancesAndReservesDeductions,1060000.000,110000.000
WeightedAverageNumberOfDilutedSharesOutstanding,18160852.000,18775500.000
WeightedAverageNumberOfSharesOutstandingBasic,18064491.000,18775500.000
