,2011-05-31,2012-05-31,2013-05-31,2014-05-31,2015-05-31,2016-05-31,2017-05-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,105000000.000,130000000.000,174000000.000,177000000.000,191000000.000,236000000.000,215000000.000
AmortizationOfIntangibleAssets,,,14000000.000,,,,
AmountOfIneffectivenessOnNetInvestmentHedges,,,,,,0.000,0.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,200000.000,100000.000,100000.000,100000.000,,,
CapitalExpendituresIncurredButNotYetPaid,,,,167000000.000,206000000.000,252000000.000,266000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1124000000.000,362000000.000,1020000000.000,-1117000000.000,1632000000.000,-714000000.000,670000000.000
CommonStockDividendsPerShareCashPaid,,1.390,0.810,0.930,,,
CommonStockDividendsPerShareDeclared,1.200,1.390,0.810,0.930,1.080,0.620,0.700
ComprehensiveIncomeNetOfTax,2013000000.000,2277000000.000,2610000000.000,2504000000.000,4434000000.000,2832000000.000,3709000000.000
ConversionOfStockSharesConverted1,,,0.000,,,,
CostOfGoodsSold,,13657000000.000,14279000000.000,15353000000.000,16534000000.000,17405000000.000,19038000000.000
CostOfRevenue,11354000000.000,,,,,,
CurrentFederalTaxExpenseBenefit,289000000.000,274000000.000,434000000.000,371000000.000,596000000.000,304000000.000,398000000.000
CurrentForeignTaxExpenseBenefit,441000000.000,495000000.000,398000000.000,398000000.000,369000000.000,568000000.000,439000000.000
CurrentIncomeTaxExpenseBenefit,787000000.000,820000000.000,901000000.000,862000000.000,1045000000.000,943000000.000,919000000.000
CurrentStateAndLocalTaxExpenseBenefit,57000000.000,51000000.000,69000000.000,93000000.000,80000000.000,71000000.000,82000000.000
DeferredFederalIncomeTaxExpenseBenefit,-61000000.000,-54000000.000,1000000.000,8000000.000,-66000000.000,-57000000.000,-279000000.000
DeferredForeignIncomeTaxExpenseBenefit,-15000000.000,-10000000.000,-90000000.000,-16000000.000,-36000000.000,-7000000.000,15000000.000
DeferredIncomeTaxExpenseBenefit,-76000000.000,-60000000.000,21000000.000,-11000000.000,-113000000.000,-80000000.000,-273000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,4000000.000,-4000000.000,-3000000.000,-11000000.000,-16000000.000,-9000000.000
DefinedContributionPlanCostRecognized,,44000000.000,46000000.000,51000000.000,,,
Depreciation,335000000.000,373000000.000,438000000.000,518000000.000,606000000.000,649000000.000,706000000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,124000000.000,0.000,0.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,108000000.000,0.000,0.000,,
DiscontinuedOperationTaxExpenseBenefitFromProvisionForGainLossOnDisposal,,,-87000000.000,0.000,0.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,523000000.000,0.000,0.000,,
Dividends,,,,,,,1159000000.000
DividendsCommonStockCash,569000000.000,639000000.000,727000000.000,821000000.000,931000000.000,1053000000.000,
EarningsPerShareBasic,4.480,4.830,2.770,3.050,3.800,2.210,2.560
EarningsPerShareDiluted,4.390,4.730,2.710,2.970,3.700,2.160,2.510
EffectOfExchangeRateOnCashAndCashEquivalents,57000000.000,67000000.000,100000000.000,1000000.000,-83000000.000,-105000000.000,-20000000.000
