,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-30,2013-06-29,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27
AccretionExpense,,,,,,,,,262452.000,174816.000,63884.000,32492.000,59000.000,61000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,,,,,,,-118239.000,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,59000.000,
AmortizationOfDeferredLoanOriginationFeesNet,,,,,,,,,101576.000,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,11672.000,,,,227000.000,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-1174543.000,,,,70289.000,,2673853.000,,,,-334000.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,0.000,,,,0.000,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,-2506537.000,-1995673.000,-2446197.000,-232801.000,-8599545.000,-823000.000,-1406000.000
CostOfGoodsSold,,,,,,,,,103851.000,,,,,
CostOfGoodsSoldDepreciation,,,,,,,,,103851.000,131508.000,115015.000,175090.000,209000.000,206000.000
CostOfGoodsSoldDirectMaterials,,,,,,,,,359647.000,685058.000,1031896.000,1436238.000,1489000.000,1617000.000
CostOfRevenue,,,,,,,,200819.000,813558.000,1144298.000,1310066.000,2136910.000,1767000.000,1891000.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,,,0.000,,,,,
DepreciationAmortizationAndAccretionNet,,,,,,,,,,,141000.000,,227000.000,
DepreciationAndAmortization,11123.000,16767.000,50372.000,54226.000,60080.000,114127.000,51937.000,302781.000,24140.000,26286.000,26193.000,13137.000,18000.000,19000.000
DepreciationDepletionAndAmortization,,,,,,,293691.000,,127991.000,,,,227000.000,
DerivativeGainLossOnDerivativeNet,-1083922.000,1123226.000,-892221.000,623052.000,80197.000,90687.000,73979.000,407620.000,0.000,264153.000,651657.000,1224478.000,174000.000,206000.000
EarningsPerShareBasicAndDiluted,,,,,,,,,-0.050,-0.040,-0.020,-0.140,0.000,-0.040
EarningsPerShareDiluted,,,-0.070,-0.030,-0.050,,-0.080,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,58199.000,,,,197980.000,,251357.000,,,,87000.000,
ForeignCurrencyTransactionGainLossBeforeTax,,141619.000,,,10663.000,,,,,,,,1521000.000,-1013000.000
ForeignCurrencyTransactionGainLossUnrealized,,,0.000,,,,0.000,,0.000,,,,1521000.000,
GainLossOnDispositionOfAssets1,,,,,,,,790.000,0.000,0.000,0.000,-153092.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,0.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,234354.000,0.000,,,0.000
