,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdvertisingExpense,,400000.000,300000.000,200000.000,600000.000
AllocatedShareBasedCompensationExpense,,600000.000,700000.000,7484000.000,7680000.000
AmortizationOfAcquiredIntangibleAssets,,2454000.000,,,
AmortizationOfAcquisitionCosts,2332000.000,,,,
AmortizationOfFinancingCosts,,99000.000,191000.000,100000.000,373000.000
AmortizationOfFinancingCostsAndDiscounts,100000.000,,,,
AmortizationOfIntangibleAssets,2332000.000,2454000.000,3351000.000,3317000.000,4124000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,2192000.000,1840563.000,200000.000,200000.000
AssetRetirementObligationLiabilitiesIncurred,,,560000.000,72000.000,11000.000
AssetRetirementObligationLiabilitiesSettled,,,87000.000,88000.000,0.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,-107000.000,0.000
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentConsiderationTransferred,,200000.000,,,
CapitalizedComputerSoftwareAdditions,,200000.000,,,
CapitalizedComputerSoftwareImpairments,,4000000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-3116000.000,96000.000,12966000.000,103000.000,-6061000.000
ComprehensiveIncomeNetOfTax,,12177000.000,12883000.000,4522000.000,9408000.000
CostOfRevenue,296221000.000,314252000.000,334513000.000,334537000.000,371649000.000
CurrentFederalTaxExpenseBenefit,,208000.000,144000.000,70000.000,7000.000
CurrentForeignTaxExpenseBenefit,,982000.000,2246000.000,3522000.000,1498000.000
CurrentIncomeTaxExpenseBenefit,,1615000.000,2669000.000,3876000.000,1980000.000
CurrentStateAndLocalTaxExpenseBenefit,,425000.000,279000.000,284000.000,475000.000
DebtIssuanceCosts,,,,,500000.000
DeferredForeignIncomeTaxExpenseBenefit,,-99000.000,-645000.000,-500000.000,455000.000
DeferredIncomeTaxExpenseBenefit,303000.000,-4594000.000,-645000.000,-500000.000,-1934000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-4447000.000,,0.000,-2389000.000
DefinedContributionPlanCostRecognized,,5000000.000,6900000.000,7100000.000,7200000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,1000000.000,1100000.000,1300000.000,1300000.000
DefinedContributionPlanMaximumAnnualContributionPerEmployeeAmount,,17000.000,,,
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.500,,,
