,2012-05-31,2012-08-31,2012-11-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayable,1250.000,1250.000,1250.000,,,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,86878.000,99973.000,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,473149.000,473149.000,558761.000,471337.000,511064.000,823334.000,483183.000,333415.000,348117.000
AccountsPayableOtherCurrentAndNoncurrent,,,,,,,,,,,,334217.000,334217.000,429551.000,354467.000,510424.000,426396.000,245377.000,162976.000,154614.000
AccountsPayableTradeCurrent,,,,,,38609.000,65773.000,,,,,,,,,,,,,
AccountsReceivableNet,,,,,,68697.000,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,5763.000,5763.000,16864.000,,20785.000,,,,3023.000,2521.000,2886.000,1422.000,213.000,1750.000,0.000,
AccruedLiabilitiesCurrent,,,,67362.000,18850.000,86878.000,99973.000,171526.000,290660.000,278137.000,545665.000,473149.000,558761.000,496733.000,471337.000,511064.000,823334.000,483182.000,333415.000,348117.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,170439.000,170439.000
AccruedProfessionalFeesCurrent,,,,,,5850.000,4200.000,,,,,,,,,,,,,
AccruedSalariesCurrent,,,,,,0.000,0.000,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,,192373.000,192373.000,253995.000,271208.000,271208.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,41338.000,28947.000,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,-226700.000,-160702.000,-275720.000,-365473.000,-514056.000,-538490.000,-664604.000,-678830.000,-603781.000,-523130.000,-492483.000,-489516.000,-451880.000
AdditionalPaidInCapital,18320.000,18320.000,18320.000,37370516.000,37370516.000,39031443.000,39022954.000,38629290.000,39436736.000,40262328.000,40483759.000,40703411.000,40514121.000,37687219.000,36146689.000,32701057.000,33023559.000,30797476.000,44690704.000,44836133.000
AdvancesToAffiliate,,,,,,,,,,,,,,,,,,7740.000,,
Assets,17398.000,7740.000,3099.000,1663189.000,1444115.000,2534018.000,2523840.000,910059.000,2243987.000,1937808.000,1350385.000,1706896.000,1857376.000,1562547.000,1132857.000,1171676.000,1285404.000,1271447.000,1173588.000,1234100.000
AssetsCurrent,17398.000,7740.000,3099.000,863189.000,642923.000,947551.000,930207.000,340332.000,1296675.000,1051247.000,538765.000,521954.000,531933.000,496440.000,262429.000,223471.000,168328.000,205209.000,121572.000,169416.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,59433.000,59433.000,56914.000,56914.000,56914.000,,56914.000,56914.000,56914.000,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,,,,,,452696.000,452696.000,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,,,,,,163918.000,163918.000,163918.000,163918.000,163918.000,,163918.000,163918.000,163918.000,,,,,,
